,Brand Name,Price (AUD),Variety,Type,Region,State,Vintage,Size (mL),Alcohol Volume (%),Standard Drinks,Organic,Vegan Friendly,Wine Body,Wine Style,Closure,Langtons Classified
586,Wynns,45.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2013.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
587,Lake Breeze,22.99,Cabernet Sauvignon,Red,Langhorne Creek,South Australia,2015.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
588,Reynella,45.99,Shiraz,,McLaren Vale,South Australia,2014.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
590,Penny's Hill,23.99,Merlot,,McLaren Vale,South Australia,2014.0,750.0,,8.3,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
591,Dominique Portet,47.99,Shiraz,,Yarra Valley,Victoria,2013.0,750.0,,,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
592,Stockman's Ridge,23.99,Shiraz,Red,Orange,New South Wales,2014.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
593,Thorn-Clarke,15.99,Cabernet Sauvignon,,Barossa Valley,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
595,Flametree,23.99,Shiraz,,Margaret River,Western Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
596,Mr Riggs,44.99,Shiraz,Red,McLaren Vale,South Australia,2014.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
597,Petaluma,37.95,Shiraz,,Adelaide Hills,South Australia,2016.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
599,Tuerong Park,44.99,Pinot Noir,,Mornington Peninsula,Victoria,2018.0,750.0,13.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
600,Frankland Estate,36.99,Shiraz,Red,Great Southern,Western Australia,2010.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
601,Kaesler,21.99,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
603,Hollick,21.99,Merlot,,Coonawarra,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
604,Rymill,13.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2015.0,750.0,14.5,8.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
605,McLaren Vale III Associates,42.99,Shiraz,,,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
606,Highroller,10.0,Shiraz,Red,,,2017.0,750.0,14.4,8.6,Not specified,True,Not specified,Not specified,Screw Cap,Not specified
607,Saltram,39.99,Shiraz,Red,Barossa  Valley,South Australia,2011.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
608,Stockman's Ridge Wine,40.0,Cabernet Sauvignon,Red,,New South Wales,2009.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
609,Briar Ridge,38.99,Shiraz,,Hunter Valley,,2016.0,750.0,13.3,7.9,Not specified,Not specified,Full Bodied,Dry,Not specified,Not specified
612,Blackjack,39.99,Shiraz,Red,Bendigo,Victoria,2013.0,750.0,,,Not specified,Not specified,Full Bodied,Dry,Not specified,Not specified
615,Pertaringa,19.99,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
616,Kirrihill,19.99,Shiraz,Red,Clare Valley,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
618,Oakridge,18.99,Merlot,Red,Yarra Valley,Victoria,2017.0,750.0,13.4,7.9,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
619,Thistle Hill,18.99,Shiraz,,Mudgee,New South Wales,2018.0,750.0,14.0,8.3,True,Not specified,Full Bodied,Dry,Screw Cap,Not specified
620,Hare's Chase,37.99,Shiraz,,Barossa Valley,South Australia,2013.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
621,Derwent Estate,37.99,Pinot Noir,,Southern Tasmania,Tasmania,2011.0,750.0,,7.9,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
622,Drake,17.99,Shiraz,,Heathcote,Victoria,2017.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
623,Un Bel Jour,6.0,Merlot,Red,,,2017.0,750.0,13.0,7.7,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
624,Audrey Wilkinson,18.99,Merlot,,McLaren Vale,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
625,Bleasdale,34.99,Shiraz,Red,Langhorne Creek,South Australia,2010.0,750.0,,8.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
626,Mount Langi Ghiran,35.99,Shiraz,Red,Grampians,Victoria,2011.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
627,Fowles Wine,17.99,Shiraz,Red,,Victoria,2014.0,750.0,13.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
628,Soumah,33.99,Pinot Noir,Red,Yarra Valley,Victoria,2016.0,750.0,,7.4,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
629,Schwarz Wine Co,34.99,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,14.3,8.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
630,Véronique,16.99,Shiraz,,Barossa Valley,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
631,Fox Creek,31.99,Shiraz,Red,McLaren Vale,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
632,Parker Coonawarra Estate,29.95,Merlot,Red,Coonawarra,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
634,Frankland Estate,29.99,Shiraz,Red,Frankland River,Western Australia,2015.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
637,d'Arenberg,29.99,Pinot Noir,Red,Adelaide Hills,South Australia,2015.0,750.0,14.0,8.3,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
638,Picardy,39.99,Merlot,Red,Pemberton,Western Australia,2013.0,750.0,13.5,8.0,Not specified,Not specified,Medium Bodied,Dry,Cork,Not specified
639,Riddoch,29.99,Shiraz,,Coonawarra,South Australia,2016.0,750.0,15.0,8.9,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
641,Clairault,26.99,Cabernet Sauvignon,Red,Margaret River,Western Australia,2013.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
642,Fancy,9.0,Shiraz,Red,,,2016.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
643,Warramate,27.99,Shiraz,,Yarra Valley,Victoria,2012.0,750.0,,7.7,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
645,Amelia Park,26.99,Shiraz,Red,Great Southern,Western Australia,2014.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
646,All Saints,25.99,Shiraz,Red,Rutherglen,Victoria,2014.0,750.0,,8.1,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
650,Gapsted,23.99,Cabernet Sauvignon,Red,,Victoria,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
652,Ferngrove,11.9,Shiraz,Red,Great Southern,Western Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
653,Barwang,22.99,Cabernet Sauvignon,Red,Hilltops,New South Wales,2011.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
654,Hardys,20.99,Shiraz,Red,McLaren Vale,South Australia,2011.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
655,Longview,19.99,Cabernet Sauvignon,Red,Adelaide Hills,South Australia,2015.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
656,De Bortoli,11.99,Merlot,Red,,Victoria,2015.0,750.0,14.0,8.3,Not specified,True,Medium Bodied,Dry,Screw Cap,Not specified
657,Racers & Rascals,18.99,Pinot Noir,,Yarra Valley,Victoria,2011.0,750.0,,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
658,Racers & Rascals,18.99,Pinot Noir,,Yarra Valley,Victoria,2011.0,750.0,,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
659,Shottesbrooke,19.99,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
660,Penley Estate,19.99,Shiraz,Red,Coonawarra,South Australia,2016.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
661,Juniper Crossings,17.99,Shiraz,,Margaret River,Western Australia,2015.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
663,Omrah,15.99,Shiraz,Red,Great Southern,Western Australia,2014.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
664,Racers And Rascals,15.99,Shiraz,Red,Yarra Valley,Victoria,2010.0,750.0,,7.7,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
665,Watershed,15.99,Merlot,Red,Margaret River,Western Australia,2014.0,750.0,,8.6,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
667,Patrick of Coonawarra,14.99,Merlot,Red,Coonawarra,South Australia,2015.0,750.0,13.8,8.1,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
670,Baily & Baily,6.95,Shiraz,Red,,,2018.0,750.0,13.5,,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
671,Wow What A,6.0,Merlot,Red,,,2015.0,750.0,,,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
673,Le Tour,5.0,Cabernet Sauvignon,,,,2017.0,750.0,13.5,,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
674,Penfolds,30000.0,Shiraz,Red,,South Australia,1954.0,750.0,13.2,7.8,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
675,Jim Barry,350.0,Shiraz,Red,Clare Valley,South Australia,1994.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
676,Giaconda,99.99,Shiraz,Red,Beechworth,Victoria,2016.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Not specified,Cork,Not specified
677,Giaconda,109.99,Shiraz,Red,Beechworth,Victoria,2016.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Not specified,Cork,Not specified
678,Wendouree,151.99,Cabernet Sauvignon,Red,Clare Valley,South Australia,2009.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
680,Giaconda,129.99,Shiraz,,Beechworth,Victoria,2005.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
681,Wolf Blass,147.99,Shiraz,Red,Barossa Valley,South Australia,2010.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
683,Grant Burge,169.99,Shiraz,Red,Barossa Valley,South Australia,2002.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
684,Wynns,750.0,Cabernet Sauvignon,,Coonawarra,South Australia,1982.0,750.0,13.0,7.7,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
685,Jim Barry,299.99,Shiraz,,Clare Valley,South Australia,2004.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
686,Penfolds,4100.0,Shiraz,Red,Barossa Valley,South Australia,1961.0,750.0,12.7,7.4,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
687,Penfolds,2000.0,Shiraz,Red,,South Australia,1983.0,1000.0,12.9,,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
688,Balnaves,124.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2005.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
691,Wendouree,156.99,Cabernet Sauvignon,Red,Clare Valley,South Australia,2002.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
692,Jim Barry,325.0,Shiraz,Red,Clare Valley,South Australia,1998.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
693,Barossa Valley Estate,145.99,Shiraz,Red,Barossa Valley,South Australia,1998.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
695,Wendouree,124.99,Shiraz,Red,Clare Valley,South Australia,2012.0,750.0,13.4,8.2,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
697,Yering Station,129.99,Shiraz,,Yarra Valley,Victoria,2014.0,750.0,13.9,8.2,Not specified,Not specified,Not specified,Dry,Not specified,Not specified
698,Alcorso,98.99,Pinot Noir,Red,,Tasmania,2011.0,750.0,13.7,8.1,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
699,Woodvale,45.0,Shiraz,Red,Clare Valley,South Australia,2014.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
700,Millbrook,45.0,Shiraz,Red,"Great Southern, Margaret River, Perth Hills",FRE,2011.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
702,Woodside Park,20.0,Pinot Noir,,Adelaide Hills,South Australia,2017.0,750.0,13.5,,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
703,Beresford ,27.99,Shiraz,Red,,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
706,Marley Farm,19.99,Shiraz,,McLaren Vale,,2016.0,750.0,14.5,8.3,Not specified,Not specified,Full Bodied,Not specified,Screw Cap,Not specified
717,Montara,66.49,Pinot Noir,Red,Grampians,FRE,2012.0,750.0,14.0,,Not specified,Not specified,Light Bodied,Pinot Noir,Cork,Not specified
718,Domaine Asmara,39.0,Cabernet Sauvignon,,Heathcote,,2014.0,750.0,14.7,8.7,Not specified,Not specified,Full Bodied,Cabernet Sauvignon,Cork,Not specified
719,Domaine Asmara,79.0,Shiraz,,Heathcote,,2017.0,750.0,15.0,8.8,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
720,Michelini,20.0,Merlot,Red,Alpine Valleys,Victoria,2016.0,750.0,13.0,,Not specified,Not specified,Medium Bodied,Merlot,Screw Cap,Not specified
721,Terindah Estate,47.0,Pinot Noir,Red,Bellarine Peninsula,Victoria,2015.0,750.0,13.5,,Not specified,Not specified,Light Bodied,Not specified,Screw Cap,Not specified
724,Beelgara Black,17.99,Shiraz,,"Clare Valley, SA",South Australia,2016.0,750.0,,7.4,Not specified,Not specified,Full Bodied,Not specified,Screw Cap,Not specified
725,Atlas Wines,25.0,Shiraz,Red,Clare Valley,,2015.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Not specified,Screw Cap,Not specified
726,James Estate Wines,14.95,Merlot,,Hunter Valley,New South Wales,2017.0,750.0,13.4,7.9,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
727,Black Knight,18.0,Shiraz,,,,2015.0,750.0,15.1,8.9,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
728,Welshmans Reef Vineyard,22.0,Cabernet Sauvignon,,,,2013.0,750.0,13.8,8.2,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
729,Oakover Wines,80.0,Cabernet Sauvignon,Red,Swan Valley,Western Australia,2017.0,750.0,14.3,8.5,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
731,Artwine,35.0,Pinot Noir,,Adelaide Hills,South Australia,2015.0,750.0,12.5,7.4,Not specified,True,Light Bodied,Dry,Not specified,Not specified
733,Curator Wine Co,39.0,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
734,Curator Wines,79.0,Cabernet Sauvignon,,Barossa Valley,South Australia,2013.0,750.0,15.5,9.2,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
735,The Blackwood,37.5,Shiraz,,Blackwood Valley,Western Australia,2014.0,750.0,15.0,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
738,Stockman's Ridge Wine,25.0,Pinot Noir,Red,Orange,New South Wales,2015.0,750.0,13.8,8.2,Not specified,Not specified,Light Bodied,Dry,Crown Seal,Not specified
739,Curtis Limited Series,100.0,Shiraz,,McLaren Vale,South Australia,2015.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
744,Merindoc,49.0,Shiraz,Red,Heathcote,,2016.0,750.0,14.7,8.7,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
748,Freeman & Lane,16.9,Merlot,Red,Mt Lofty Ranges,South Australia,2010.0,750.0,15.0,8.8,Not specified,Not specified,Full Bodied,Dry,Not specified,Not specified
749,Tuck's NOW,29.0,Pinot Noir,,Mornington Peninsula,Victoria,2017.0,750.0,13.5,,Not specified,True,Medium Bodied,Not specified,Screw Cap,Not specified
750,Cornella Ridge Estate,29.95,Shiraz,,Heathcote,Victoria,2010.0,750.0,14.0,8.3,Not specified,True,Full Bodied,Dry,Screw Cap,Not specified
751,The Shiraz Republic,24.95,Shiraz,,Heathcote,Victoria,2013.0,750.0,14.5,8.6,Not specified,True,Full Bodied,Dry,Screw Cap,Not specified
755,Currency Creek Estate,39.0,Shiraz,Red,Currency Creek,FRE,2014.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Not specified,Cork,Not specified
756,Shaw Family Vintners,100.0,Shiraz,,McLaren Vale,South Australia,2012.0,750.0,15.5,9.2,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
758,Tyrrell's,169.0,Shiraz,Red,Hunter Valley,New South Wales,2007.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
760,Mitolo,71.99,Shiraz,Red,McLaren Vale,South Australia,2008.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
762,Clonakilla,179.99,Shiraz,Red,Canberra District,New South Wales,2004.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Dry,Cork,Exceptional
763,Dalwhinnie,129.99,Shiraz,,Pyrenees,Victoria,1998.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Cork,Excellent
765,Capital Wines,53.99,Shiraz,Red,Canberra District,New South Wales,2009.0,750.0,,7.8,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
766,Henschke,899.0,Shiraz,Red,Eden Valley,South Australia,1996.0,750.0,13.8,8.2,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
767,Henschke,899.0,Shiraz,Red,Eden Valley,South Australia,1996.0,750.0,13.8,8.2,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
768,Wendouree,214.99,Shiraz,,Clare Valley,South Australia,2008.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
769,Wendouree,214.99,Shiraz,,Clare Valley,South Australia,2008.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
770,Kay Brothers Amery Vineyards,134.99,Shiraz,Red,McLaren Vale,South Australia,2001.0,750.0,13.8,8.2,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
771,Diamond Valley,18.88,Pinot Noir,,Yarra Valley,Victoria,2010.0,750.0,,,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
772,Mount Langi Ghiran,139.99,Shiraz,Red,Grampians,Victoria,1996.0,750.0,13.0,7.7,Not specified,Not specified,Full Bodied,Dry,Cork,Excellent
773,Chain Of Ponds,18.99,Shiraz,,Adelaide Hills,South Australia,2013.0,750.0,,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
774,Penfolds,2000.0,Shiraz,,,South Australia,2002.0,1000.0,14.5,19.2,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
776,Wolf Blass,144.99,Shiraz,Red,Barossa Valley,South Australia,2005.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Outstanding
777,Penley Estate,19.99,Pinot Noir,Red,Coonawarra,,2016.0,750.0,12.5,7.5,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
778,Mount Langi Ghiran,59.99,Shiraz,Red,Grampians,Victoria,2017.0,750.0,13.5,,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
779,Allinda,29.99,Shiraz,Red,Heathcote,Victoria,2017.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Not specified,Cork,Not specified
781,Penley Estate,44.99,Shiraz,,Coonawarra,South Australia,2014.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Dry,Not specified,Not specified
782,Mildara,29.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2012.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
786,Grant Burge,167.99,Shiraz,Red,Barossa Valley,South Australia,2003.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
787,Cullen,199.99,Merlot,Red,Margaret River,Western Australia,1996.0,750.0,13.5,,True,Not specified,Medium Bodied,Dry,Cork,Exceptional
788,Chris Ringland,520.0,Shiraz,Red,Barossa Valley,South Australia,2006.0,750.0,17.0,10.1,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
789,Mount Langi Ghiran,124.99,Shiraz,Red,Grampians,Victoria,2011.0,750.0,13.5,8.0,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
791,Henschke,199.99,Shiraz,,Eden Valley,South Australia,2009.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Dry,Cork,Exceptional
795,Grant Burge,167.99,Shiraz,Red,Barossa Valley,South Australia,2003.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
796,Petaluma,79.99,Cabernet Sauvignon,,Coonawarra,South Australia,2010.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
797,Cape Mentelle,134.99,Cabernet Sauvignon,,Margaret River,Western Australia,1999.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
802,Mildara,29.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2012.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
804,Yalumba,349.99,Shiraz,Red,Coonawarra & Barossa,South Australia,2012.0,750.0,,8.6,Not specified,True,Full Bodied,Dry,Cork,Not specified
805,Toolangi,64.99,Shiraz,White,Yarra Valley,Victoria,2010.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
810,Secret Selection,76.99,Cabernet Sauvignon,,,South Australia,2009.0,750.0,14.0,7.7,Not specified,Not specified,Not specified,Dry,Cork,Not specified
813,Tobacco Road,14.99,Merlot,,Beechworth,Victoria,2017.0,750.0,13.5,8.0,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
815,Flametree,58.99,Cabernet Sauvignon,,Margaret River,Western Australia,2013.0,750.0,13.8,8.2,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
818,Secret Selection,76.99,Cabernet Sauvignon,Red,,South Australia,2009.0,750.0,14.0,7.7,Not specified,Not specified,Not specified,Dry,Cork,Not specified
821,Wendouree,119.99,Shiraz,Red,Clare Valley,South Australia,2013.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Dry,Not specified,Outstanding
822,Smidge,28.99,Shiraz,,Barossa Valley,South Australia,2013.0,750.0,15.1,8.9,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
823,Smidge,94.99,Shiraz,,Barossa Valley,South Australia,2012.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
825,Castagna,89.99,Shiraz,Red,Beechworth,Victoria,2010.0,750.0,13.0,7.7,Not specified,Not specified,Full Bodied,Dry,Cork,Excellent
826,Kooyong,62.99,Pinot Noir,Red,Mornington Peninsula,,2015.0,750.0,,7.8,Not specified,Not specified,Light Bodied,Dry,Cork,Not specified
829,Smidge,21.99,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2015.0,750.0,14.8,8.8,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
830,Geoff Weaver,39.99,Pinot Noir,Red,Adelaide Hills,South Australia,2012.0,750.0,,7.1,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
831,Coldstream Hills,49.99,Pinot Noir,,Yarra Valley,Victoria,2015.0,750.0,,,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
833,Dalrymple,61.99,Pinot Noir,,,Tasmania,2014.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
835,Paringa Estate,194.99,Pinot Noir,Red,Mornington Peninsula,Victoria,2010.0,1000.0,14.5,17.2,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
836,Vine Mind,22.99,Shiraz,Red,Clare Valley,South Australia,2015.0,750.0,,8.3,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
837,Chapel Hill,64.99,Shiraz,Red,McLaren Vale,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
839,Castagna,84.99,Shiraz,Red,Beechworth,Victoria,2002.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Cork,Excellent
841,Dalrymple,61.99,Pinot Noir,Red,,Tasmania,2014.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
847,Castagna,84.99,Shiraz,Red,Beechworth,Victoria,2002.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Cork,Excellent
849,Quarry Hill,22.99,Shiraz,,Canberra District,Australian Capital Territory,2013.0,750.0,,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
850,McLaren Vale III Associates,29.99,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Dry,Not specified,Not specified
851,Bethany,16.99,Shiraz,Red,Barossa Valley,South Australia,2012.0,750.0,,8.4,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
852,Capital Wines,24.99,Shiraz,,Canberra District,New South Wales,2015.0,750.0,,8.2,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
853,Tomboy Hill,37.99,Pinot Noir,Red,Ballarat,Victoria,2008.0,750.0,,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
854,Leconfield,20.99,Shiraz,Red,McLaren Vale,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
