,Brand Name,Price (AUD),Variety,Type,Region,State,Vintage,Size (mL),Alcohol Volume (%),Standard Drinks,Organic,Vegan Friendly,Wine Body,Wine Style,Closure,Langtons Classified
44,Old Jarvie,29.99,Shiraz,Red,McLaren Vale,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
45,Ironcloud,31.99,Merlot,Red,Ferguson Valley,Western Australia,2016.0,750.0,14.8,8.9,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
46,Marley Farm,19.99,Shiraz,Red,Adelaide Hills,South Australia,2017.0,750.0,14.5,8.3,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
48,Old Jarvie,29.99,Shiraz,Red,McLaren Vale,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
49,Rockcliffe,29.99,Cabernet Sauvignon,,,Western Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
50,Penfolds,224.99,Shiraz,Red,Barossa  Valley,South Australia,2010.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
51,Elysian Springs,26.99,Pinot Noir,,Adelaide Hills,South Australia,2016.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
52,Devil's Corner,17.99,Pinot Noir,Red,East Coast of Tasmania,Tasmania,2017.0,750.0,13.0,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
53,Annie's Lane,11.95,Shiraz,Red,Clare Valley,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
54,Penfolds,10.95,Shiraz,,,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
55,Chapel Hill,24.99,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2016.0,,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
57,Peter Lehmann,18.8,Shiraz,,Barossa Valley,South Australia,2016.0,750.0,14.5,8.9,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
58,Penfolds,749.0,Shiraz,,,South Australia,2013.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
60,St Hallett,14.99,Shiraz,Red,Barossa,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
61,Toolangi,39.99,Shiraz,Red,Yarra Valley,Victoria,2016.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
65,Pepperjack,18.95,Cabernet Sauvignon,,Barossa,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
66,Taylors,13.95,Shiraz,Red,Clare Valley,South Australia,2017.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
67,Penfolds,10.95,Shiraz,Red,,South Australia,2017.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
68,Cradle,29.0,Cabernet Sauvignon,Red,Hunter Valley,New South Wales,2016.0,750.0,13.2,7.8,Not specified,Not specified,Full Bodied,Cabernet Sauvignon,Screw Cap,Not specified
69,Penfolds,38.9,Shiraz,,"Barossa Valley, McLaren Vale, Padthaway, Upper Adelaide, Wrattonbully",South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
70,Secret Selection,24.99,Shiraz,Red,,Western Australia,2017.0,750.0,14.6,8.7,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
71,Secret Selection,74.99,Cabernet Sauvignon,Red,Margaret River,Western Australia,2013.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
72,Yarra Trail,31.99,Pinot Noir,,Yarra Valley,Victoria,2013.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
74,Secret Selection,45.0,Shiraz,Red,Great Southern,Western Australia,2015.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
76,Penfolds,199.99,Shiraz,,Barossa  Valley,South Australia,2012.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Outstanding
77,Cookoothama,14.99,Shiraz,Red,,New South Wales,2015.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Not specified,Not specified,Not specified
78,Wirra Wirra,15.95,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
79,Grant Burge,179.99,Shiraz,,Barossa  Valley,South Australia,2010.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Cork,Not specified
80,Shingleback,78.99,Shiraz,Red,McLaren Vale,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
81,Boisterous,27.5,Shiraz,Red,Barossa Valley,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
82,Sepp. No 5,29.99,Shiraz,,Barossa Valley,South Australia,2017.0,750.0,14.8,8.8,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
83,Coldstream Hills,21.9,Pinot Noir,,,Tasmania,2017.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
84,Elephant In The Room,13.99,Pinot Noir,Red,,South Australia,2018.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
85,Secret Selection,19.99,Shiraz,Red,Great Southern,Western Australia,2016.0,750.0,14.0,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
