,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Langtons Classified,Price Option 4,Price Option 5
52,13.50%,Wendouree,Cork,Australia,2006,Shiraz Malbec 2006,$119.99 per bottle,,,,750mL,8,South Australia,Shiraz Malbec,Full Bodied,Dry,Clare Valley,Outstanding,,
53,14.50%,Tahbilk,Screw Cap,Australia,,Cabernet Sauvignon 2008,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,Ranked 30 of 49 Cabernet Sauvignon from Victoria,750mL,8.6,Victoria,Cabernet Sauvignon,Full Bodied,Dry,Goulburn Valley,,,
54,14.50%,Kay Brothers,Screw Cap,Australia,2015,Kay Brothers Block 6 Shiraz 2015,$85.40 in any six,$512.40 per case of 6,$89.90 per bottle,Ranked 39 of 95 Shiraz from McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
55,14.50%,Penfolds,Screw Cap,Australia,,Bin 389 Cabernet Shiraz 2013,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,Ranked 4 of 63 Cabernet Sauvignon from South Australia,750mL,8.6,South Australia,Cabernet Shiraz,,Dry,,Outstanding,,
56,14.4%(2013),Penfolds,Cork,Australia,2013*,Magill Estate Shiraz 2013,$103.60 in any six,$621.60 per case of 6,$109.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.5 (2013),South Australia,Shiraz,Full Bodied,Dry,,,Ranked 4 of 31 Shiraz from Adelaide Hills,
57,14.70%,Shingleback,Cork,Australia,2011,D Block Shiraz 2011 750ml,$57.00 in any six,$342.00 per case of 6,$59.99 per bottle,"Awards: Double Gold Medal - 2013 China Wine & Spirit Awards Hong Kong, Gold Medal - 2013 Royal Adelaide Wine Show class 30 & 2013 International Wine Challenge Vienna, Silver Medal 2014 International Wine Challenge UK & 2013 International Wine Challenge, UK",750mL,8.7,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
58,13.50%,Katnook Estate,Cork,Australia,,Shiraz 2010,$46.60 in any six,$279.60 per case of 6,$48.99 per bottle,Ranked 15 of 23 Shiraz from Coonawarra,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Coonawarra,,,
59,14.00%,Mount Pleasant,Screw Cap,Australia,,Maurice O'Shea Shiraz 2014,$227.10 in any six,"$1,362.60 per case of 6",$238.99 per bottle,Awards: Trophy at 2017 Hunter Wine Show (current vintage),750mL,8.3,New South Wales,Shiraz,Full Bodied,Dry,Hunter Valley,,Ranked 4 of 82 Shiraz from Lower Hunter,
60,14.00%,Brand's Laira,Screw Cap,Australia,,Foundation Cabernet Merlot 2009,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,,750mL,8.3,,Cabernet Merlot,Medium Bodied,Dry,Coonawarra,,,
61,16.00%,Noon,Cork,Australia,2006,Reserve Cabernet 2006,$94.99 per bottle,,,,750mL,9.5,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Langhorne Creek,Outstanding,,
62,14.40%,Penfolds,,Australia,2007,Bin 707 Cabernet Sauvignon 2007,$550.00 per bottle,Ranked 3 of 99 Cabernet Sauvignon from South Australia,,,750mL,8.5,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Exceptional,,
63,14.00%,Katnook Estate,Screw Cap,Australia,,Prodigy Shiraz 2005,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,,750mL,8.3,South Australia,Shiraz,,Dry,Coonawarra,Excellent,,
64,11.50%,Penfolds,Cork,Australia,,Magill Estate Shiraz 1986,$299.99 per bottle,,,,750mL,6.8,South Australia,Shiraz,,Dry,Adelaide,Excellent,,
65,14.50%,Rolf Binder,Cork,Australia,1998,Hanisch Shiraz 1998,$199.99 per bottle,,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,Excellent,,
66,14.5% (2011),Tscharke,Screw Cap,Australia,2011*,The Potter Garnacha,$16.88 in any six,$101.28 per case of 6,$16.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2011),South Australia,Grenache,,Dry,Barossa Valley,,Ranked 7 of 17 Grenache from Barossa Valley,
67,14%,Rockford,Cork,Australia,,Basket Press Shiraz 2012,$199.99 per bottle,,,,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,,,
68,14.5% (2014),Penley Estate,Screw Cap,Australia,2014*,Hyland Shiraz,$24.99 per bottle,$141.00 per case of 6,$23.80 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,Coonawarra,,,
