,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly,Organic
69,14.5%,Blue Pyrenees,Screw Cap,Australia,2016,Section One Shiraz,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,"Awards: 4 Trophies - Western Victorian Wine Challenge 2015.  3 Gold Medals - Western Victorian Wine Challenge 2015, Riverina Wine Show 2015, National Cool Climate Wine Show 2015",Pyrenees,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
70,13.5% (2011),Logan,Screw Cap,Australia,2011*,Weemala Shiraz Viognier,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8 (2011),New South Wales,Shiraz Viognier,,Dry,Ranked 12 of 55 Shiraz from Australia,,,,
71,15.5% (2012),Torbreck,Cork,Australia,2012*,Steading Grenache Shiraz Mourvedre Magnum 1.5L,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,1.5L,18.3 (2012),South Australia,Grenache Shiraz Mourvedre,,Dry,,,,,
72,13.5% (2011),Leeuwin Estate,Cork,Australia,2011*,Art Series Cabernet Sauvignon Magnum 1.5L,$161.50 in any six,$484.50 per case of 3,$169.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,1.5L,16 (2011),Western Australia,Cabernet Sauvignon,Full Bodied,,,,,,
73,8.5,Mister Mixer,,Australia,,Classic Sangria 5 Litre,$85.00 per bottle,,,,,5L,33.5,,Sangria,,Dry,,,,,
74,14.5%,Coriole,Screw Cap,Australia,2016*,Shiraz,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 48 of 107 Shiraz from McLaren Vale,,,,
75,13,La Bise,Screw Cap,Australia,Screw Cap,Le Petite Frais Rosé 2017,$18.17 per bottle,$109.00 per case of 6,Awards: Gold Medal - Adelaide Hills Wine Show 2017,Dry Rosé,Adelaide Hills,750mL,8,South Australia,Sangiovese Blend,Light Bodied,Rose,,,,,
76,14.5%,Brown Brothers,Screw Cap,Australia,2016*,18 Eighty Nine Merlot,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,Victoria,Merlot,Medium Bodied,Dry,,,,,
77,14.5%,Ringbolt,Screw Cap,Australia,2017*,Cabernet Sauvignon,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
78,14.5%,Mr Riggs,Screw Cap,Australia,2017*,Piebald Syrah,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Syrah,,Dry,,,,,
79,14.0%,Paringa Estate,Screw Cap,Australia,2013*,The Paringa Shiraz,$78.85 in any six,$473.10 per case of 6,$82.99 per bottle,"Awards: 13 Trophies - Royal Hobart International Wine Show 2009, Royal Melbourne Wine Show 2009, National Cool Climate Wine Show 2009, Rutherglen Wine Show 2009, Ballarat Wine Show 2009, Sydney Royal Wine Show 2009, Cowra Wine Show 2009, Rutherglen Wine Show 2010",Mornington Peninsula,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Excellent,,
80,13.8% (2014),Summerfield,Screw Cap,Australia,2014*,Tradition,$27.55 in any six,$330.60 per case of 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pyrenees,750mL,8.2 (2014),Victoria,Red Blend,,Dry,Ranked 7 of 17 Shiraz from Victoria,,,,
81,13.00%,Wynns,Cork,Australia,1996,John Riddoch Cabernet Sauvignon 1996,$164.99 per bottle,,,,Coonawarra,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Exceptional,,
82,13.0%,Mount Mary,Cork,Australia,2006,Quintet 2006,$164.99 per bottle,,,,Yarra Valley,750mL,7.7,Victoria,Red Blend,,Dry,,,Exceptional,,
83,13.5% (2014),Wirra Wirra,Screw Cap,Australia,2014*,Angelus Cabernet Sauvignon,$52.30 in any six,$313.80 per case of 6,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6 (2010),South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 11 of 27 Cabernet Sauvignon from McLaren Vale,,,,
84,14.5%,Kay Brothers Amery Vineyards,Screw Cap,Australia,2015*,Hillside Shiraz,$39.90 in any six,$239.40 per case of 6,$41.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 34 of 95 Shiraz from McLaren Vale,,,,
