,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 4,Organic,Vegan Friendly,Price Option 5
61,13.5%,Grant Burge,Cork,Australia,2010*,Shadrach Cabernet Sauvignon,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Ranked 1 of 23 Cabernet Sauvignon from Barossa Valley,,,
62,13%,De Bortoli,Screw Cap,Australia,2015*,GS Pinot Noir,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,,,
63,14.0%,Coldstone,Screw Cap,Australia,2014,Cabernet Sauvignon Merlot Shiraz,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3,,Red Blend,,Dry,,,,,
64,13.5% (2016),Farr Rising,Cork,Australia,2016*,Geelong Pinot Noir,$44.65 in any six,$267.90 per case of 6,$46.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,8 (2016),Victoria,Pinot Noir,Light Bodied,Dry,,Ranked 14 of 21 Pinot Noir from Geelong,,,
65,14.9%,Château Tanunda,Screw Cap,Australia,2016*,Dahlitz Merlot,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,Awards: Gold - Berlin Wine Trophy 2013,Barossa Valley,750mL,8.8,South Australia,Merlot,Medium Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
66,13.6% (2015),Wynns,Screw Cap,Australia,2015,V&A Lane Cabernet Shiraz 2015,$49.99 per bottle,$284.94 per case of 6,$47.49 in any six,Ranked 2 of 43 Cabernet Sauvignon from South Australia,Coonawarra,750mL,8.0 (2015),South Australia,Cabernet Shiraz,Full Bodied,Dry,,,,,
67,13.5% (2014),Leeuwin Estate,Screw Cap,Australia,2014*,Siblings Shiraz,$22.80 in any six,$273.60 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8 (2014),Western Australia,Shiraz,Full Bodied,Dry,,,,,
68,14.5%,Tar & Roses,Screw Cap,Australia,2017*,Shiraz,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,,,,
69,13.0%,De Bortoli,Screw Cap,Australia,2017*,Sacred Hill Shiraz Cabernet,$4.75 in any six,$24.70 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Riverina,750mL,7.7,New South Wales,Shiraz Cabernet,Full Bodied,Dry,,,,,
70,13.4%,Birds Of Paradise,Screw Cap,Australia,2014,Reserve Pinot Noir,$9.00 in any six,$108.00 per case of 12,$9.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.9,Victoria,Pinot Noir,Light Bodied,Dry,,,,,
71,14.5,Berton Vineyards,Screw Cap,Australia,2018,Metal Range The Black Shiraz 2018,Delivery Offer$59.00 per case of 6,$11.49 per bottle,$66.00 per case of 6,"Awards: Gold Medal - San Francisco International Wine Competition 2016, Gold Medal - China Wine & Spirits Aw",,750mL,8.6,,Shiraz,Full Bodied,,,,,,
72,14.5%,Campbells,Screw Cap,Australia,2016*,Bobbie Burns Shiraz,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Rutherglen,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,,,,
73,14.5%,Henschke,Cork,Australia,2015,Tappa Pass Shiraz,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,Awards: Gold Medal - Sommelier Wine Awards 2018,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
74,14.5%,Jamiesons Run,Screw Cap,Australia,2016*,Limestone Coast Cabernet Shiraz Merlot,$11.40 in any six,$68.40 per case of 6,$10.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Limestone Coast,750mL,8.6,South Australia,Cabernet Shiraz Merlot,,Dry,,,,,
75,14.8,Glamper,Screw Cap,Australia,2016*,Shiraz,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,"Awards: 2018 Best Value Buys 2017 Vintage - Winestate Magazine
Double Gold - CWSA Best Value Awards Hong Kong 2017, Best Value Buy - Winestate Magazine May/June 2017, 90 points Wine Showcase Magazine New Releases 2017",Riverland,750mL,8.8,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
76,14.0%,Little Giant,Screw Cap,Australia,,Barossa Shiraz,$18.90 in any six,$113.40 per case of 6,$17.95 per bottle,,Barossa,750mL,8.3,South Australia,Shiraz,,,,,,,
77,14.5%,Chapel Hill,Screw Cap,Australia,2017,The Parson Shiraz,Member Offer$10.00 per bottle,$14.95 in any six,$89.70 per case of 6,$14.95 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
78,14.5% (2016),John Duval,Screw Cap,Australia,2016*,Entity Shiraz,$42.75 in any six,$256.50 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6 (2016),South Australia,Shiraz,Full Bodied,Dry,,Ranked 75 of 108 Shiraz from Barossa Valley,,,
79,8.0% (Non Vintage),Sweet Lips,Screw Cap,Australia,Non Vintage*,Hibiscus Pomegranate & Lime,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,,,750mL,4.7 (Non Vintage),,Moscato,,Semi Sweet,,,,,
80,12.5%,Queen Snapper,Screw Cap,Australia,2017,Rosé,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.4,Western Australia,Rosé,,,,,,,
81,13.5%,Rawson's Retreat,Screw Cap,Australia,2017*,Shiraz Cabernet,$7.99 per bottle,$45.60 per case of 6,$7.60 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,,,
82,14.0%,Xanadu,Screw Cap,Australia,2011*,Cabernet Sauvignon 2011,$39.89 in any six,$236.85 per case of 6,$41.99 per bottle,Awards: Gold Medal - Royal Melbourne Wine Show 2013,Margaret River,750mL,8.3,Western Australia,,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 18 of 48 Cabernet Sauvignon from Margaret River
83,12.5% (2016),Woodstock,Screw Cap,Australia,2016*,Grenache Rosé,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,7.4 (2016),South Australia,Grenache,Light Bodied,Dry,,,,,
84,14.5%,Secret Selection,Screw Cap,Australia,2015,Geelong Syrah 2015,Online Offer$14.90 per bottle,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,Moorabool Valley,750mL,8.5,Victoria,Syrah,Full Bodied,,,,,,
85,15,The Inventor,Screw Cap,Australia,2015,Mclaren Vale Merlot 2015,Delivery Offer$150.00 for 2 cases,$24.50 per bottle,$144.00 per case of 6,,McLaren Vale,750mL,8.9,South Australia,MERLOT,,,,,,,
86,14.8%,Pirramimma,Screw Cap,Australia,2016*,Stock's Hill Shiraz,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.8,South Australia,Shiraz,Full Bodied,Dry,,,,,
87,14.8%,Laughing Jack,Screw Cap,Australia,2016*,Jack's Shiraz,$21.85 in any six,$262.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.8,South Australia,Shiraz,Full Bodied,Dry,,,,,
88,14.5% (2013),Katnook Estate,Screw Cap,Australia,2013*,Odyssey Cabernet Sauvignon,$85.49 in any six,$512.94 per case of 6,$89.99 per bottle,Awards: Silver Medal – International Wine & Spirit Competition 2016,Coonawarra,750mL,8.6 (2013),South Australia,Cabernet Sauvignon,Full Bodied,Dry,Outstanding,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 30 of 56 Cabernet Sauvignon from Coonawarra
89,14.0%,Metala,Screw Cap,Australia,2017*,White Label Shiraz Cabernet,$14.99 per bottle,$85.50 per case of 6,$14.25 in any six,Awards: Gold - Royal Queensland Wine Show 2012,Langhorne Creek,750mL,8.3,South Australia,Shiraz Cabernet,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
90,14.5% (2015),Evans & Tate,,Australia,2015*,Two's Company West Coast Red Blend,Member Offer$6.90 per bottle,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,,750mL,8.6 (2015),Western Australia,Cabernet Merlot Shiraz,,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
91,14.50%,Penfolds,Cork,Australia,2007,Grange 2007 Magnum 1.5L,"$1,700.00 per bottle",,,,,1.5L,17.2,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,,,
92,13.5%,Taylors,Screw Cap,Australia,2017*,Estate Tempranillo,$16.15 in any six,$96.90 per case of 6,$15.70 per bottle,Awards: Trophy - Best Iberian Variety Wine - Australian Alternative Varieties Wine Show.  Gold Medal - Australian Alternative Varieties Wine Show 2015,Clare Valley,750mL,8.0,South Australia,Tempranillo,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 12 of 18 Tempranillo from South Australia
