,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Organic,Price Option 4,Price Option 5
78,13.5% (2014),Quealy,Screw Cap,Australia,2014*,,Musk Creek Pinot Noir,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8 (2014),Victoria,Pinot Noir,Light Bodied,Dry,,,,,,
79,13.5% (2013),Temple Bruer,Screw Cap,Australia,2013*,,Cabernet Merlot,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0 (2013),South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,true,,
80,14.50%,Henschke,Screw Cap,Australia,2012,Exceptional,Hill of Grace Shiraz 2012,Ranked 1 of 17 Shiraz from Eden Valley,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,,
81,14.00%,Hardys,Screw Cap,Australia,2007,,Oomoo Shiraz 2007,$16.15 in any six,McLaren Vale,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,$96.90 per case of 6,$16.99 per bottle,,,,
82,14.4% (2013),Fowles Wine,Screw Cap,Australia,2013*,,490 Metres Shiraz,$10.88 in any six,,750mL,8.5 (2013),Victoria,Shiraz,Full Bodied,Dry,$130.56 per case of 12,$10.88 per bottle,Awards: Gold Medal - Victorian Wine Show 2015,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 44 of 50 Shiraz from Central Victoria
83,14.0% (2013),Cirillo,Screw Cap,Australia,2013*,,Shiraz,$23.75 in any six,Barossa Valley,750mL,8.3 (2013),South Australia,Shiraz,Full Bodied,Dry,$285.00 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
84,14.50%,Wirra Wirra,Screw Cap,Australia,,,Woodhenge Shiraz 2010,$37.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$216.54 per case of 6,$36.09 in any six,Ranked 73 of 136 Shiraz from McLaren Vale,,,
85,14.2% (2012),Evans & Tate,Screw Cap,Australia,2012*,,Redbrook Cabernet Sauvignon,$37.05 in any six,Margaret River,750mL,8.4 (2012),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,$222.30 per case of 6,$38.99 per bottle,"Awards: 6 Gold - International Wine Winner Challenge 2017, Sydney Royal Wine Show 2016, Sydney Royal Wine Show 2015, Adelaide Wine Show 2015, Qantas Wine Show of WA 2014 & 2015",,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
86,14.5%,Chapel Hill,Screw Cap,Australia,2017,,The Vinedresser Shiraz 2017,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,,
87,14.5% (2010),Knight Granite Hills,Screw Cap,Australia,2010*,,Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Macedon Ranges,750mL,8.6 (2010),Victoria,Shiraz,Full Bodied,Dry,,,,,,
88,,Wendouree,Cork,Australia,2002,Outstanding,Cabernet Malbec 2002,$126.99 per bottle,Clare Valley,750mL,,South Australia,Cabernet Malbec,,Dry,,,,,,
