,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Organic,Price Option 4,Price Option 5
32,14%,Thorn-Clarke,Screw Cap,Australia,2012,,Morello Nebbiolo,$15.10 in any six,Barossa Valley,750mL,8.3,South Australia,Nebbiolo,Full Bodied,Dry,$90.60 per case of 6,$15.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
33,13.50%,Mayer,Cork,Australia,,,Cabernet Sauvignon 2015,$57.99 per bottle,Yarra Valley,750mL,7.7,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
34,13.0% (2011),Merricks Estate,Screw Cap,Australia,2011*,,Pinot Noir,$38.00 in any six,Mornington Peninsula,750mL,7.7 (2011),Victoria,Pinot Noir,Light Bodied,Dry,$456.00 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
35,13.8% (2015),Ten Minutes by Tractor,Screw Cap,Australia,2015,,Coolart Road Pinot Noir 2015,$24.90 per bottle,Mornington Peninsula,750mL,8.2 (2015),Victoria,Pinot Noir,Light Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 83 of 102 Pinot Noir from Mornington Peninsula,,,,
36,14.0% (2015),Massena,Screw Cap,Australia,2015*,,The Moonlight Run Red Blend,$28.50 in any six,Barossa Valley,750mL,8.3 (2015),South Australia,Mataro Grenache Shiraz Cinsault,,Dry,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
37,13.0% (2014),Jericho,Screw Cap,Australia,2014*,,Adelaide Hills Syrah,$37.99 per bottle,Adelaide Hills,750mL,7.7 (2014),South Australia,Syrah,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
38,14.50%,Clarendon Hills,,Australia,,,Syrah Brookman Vineyard 2006,$116.90 in any six,McLaren Vale,750mL,8.6,South Australia,Syrah,,Dry,$701.40 per case of 6,$122.99 per bottle,,,,
39,14.5% (2015),Sidewood,Screw Cap,Australia,2015*,,Mappinga Shiraz,$59.90 in any six,Adelaide Hills,750mL,8.6 (2015),South Australia,Shiraz,Full Bodied,Dry,$359.40 per case of 6,$62.99 per bottle,"Awards: 5 Gold Medals - Mundus Vini Germany 2017, Australian Wine Showcase Magazine 2015, Catavinum Spain 2015, Sydney International Wine Challenge 2012, Wine and Spirit Wholesalers of USA 2012",,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 44 Shiraz from Adelaide Hills
40,12.5% (2013),The Wanderer,Screw Cap,Australia,2013*,,Yarra Valley Pinot Noir,$38.00 in any six,Yarra Valley,750mL,7.4 (2013),Victoria,Pinot Noir,Light Bodied,,$456.00 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
41,14%,Thorn-Clarke,Screw Cap,Australia,2012,,Morello Nebbiolo,$15.10 in any six,Barossa Valley,750mL,8.3,South Australia,Nebbiolo,Full Bodied,Dry,$90.60 per case of 6,$15.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
42,14.00%,Lindeman's,Screw Cap,Australia,,Excellent,Coonawarra Trio Limestone Ridge Shiraz Cabernet 2010,$64.99 per bottle,Coonawarra,750mL,8.3,South Australia,Shiraz Cabernet,Full Bodied,Dry,$370.80 per case of 6,$63.80 in any six,Ranked 6 of 74 Shiraz from South Australia,,,
43,14.0% (2013),The Kingsman,Screw Cap,Australia,2013*,,Red Blend,$11.40 in any six,,750mL,8.3 (2013),,Red Blend,,Dry,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
44,14.0% (2013),Hardys,Screw Cap,Australia,2013*,,Oomoo Shiraz,$14.30 in any six,McLaren Vale,750mL,8.3 (2013),South Australia,Shiraz,Full Bodied,Dry,$85.80 per case of 6,$14.99 per bottle,Awards: Gold - Dan Murphy's National Wine Show of Australia 2012,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
45,14.5,Penfolds,Screw Cap,Australia,2012,,128 Shiraz 2012,$50.40 in any six,Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$302.40 per case of 6,$52.99 per bottle,Ranked 2 of 24 Shiraz from Coonawarra,,,
46,14.0% (2013),The Bruiser,Screw Cap,Australia,2013*,,Durif,$25.70 in any six,Rutherglen,750mL,8.7 (2013),Victoria,Durif,,Dry,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
47,14.5,Penfolds,Screw Cap,Australia,2012,,128 Shiraz 2012,$50.40 in any six,Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$302.40 per case of 6,$52.99 per bottle,Ranked 2 of 24 Shiraz from Coonawarra,,,
48,13.5%,Cat Amongst The Pigeons,Screw Cap,Australia,,,Jazz Cat Rosé,$136.80 per case of 6,Barossa Valley,750mL,8.0,South Australia,Grenache Rosé,Light Bodied,Dry,$7.88 per bottle,,,,,
49,14.0% (2013),Cirillo,Screw Cap,Australia,2013*,,Shiraz,$23.75 in any six,Barossa Valley,750mL,8.3 (2013),South Australia,Shiraz,Full Bodied,Dry,$285.00 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
50,14.50%,Henschke,Screw Cap,Australia,2010,Exceptional,Hill of Grace Shiraz 2010,Ranked 1 of 19 Shiraz from Eden Valley,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,,
51,13.5% (2012),Collector,Screw Cap,Australia,2012*,,Marked Tree Red Shiraz,$24.70 in any six,Canberra,750mL,8.0 (2012),New South Wales,Shiraz,Full Bodied,Dry,$296.40 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
52,12.50%,Cleanskin,Screw Cap,Australia,Non Vintage,,#17 SEA Dolce Syrah,$3.90 in any six,,750mL,7.4,,Dolcetto and Shiraz,,Sweet,$23.40 per case of 6,$3.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
53,14.5% (2014),Dog Ridge,Screw Cap,Australia,2014*,,The Pup Shiraz,$10.90 per bottle,McLaren Vale,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
54,14.5% (2015),Sidewood,Screw Cap,Australia,2015*,,Mappinga Shiraz,$59.90 in any six,Adelaide Hills,750mL,8.6 (2015),South Australia,Shiraz,Full Bodied,Dry,$359.40 per case of 6,$62.99 per bottle,"Awards: 5 Gold Medals - Mundus Vini Germany 2017, Australian Wine Showcase Magazine 2015, Catavinum Spain 2015, Sydney International Wine Challenge 2012, Wine and Spirit Wholesalers of USA 2012",,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 44 Shiraz from Adelaide Hills
55,12.5% (2013),The Wanderer,Screw Cap,Australia,2013*,,Yarra Valley Pinot Noir,$38.00 in any six,Yarra Valley,750mL,7.4 (2013),Victoria,Pinot Noir,Light Bodied,,$456.00 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
56,13.5% (2016),Crawford River,Screw Cap,Australia,2016*,,Rosé,$24.70 in any six,Henty,750mL,8 (2016),Victoria,Cabernet Sauvignon,Light Bodied,Dry,$296.40 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 11 of 22 Red Blend from Australia,
57,14.00%,Lindeman's,Screw Cap,Australia,,Excellent,Coonawarra Trio Limestone Ridge Shiraz Cabernet 2010,$64.99 per bottle,Coonawarra,750mL,8.3,South Australia,Shiraz Cabernet,Full Bodied,Dry,$370.80 per case of 6,$63.80 in any six,Ranked 6 of 74 Shiraz from South Australia,,,
