,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Langtons Classified,Wine Body,Price Option 1,Price Option 2,Price Option 3,Price Option 4
65,15.00%,Penley Estate,Screw Cap,Australia,Phoenix Cabernet Sauvignon 2006,$21.90 in any six,Coonawarra,750mL,8.9,South Australia,Cabernet Sauvignon,Dry,2006,,Full Bodied,$123.00 per case of 6,$22.90 per bottle,Awards: 2 Gold - Sommelier Wine Awards 2009 & LA International Wine Competition 2008,
66,14.50%,Clarendon Hills,Cork,Australia,Syrah “Hickinbotham Vineyard” 2009,$118.80 in any six,McLaren Vale,750mL,8.6,South Australia,Syrah,Dry,,,,$712.80 per case of 6,$124.99 per bottle,,
67,13.50%,Lethbridge,Screw Cap,Australia,Mietta Pinot Noir,$76.00 in any six,Geelong,750mL,8,Victoria,Pinot Noir,Dry,2012*,,Light Bodied,$912.00 per case of 12,$79.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 14 of 25 Pinot Noir from Geelong
68,13.5% (2012),Jones Rd,Screw Cap,Australia,Nepean Pinot Noir,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.0 (2012),Victoria,Pinot Noir,Dry,2012*,,Light Bodied,,,,
69,14.00%,Marchand and Burch,Screw Cap,Australia,Mount Barrow Pinot Noir,$47.50 in any six,Great Southern,750mL,8.3,Western Australia,Pinot Noir,Dry,2015*,,Light Bodied,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
70,14.00%,Marchand and Burch,Screw Cap,Australia,Mount Barrow Pinot Noir,$47.50 in any six,Great Southern,750mL,8.3,Western Australia,Pinot Noir,Dry,2015*,,Light Bodied,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
71,14.50%,Dutschke,Screw Cap,Australia,Block 80 Merlot,$23.80 in any six,Barossa Valley,750mL,8.6,South Australia,Merlot,Dry,2013*,,Medium Bodied,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
72,14.50%,Alkoomi,Screw Cap,Australia,Jarrah,$42.80 in any six,Frankland River,750mL,8.6,Western Australia,Shiraz,Dry,2010*,,Full Bodied,$256.80 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 25 Shiraz from Great Southern
73,12.0% (2014),Charles Melton,Screw Cap,Australia,Rose Of Virginia Rosé,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,7.1 (2014),South Australia,Red Blend,Dry,2014*,,Light Bodied,Ranked 23 of 26 Grenache from Barossa Valley,,,
74,13.5% (2015),Cleanskin,Screw Cap,Australia,Shiraz Cabernet,$4.75 in any six,,750mL,8.0 (2015),,Shiraz Cabernet,Dry,2015*,,Full Bodied,$28.50 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
75,14.50%,St Hallett,Screw Cap,Australia,Faith Shiraz 2008,$20.89 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz,Dry,2008,,Full Bodied,$124.05 per case of 6,$21.99 per bottle,,
76,14.00%,Seppelt,Screw Cap,Australia,Chalambar Shiraz 2010,$114.00 per case of 6,Grampians,750mL,8.3,Victoria,Shiraz,Dry,2010,,Full Bodied,$19.99 per bottle,Ranked 10 of 61 Shiraz from Central Victoria,,
77,13.2%,Bimbadgen,,Australia,Estate Shiraz 2015,$16.20 in any six,,750mL,7.9,,Shiraz,,2015,,,$194.40 per case of 12,$16.99 per bottle,,
78,14.5% (2008),Maglieri,Cork,Australia,Merlot,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6 (2008),South Australia,Merlot,Dry,2008*,,Medium Bodied,,,,
79,14.8% (2014),Evans & Tate,Screw Cap,Australia,Gnangara Shiraz,$8.45 in any six,,750mL,8.7 (2014),Western Australia,Shiraz,Dry,2014*,,Full Bodied,$50.70 per case of 6,$8.90 per bottle,Awards: Gold - Riverina Wine Show 2011. Silver - Riverina Wine Show 2011.,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur."
80,13.2% (2011),Richmond Grove,Screw Cap,Australia,Weathervane Cabernet Merlot,$7.90 per bottle,Barossa Valley,750mL,7.8 (2011),South Australia,Cabernet Merlot,Dry,2011*,,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
81,13.9% (2013),Charles Sturt,Screw Cap,Australia,Cabernet Merlot,$13.29 in any six,Orange,750mL,8.3 (2013),New South Wales,Cabernet Merlot,Dry,2013*,,Medium Bodied,$159.48 per case of 12,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",
