,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Langtons Classified,Wine Body,Price Option 1,Price Option 2,Price Option 3,Price Option 4
107,13.80%,Henschke,Cork,Australia,Hill of Grace Shiraz 1995,Ranked 9 of 15 Shiraz from South Australia,Eden Valley,750mL,8.2,South Australia,Shiraz,Dry,1995,Exceptional,Full Bodied,,,,
108,14.50%,Katnook Estate,Cork,Australia,Prodigy Shiraz 1998,$139.99 per bottle,Coonawarra,750mL,8.6,South Australia,Shiraz,Dry,1998,Excellent,Full Bodied,,,,
109,14.50%,Chapel Hill,Screw Cap,Australia,Shiraz 2009,$38.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Dry,,,Full Bodied,$444.60 per case of 12,$37.05 in any six,Ranked 53 of 81 Shiraz from McLaren Vale,
110,14.50%,Katnook Estate,Cork,Australia,Prodigy Shiraz 1998,$139.99 per bottle,Coonawarra,750mL,8.6,South Australia,Shiraz,Dry,1998,Excellent,Full Bodied,,,,
111,14.50%,Chapel Hill,Screw Cap,Australia,Shiraz 2009,$38.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Dry,,,Full Bodied,$444.60 per case of 12,$37.05 in any six,Ranked 53 of 81 Shiraz from McLaren Vale,
112,13.0% (2011),Bindi,Cork,Australia,Pyrette Heathcote Shiraz,$28.88 in any six,Heathcote,750mL,7.7 (2011),Victoria,Shiraz,Dry,2011*,,Full Bodied,$346.56 per case of 12,$28.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
113,12.3% (2016),The Blackwood,Screw Cap,Australia,Rushy Creek Rosé,$8.88 in any six,Blackwood Valley,750mL,7.3 (2016),Western Australia,Rosé,Dry,2016*,,Light Bodied,$106.56 per case of 6,$8.88 per bottle,Awards: Gold Medal - Qantas Wine Show of Western Australia 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur."
114,13.0% (2012),Dalwhinnie,Screw Cap,Australia,The Hut Shiraz,$14.88 in any six,Pyrenees,750mL,7.7 (2012),Victoria,Shiraz,Dry,2012*,,Full Bodied,$178.56 per case of 12,$14.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
115,13.0% (2011),Bindi,Cork,Australia,Pyrette Heathcote Shiraz,$28.88 in any six,Heathcote,750mL,7.7 (2011),Victoria,Shiraz,Dry,2011*,,Full Bodied,$346.56 per case of 12,$28.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
116,14.5%,Clarendon Hills,Screw Cap,Australia,Brookman Clarendon Cabernet,$47.50 in any six,,750mL,8.6,South Australia,Cabernet Sauvignon,,2013*,,,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
117,14.5%,Penfolds,Cork,Australia,Bin 707 Cabernet Sauvignon 2016,$599.00 per bottle,"Coonawarra, McLaren Vale, Barossa Valley, Adelaide Hills",750mL,8.6,South Australia,Cabernet Sauvignon,,,,,"$3,594.00 per case of 6",,,
118,14.5% (2009),Barwang,Screw Cap,Australia,GDR Cabernet Sauvignon,$24.88 in any six,Hilltops,750mL,8.6 (2009),New South Wales,Cabernet Sauvignon,Dry,2009*,,Full Bodied,$149.28 per case of 6,$24.88 per bottle,"Awards: 1 Trophy - Canberra Regional Wine Show 2011. 6 Gold - Bathurst National Cool Climate Wine Show 2011, Canberra Regional Wine Show 2011, Royal Melbourne Wine Show 2011, Royal Hobart International Wine Show 2011, Royal Queensland Wine Show 2012, Sydney Royal","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur."
119,14.50%,Fox Creek,Cork,Australia,Reserve Shiraz 1998,$119.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Dry,1998,Excellent,Full Bodied,,,,
