,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic,Vegan Friendly
27,14.50%,Vasse Felix,Screw Cap,Australia,,Heytesbury Cabernet Blend 2008,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,Ranked 8 of 46 Cabernet Sauvignon from Margaret River,,,Margaret River,750mL,8.6,Western Australia,Cabernet Blend,,Dry,Outstanding,,
28,14.4%,Pauletts,Screw Cap,Australia,2014*,Cabernet Merlot,$20.00 in any six,$240.00 per case of 12,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 30 of 47 Cabernet Sauvignon from South Australia,,Clare Valley,750mL,8.5,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,
29,13.0,De Bortoli,Screw Cap,Australia,2012,Melba Lucia Cabernet Sauvignon Sangiovese 2012,Delivery Offer$89.00 per case of 6,$17.90 per bottle,$107.40 per case of 6,Dry Red,Ranked 2 of 17 Red Blend from Australia,,Yarra Valley,750mL,7.7,FRE,Cabernet Sauvignon S,,Cabernet Sauvignon S,,,
30,13.50%,Penfolds,Cork,Australia,1992,Grange 1992,$750.00 per bottle,,,,,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,
31,14.0%,Taylors,Screw Cap,Australia,2015*,Discoveries Shiraz Cabernet,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.3,South Australia,Shiraz Cabernet Sauvignon,Full Bodied,Dry,,,
32,14.5%,McLaren Vale III Associates,Screw Cap,Australia,2016,Squid Ink Shiraz,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,"Awards: Double Gold Medal - China WIne and Spirits Awards 2015. Two Gold Medals - AWC Vienna Wine Challenge 2015, New Zealand International and Wine Show 2015.
Double Trophy – Hong Kong IWSC 2018 – Best Red Wine from Australia & Best Shiraz
Gold Medal – IWC London International Wine Challenge 2018","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
33,14.5%,The Yarra Valley Wine Co,Screw Cap,Australia,2016*,Shiraz,$9.00 in any six,$54.00 per case of 6,$9.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.6,,Shiraz,Full Bodied,Dry,,,
34,14%,Clonakilla,Screw Cap,Australia,2017*,Hilltops Shiraz 750mL,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 36 of 100 Shiraz from New South Wales,,Hilltops,750mL,8.3,New South Wales,Shiraz,Full Bodied,Dry,,,
35,14.20%,d'Arenberg,,Australia,,The Footbolt Shiraz 2011,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"Awards: Critics Silver - Critics Challenge Wine Competition Awarded 2014, Silver - Dan Berger's International Wine Competition Awarded 2014",,,McLaren Vale,750mL,8.5,South Australia,Shiraz,Full Bodied,,,,
36,14.5%,Teusner,Screw Cap,Australia,2016*,Avatar Grenache Mataro Shiraz,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Barossa Valley,750mL,8.6,South Australia,Grenache Mourvèdre Shiraz,Medium Bodied,Dry,,,
