,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic,Vegan Friendly
90,14.5%,Schild Estate,Screw Cap,Australia,2016*,Cabernet Sauvignon,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,Awards: Silver Medal - San Francisco IWC 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
91,8.5%,Squealing Pig,Can Closure,Australia,,Spritzed Rosé Cans 250mL,$23.99 per pack of 4,$126.99 per case of 24,$6.99 per can (in store),,,,,250mL,1.7,,,,,,,
92,14.5% (2014),Mojo,Screw Cap,Australia,2014*,Shiraz,$11.30 in any six,$67.80 per case of 6,$11.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Barossa Valley,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,,,
93,13.5%,Eden Road,Screw Cap,Australia,2015*,The Long Road Syrah,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Canberra District,750mL,8.0,New South Wales,Syrah,Full Bodied,Dry,,,
94,14%,Cape Mentelle,Screw Cap,Australia,2016,Cabernet Sauvignon,$79.80 in any six,$478.80 per case of 6,$83.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Outstanding,,
95,14.5,Water Wheel,Screw Cap,Australia,2015*,Signature Edition Shiraz Cabernet,$9.99 per bottle,$114.00 per case of 12,$9.50 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.6,Victoria,Shiraz Cabernet,Full Bodied,Dry,,,
96,13.5% (2015),Barwang,Screw Cap,Australia,2015*,Shiraz,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"Awards: 2 Trophies - Canberra Regional Wine Show 2014. Double Gold - China Wine and Spirits Awards 2015. 6 Gold Medals - National Cool Climate Wine Show 2017 (2014 vintage), Royal Hobart Wine Show 2017 (2014 vintage), Rutherglen Wine Show 2017, Royal Melbourne Wi","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Hilltops,750mL,8 (2015),New South Wales,Shiraz,Full Bodied,Dry,,,
97,14.1%,St Hugo,Screw Cap,Australia,2014*,Cabernet Shiraz,$39.99 per bottle,$228.00 per case of 6,$38.00 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.3,South Australia,Cabernet Shiraz,Full Bodied,Dry,,,
98,14.5%,Thorn-Clarke,Screw Cap,Australia,2016*,Shotfire Shiraz,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
99,14.0%,Buckland Gap,Screw Cap,Australia,2017*,Pinot Noir,$9.00 in any six,$54.00 per case of 6,$9.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.3,,Pinot Noir,Light Bodied,Dry,,,
100,14.50%,The Old Faithful,Cork,Australia,,Top Of The Hill Shiraz 2010,$52.30 in any six,$313.80 per case of 6,$54.99 per bottle,Ranked 40 of 136 Shiraz from McLaren Vale,,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
101,14.0%,Cape Barren,Screw Cap,Australia,2016*,Native Goose Shiraz,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,McLaren Vale,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,
102,14.0%,Cleanskin,Screw Cap,Australia,2016*,No 85 Margaret River Cabernet Merlot,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,
103,13.5%,Wolf Blass,Screw Cap,Australia,2017*,Yellow Label Merlot,$9.95 in any six,$59.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.0,South Australia,Merlot,Medium Bodied,Dry,,,
104,13.5%,Brookland Valley Estate,Screw Cap,Australia,2016*,Verse 1 Cabernet Merlot,$8.90 per bottle,$50.70 per case of 6,$8.45 in any six,Awards: Gold Medal - Sydney Royal Wine Show 2016 and National Wine Show Canberra 2016 and Royal Melbourne Wine Show 2012,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.0,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,
105,14.5%,Duck Duck Goose,Screw Cap,Australia,2016*,Shiraz,$14.99 per bottle,$84.60 per case of 6,$14.30 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Barossa Valley,750mL,10.9,South Australia,Shiraz,Full Bodied,Dry,,,
106,14.2%,Speak No Evil,Screw Cap,Australia,2017*,Hilltops Shiraz,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Hilltops,750mL,8.4,New South Wales,Shiraz,Full Bodied,Dry,,,
107,14.00%,Oliver's Taranga Vineyards,Screw Cap,Australia,,Shiraz 2012,$39.90 in any six,$239.40 per case of 6,$41.99 per bottle,Ranked 110 of 143 Shiraz from McLaren Vale,,,McLaren Vale,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,
108,14%,Blass,Screw Cap,Australia,2016*,Reserve Shiraz,$14.30 in any six,$84.60 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Langhorne Creek,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,
109,14%,St Hallett,Screw Cap,Australia,2017,Blockhead Shiraz,$19.95 in any six,$119.70 per case of 6,$19.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Barossa,750mL,8.3,,Shiraz,,,,,
110,14.00%,Grant Burge,Cork,Australia,,Meshach Shiraz 2009,$147.30 in any six,$883.80 per case of 6,$154.99 per bottle,Ranked 58 of 108 Shiraz from Barossa Valley,,,Barossa,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,
111,14%,Shanahans,Screw Cap,Australia,2016*,The Old Dog Shiraz,$17.99 per bottle,$102.60 per case of 6,$17.10 in any six,Awards: Gold Medal - China Wine & Spirit Awards Best Value 2016; Gold Medal - Concours Mondial de Bruxelles 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.4,South Australia,Shiraz,Full Bodied,Dry,,,
112,14%,Catching Thieves,Screw Cap,Australia,2018*,Cabernet Merlot,$10.40 in any six,$62.40 per case of 6,$10.90 per bottle,"Awards: 2 Trophies - Decanter World Wine Awards 2011, Cool Climate Wine Show 2011","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,
113,13.7%,Tahbilk,Screw Cap,Australia,2012,Cabernet Sauvignon 2012,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"Awards: International Wine Challenge, 2015: Bronze",,,Nagambie Lakes,750mL,8.2,Victoria,Caberent Sauvignon,,,,,
114,14%,Howard Park,Screw Cap,Australia,2011,Leston Shiraz 2011,$53.20 in any six,$319.20 per case of 6,$55.99 per bottle,,,,Margaret River,750mL,8.3,Western Australia,Shiraz,,,,,
115,14.50%,Penfolds,Screw Cap,Australia,,Bin 28 Kalimna Shiraz 2011,$50.40 in any six,$302.40 per case of 6,$52.99 per bottle,Ranked 29 of 56 Shiraz from Barossa Valley,,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
116,13.5%,Lindeman's,Screw Cap,Australia,2017*,Bin 50 Shiraz 187ml,$2.59 in any six,$62.16 per case of 24,$2.69 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,187mL,2.2,,Shiraz,Full Bodied,Dry,,,
117,14%,McWilliam's,Screw Cap,Australia,2015*,McW 480 Hilltops Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,Awards: Gold Medal - 2017 China Wine and Spirits awards (2015 vintage),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Hilltops,750mL,8.3,,Shiraz,Full Bodied,Dry,,,
118,,,,,,Unknown,,,,,,,,,,,,,,,,
119,15.0% (2015),Jasper Hill,Cork,Australia,2015*,Georgia's Paddock Shiraz,$86.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 23 Shiraz from Heathcote,,,,Heathcote,750mL,8.9 (2015),Victoria,Shiraz,Full Bodied,Dry,Outstanding,true,
