,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 2,Price Option 3,Langtons Classified,Price Option 4,Organic
104,14.50%,Chapel Hill,Screw Cap,Australia,,The Vicar 2008,$84.99 per bottle,$484.50 per case of 6,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$80.75 in any six,Ranked 25 of 92 Shiraz from McLaren Vale,,,
105,14.50%,Rockford,Cork,Australia,2005,Rifle Range Cabernet Sauvignon 2005,$99.99 per bottle,,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
106,14.50%,Kay Brothers Amery Vineyards,Screw Cap,Australia,2008,Basket Pressed Shiraz 2008,$28.49 in any six,$341.88 per case of 12,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$29.99 per bottle,Ranked 33 of 92 Shiraz from McLaren Vale,,,
107,14.3,Dalwhinnie,Cork,Australia,2005,Moonambel Shiraz 2005,$69.99 per bottle,Ranked 1 of 29 Shiraz from Western Victoria,Pyrenees,750mL,8.5,Victoria,Shiraz,Full Bodied,Dry,,,Excellent,,
108,14.00%,Penfolds,Screw Cap,Australia,,Bin 407 Cabernet Sauvignon 2009,$95.00 in any six,$570.00 per case of 6,,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$99.99 per bottle,Ranked 8 of 21 Cabernet Sauvignon from Barossa Valley,Excellent,,
109,16.00%,Kay Brothers Amery Vineyards,Screw Cap,Australia,2005,Block 6 Shiraz 2005,$127.99 per bottle,,McLaren Vale,750mL,9.5,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,,
110,14.50%,Petaluma,Cork,Australia,2004,Coonawarra 2004,$94.99 per bottle,Ranked 4 of 44 Cabernet Sauvignon from South Australia,Coonawarra,750mL,8.6,South Australia,Cabernet Merlot,,Dry,,,Excellent,,
111,14.50%,Grant Burge,Screw Cap,Australia,,Corryton Park Cabernet Sauvignon 2008,$39.90 in any six,$239.40 per case of 6,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$41.99 per bottle,,,,
112,14.50%,Penfolds,Cork,Australia,,Grange 2012 Magnum 1.5L,"$5,700.00 per case of 3","$2,000.00 per bottle",,1.5L,17.2,South Australia,Shiraz,Full Bodied,Dry,,,,,
113,15.5,Murray Street Vineyards,,Australia,,Gomersal Shiraz 2006,$76.00 in any six,$456.00 per case of 6,Barossa Valley,750mL,9.2,South Australia,Shiraz,Full Bodied,Dry,$80.00 per bottle,,,,
114,15.00%,Murray Street Vineyards,,Australia,,Benno Shiraz Mataro 2006,$109.30 in any six,$655.80 per case of 6,,750mL,8.9,,Shiraz Mataro,Full Bodied,Dry,$115.00 per bottle,,,,
115,14.50%,Penfolds,Screw Cap,Australia,2008,Kalimna Bin 28 Shiraz 2008,$54.99 per bottle,Ranked 28 of 114 Shiraz from Barossa Valley,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Excellent,,
116,15.00%,Saltram,Screw Cap,Australia,2006,No. 1 Shiraz 2006,$85.49 in any six,$512.94 per case of 6,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,$89.99 per bottle,Ranked 37 of 120 Shiraz from Barossa Valley,,,
117,14.50%,Penfolds,Screw Cap,Australia,2007,RWT Barossa Valley Shiraz 2007,Ranked 4 of 78 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,,
118,13.50%,Wendouree,Cork,Australia,2006,Shiraz Mataro 2006,$114.99 per bottle,,Clare Valley,750mL,8,South Australia,Shiraz Mataro,Full Bodied,Dry,,,Outstanding,,
119,14.50%,Peter Lehmann,,Australia,2005,Stonewell Shiraz 2005,$123.50 in any six,$741.00 per case of 6,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$129.99 per bottle,Ranked 23 of 112 Shiraz from Barossa Valley,Outstanding,,
