,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Vegan Friendly,Price Option 3,Price Option 4,Langtons Classified,Organic
85,14.499999999999998%,Finca Bacara,,Australia,Taba,$44.95 per bottle,$269.70 per case of 6,,,750mL,8.5,,Tempranillo,,,,,,,,
86,14%,Secret Selection,Cork,Australia,Barossa Cabernet Sauvignon 2009,Online Offer$39.90 per bottle,$76.99 per bottle,,,750mL,7.7,South Australia,Cabernet Sauvignon,,Dry,2009,,,,,
87,12.0%,A&D Wines,,Australia,Liv Rosé,$18.95 per bottle,$227.40 per case of 12,,,750mL,7.1,,"Vinhao, Touriga Nacional",,,,,,,,
88,13.5%,Bryan MacRobert,,Australia,Abbotsdale Rd Syrah,$24.95 per bottle,$299.40 per case of 12,,,750mL,7.9,,Syrah,,,,,,,,
89,13.5%,Tobacco Road,Screw Cap,Australia,Merlot,$13.30 in any six,$150.00 per case of 12,$14.99 per bottle,Beechworth,750mL,8.0,Victoria,Merlot,Medium Bodied,Dry,2017*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
90,13.5%,Chalmers,Screw Cap,Australia,Nero d'Avola 2012,$25.70 in any six,$308.40 per case of 6,$26.99 per bottle,Heathcote,750mL,8.0,Victoria,Nero d'Avola,,Dry,2016*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
91,13.80%,Flametree,Screw Cap,Australia,SRS Cabernet Sauvignon,$56.10 in any six,$336.60 per case of 6,$58.99 per bottle,Margaret River,750mL,8.2,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,2013*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 39 of 72 Cabernet Sauvignon from Margaret River,,
92,14.5%,d'Arenberg,Screw Cap,Australia,The Derelict Vineyard Grenache,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,2014*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 15 of 27 Grenache from McLaren Vale,,
93,12.0%,Frères Lafitte,,Australia,Le Tandem,$21.95 per bottle,$131.70 per case of 6,,,750mL,7.1,,"Cabernet Franc, Malbec",,,,,,,,
94,14%,Secret Selection,Cork,Australia,Barossa Cabernet Sauvignon 2009,Online Offer$39.90 per bottle,$76.99 per bottle,,,750mL,7.7,South Australia,Cabernet Sauvignon,,Dry,2009,,,,,
95,15.0% (2011),Teusner,Cork,Australia,Righteous Mataro,$89.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.9 (2011),South Australia,Mourvèdre,,Dry,2011*,,,,,
96,23.5%,Santa & D'Sas,Screw Cap,Australia,King Valley Nuovo Rosso Sangiovese,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,King Valley,750mL,8.0,Victoria,Sangiovese,,Dry,2015*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 16 of 16 Sangiovese from North East Victoria,,
97,14.0%,Wendouree,,Australia,Shiraz Malbec 2013,$119.99 per bottle,Ranked 27 of 58 Shiraz from South Australia,,Clare Valley,750mL,8.3,South Australia,Shiraz Malbec,,Dry,,,,,Outstanding,
98,15.10%,Smidge,Screw Cap,Australia,Adamo Barossa Shiraz,$27.60 in any six,$165.60 per case of 6,$28.99 per bottle,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,2013*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
99,14.0% (2012),Smidge,Cork,Australia,Magic Dirt Eden Valley Shiraz,$90.30 in any six,$541.80 per case of 6,$94.99 per bottle,Barossa Valley,750mL,8.3 (2012),South Australia,Shiraz,Full Bodied,Dry,2012*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
