,Alcohol Volume,Brand Name,Closure,Country,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Wine Body,Vegan Friendly
41,12.5% (2015),Kerri Greens,Screw Cap,Australia,,Hickson Chardonnay,$28.50 in any six,Mornington Peninsula,750mL,7.4 (2015),Victoria,Chardonnay,Dry,2015*,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
42,13.0% (2015),Cape Barren,Screw Cap,Australia,,Adelaide Hills Sauvignon Blanc,$18.10 in any six,Adelaide Hills,750mL,7.7 (2015),South Australia,Sauvignon  Blanc,Dry,2015*,$217.20 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
43,12.00%,Leeuwin Estate,Screw Cap,Australia,,Art Series Riesling 2012,$29.99 per bottle,Margaret River,750mL,7.1,Western Australia,Riesling,Dry,,$341.88 per case of 12,$28.49 in any six,Ranked 5 of 41 Riesling from South West Australia,,,
44,12.5%,Leasingham,Screw Cap,Australia,,Bin 7 Riesling,$12.30 in any six,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,2017*,$73.80 per case of 6,$12.90 per bottle,Awards: Gold - Royal Queensland Wine Show 2013,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
45,12.5%,Leasingham,Screw Cap,Australia,,Bin 7 Riesling,$12.30 in any six,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,2017*,$73.80 per case of 6,$12.90 per bottle,Awards: Gold - Royal Queensland Wine Show 2013,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
46,13.5% (2009),Stefano Lubiana,Screw Cap,Australia,,Riesling,$20.85 in any six,Southern Tasmania,750mL,8 (2009),Tasmania,Riesling,Dry,2009*,$250.20 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
47,12.5% (2013),Coldstream Hills,Screw Cap,Australia,,Sauvignon Blanc,$125.28 per case of 6,Yarra Valley,750mL,7.4 (2013),Victoria,Sauvignon Blanc,Dry,2013*,$20.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
48,12.5% (2013),Coldstream Hills,Screw Cap,Australia,,Sauvignon Blanc,$125.28 per case of 6,Yarra Valley,750mL,7.4 (2013),Victoria,Sauvignon Blanc,Dry,2013*,$20.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
49,13.0% (2008),Yarra Burn,Screw Cap,Australia,,Chardonnay,$20.90 in any six,Yarra Valley,750mL,7.7 (2008),Victoria,Chardonnay,Dry,2008*,$124.05 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 12 of 45 Chardonnay from Yarra Valley,,
50,12.7% (2015),Soumah,Screw Cap,Australia,,Hexham Single Vineyard Sauvignon Blanc,$22.80 in any six,Yarra Valley,750mL,7.5 (2015),Victoria,Sauvignon Blanc,Dry,2015*,$273.60 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 10 of 17 Sauvignon Blanc from Port Phillip,,
51,13.5% (2011),Evans & Tate,Screw Cap,Australia,,Gnangara Unwooded Chardonnay,$8.90 per bottle,,750mL,8 (2011),Western Australia,Chardonnay,Dry,2011*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
