,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,Varietal,Wine Style,State,Price Option 2,Wine Body,Vegan Friendly,Price Option 3,Price Option 4,Price Option 5,Langtons Classified,Organic
104,14.50%,Tahbilk,Cork,Australia,,1860 Vines Shiraz 2004,$320.00 per bottle,,Goulburn Valley,750mL,8.6,Shiraz,Dry,Victoria,,Full Bodied,,,,,,
105,14.8%,Smidge,Cork,Australia,2013*,Magic Dirt Greenock Shiraz,$90.30 in any six,$541.80 per case of 6,Barossa Valley,750mL,8.8,Shiraz,Dry,South Australia,$94.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
106,14.000000000000002%,Kellermeister,Screw Cap,Australia,2015*,The Pious Pioneer Shiraz,$31.40 in any six,$188.40 per case of 6,Barossa  Valley,750mL,8.3,Shiraz,,South Australia,$32.99 per bottle,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
107,14%,Paradise IV,Screw Cap,Australia,2016*,Dardel,$75.10 in any six,$901.20 per case of 12,Geelong,750mL,8,Shiraz,Dry,Victoria,$78.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 39 Shiraz from Port Phillip,,,
108,13.0% (2014),Santolin,Screw Cap,Australia,2014*,Pinot Noir,$45.60 in any six,$547.20 per case of 12,Yarra Valley,750mL,7.7 (2014),Pinot Noir,Dry,Victoria,$47.99 per bottle,Light Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
109,13.5% (2015),Rolf Binder,Screw Cap,Australia,2015*,Barossa Cabernet Sauvignon Merlot,$20.00 in any six,$240.00 per case of 12,Barossa Valley,750mL,8 (2015),Cabernet Sauvignon Merlot,Dry,South Australia,$20.99 per bottle,Medium Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
110,13.0%,Bachelet,,Australia,,Gevrey-Chambertin VV,$219.95 per bottle,"$1,319.70 per case of 12",,750mL,7.6,Pinot noir,,,,,,,,,,
111,12.0%,Frères Lafitte,,Australia,,Le Petit Gascoun,$18.95 per bottle,$113.70 per case of 6,,750mL,7.1,"Tannat, Cabernet Franc",,,,,,,,,,
112,14%,Sweetwater,Screw Cap,Australia,,Shiraz,$49.99 per bottle,$280.00 per case of 6,Hunter Valley,750mL,8.3,Shiraz,Dry,New South Wales,Awards: Gold Medal; 2018 NSW Wine Awards,Full Bodied,,,,,,
113,13.50%,Paradise IV,Screw Cap,Australia,2015*,Chaumont,$64.60 in any six,$775.20 per case of 12,Geelong,750mL,7.9,Cabernet Blend,Dry,Victoria,$67.99 per bottle,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
114,14.5%,Head,Screw Cap,Australia,2016*,The Blonde Shiraz,$41.80 in any six,$250.80 per case of 6,Barossa Valley,750mL,8.6,Shiraz,Dry,South Australia,$43.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 113 of 135 Shiraz from Barossa Valley,,,
115,14%,Bethany,Screw Cap,Australia,2016*,Shiraz,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3,Shiraz,Dry,South Australia,,Full Bodied,,,,,,
116,13.00%,Levantine Hill,Cork,Australia,2015*,Melissa's Paddock Syrah 2015,$190.00 in any six,"$1,140.00 per case of 6",Yarra Valley,750mL,7.7,Syrah,Dry,Victoria,$199.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
117,12.60%,Penfolds,Cork,Australia,1957,Grange 1957,"$35,000.00 per bottle",,,750mL,7.5,Shiraz,Dry,South Australia,,Full Bodied,,,,,Exceptional,
118,14.70%,Ancient Wisdom,,Australia,2013,Reserve Shiraz 2013,$38.00 in any six,$228.00 per case of 6,Clare Valley,750mL,8.7,Shiraz,Dry,South Australia,$39.99 per bottle,Full Bodied,,,,,,
119,14.5% (2010),Echo Vale,Screw Cap,Australia,2010*,Classic Barossa Blend,$17.00 in any six,$102.00 per case of 6,Barossa Valley,750mL,8.6 (2010),Merlot Cabernet Cabernet Franc,Dry,South Australia,$17.90 per bottle,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
