,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,Varietal,Wine Style,State,Price Option 2,Wine Body,Vegan Friendly,Price Option 3,Price Option 4,Price Option 5,Langtons Classified,Organic
38,12.50%,Mount Mary,Cork,Australia,1999,Quintet 1999,$229.99 per bottle,,Yarra Valley,750mL,7.4,Red Blend,Dry,Victoria,,,,,,,Exceptional,
39,15.0%,Murray Street Vineyards,Screw Cap,Australia,2005*,Benno Shiraz Mataro 2005,$109.30 in any six,$327.90 per case of 3,Barossa Valley,750mL,8.9,Shiraz Mataro,Dry,South Australia,$115.00 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
40,13.5%,Penfolds,Cork,Australia,1998,Bin 707 Cabernet Sauvignon 1998,$599.00 per bottle,,,750mL,8.0,Cabernet Sauvignon,Dry,South Australia,,Full Bodied,,,,,Exceptional,
41,15.0%,Murray Street Vineyards,Screw Cap,Australia,2005*,Benno Shiraz Mataro 2005,$109.30 in any six,$327.90 per case of 3,Barossa Valley,750mL,8.9,Shiraz Mataro,Dry,South Australia,$115.00 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
42,13.5% (2016),Underground,Screw Cap,Australia,2016*,Pinot Noir,$18.10 in any six,$217.20 per case of 12,Mornington Peninsula,750mL,8 (2016),Pinot Noir,Dry,Victoria,$18.99 per bottle,Light Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
43,14.000000000000002%,Houghton,Screw Cap,Australia,2015*,Jack Mann Cabernet Sauvignon,$101.70 in any six,$610.20 per case of 6,Great Southern,750mL,8.3,Cabernet Sauvignon,Dry,Western Australia,$106.99 per bottle,,,Awards: Gold Medal - Adelaide Wine Show 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 53 Cabernet Sauvignon from South West Australia,Excellent,
44,13.5% (2016),Underground,Screw Cap,Australia,2016*,Pinot Noir,$18.10 in any six,$217.20 per case of 12,Mornington Peninsula,750mL,8 (2016),Pinot Noir,Dry,Victoria,$18.99 per bottle,Light Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
45,14.0% (2015),Lethbridge,Screw Cap,Australia,2015*,Shiraz,$37.99 in any six,$455.88 per case of 12,Heathcote,750mL,8.3 (2015),Shiraz,Dry,Victoria,$39.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
46,13.5%,Mount Majura,Screw Cap,Australia,2016,Pinot Noir,$28.50 in any six,$342.00 per case of 12,Canberra District,750mL,8,Pinot Noir,Dry,Australian Capital Territory,$29.99 per bottle,Light Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
47,14.5,Portarlington Ridge,Screw Cap,Australia,,Shiraz,$25.00 per bottle,$150.00 per case of 12,Bellarine,750mL,8.6,Shiraz,Shiraz,Victoria,,Full Bodied,true,,,,,
48,13%,S.C. Pannell,Screw Cap,Australia,,Adelaide Hills Pinot Noir,$34.99 per bottle,$419.88 per case of 12,Adelaide Hills,750mL,7.7,Pinot Noir,Dry,South Australia,,Light Bodied,,,,,,
49,14.0% (2010),Frankland Estate,Screw Cap,Australia,2010*,Cabernet Sauvignon,$28.50 in any six,$342.00 per case of 12,Great Southern,750mL,8.3 (2010),Cabernet Sauvignon,Dry,Western Australia,$29.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 36 of 70 Cabernet Sauvignon from South West Australia,,,
50,14.0% (2015),Lethbridge,Screw Cap,Australia,2015*,Shiraz,$37.99 in any six,$455.88 per case of 12,Heathcote,750mL,8.3 (2015),Shiraz,Dry,Victoria,$39.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
51,14.00%,Houghton,Cork,Australia,1996,Jack Mann Cabernet Shiraz 1996,$169.99 per bottle,,Great Southern,750mL,8.3,Shiraz,Dry,Western Australia,,Full Bodied,,,,,Excellent,
52,13.50%,Kay Brothers Amery Vineyards,Screw Cap,Australia,,Basket Pressed Shiraz 2010,$38.00 in any six,$456.00 per case of 12,McLaren Vale,750mL,8,Shiraz,Dry,South Australia,$39.99 per bottle,Full Bodied,,,,,,
53,14,Palmarium,Screw Cap,Australia,2010,Exemplar McLaren Vale Shiraz,$140.00 per bottle,$750.00 per case of 6,McLaren Vale,750mL,8,Shiraz,Shiraz,,"Awards: Gold Medal - IWSC Awards 2014, China Wine Awards 2012",Full Bodied,,,,,,
54,15.0%,Cerbaiona,,Australia,,Brunello di Montalcino,$399.95 per bottle,"$2,399.70 per case of 12",,750mL,8.8,Sangiovese,,,,,,,,,,
55,14.000000000000002%,Celler Frisach,,Australia,,Sang de Corb,$59.95 per bottle,$719.40 per case of 6,,750mL,8.2,"Grenache, Grenache Peluda, Carignan",,,,,,,,,,
56,15.0%,Finca Bacara,,Australia,,Time Waits For No One Monastrell,$29.95 per bottle,$179.70 per case of 6,,750mL,8.8,Monastrell/Mouvredre,,,,,,,,,,
57,15.00%,Jim Barry,Cork,Australia,2007,The Armagh Shiraz 2007,$299.99 per bottle,Ranked 1 of 20 Shiraz from Clare Valley,Clare Valley,750mL,8.9,Shiraz,Dry,South Australia,,Full Bodied,,,,,Exceptional,
