,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Style,Region,Price Option 4,Vegan Friendly,Price Option 5,Organic,Langtons Classified,Wine Body
23,11%,Peter Lehmann,Screw Cap,Australia,2011*,Margaret Semillon,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,"Awards: Gold - International Wine and Spirits Competition 2017 (London) (2011 vintage), Gold -  International Wine Challenge, Gold - Royal Adelaide Wine Show",750mL,6.5,South Australia,Semillon,Dry,Barossa Valley,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
24,13.5%,Bay of Fires,Screw Cap,Australia,2017*,Pinot Gris,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8,Tasmania,Pinot Gris,Dry,Northern Tasmania,Ranked 4 of 21 Pinot Gris from Tasmania,,,,,
25,10.5%,St Hugo,Screw Cap,Australia,2017*,Riesling 750mL,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,"Awards: TROPHY Barossa Wine Show 2017 L Hugo Gramp Memorial Trophy Best Riesling, TROPHY Barossa Show 2016 The Hahn CorporaWine tion Trophy  Most Outstanding Barossa White Wine, GOLD Royal Melbourne Wine Awards 2016, GOLD Barossa Wine Show 2017, GOLD National Win",750mL,6.2,South Australia,Riesling,,Eden Valley,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 9 of 27 Riesling from Eden Valley,,,
26,6.00%,Cleanskin,Screw Cap,Australia,Non Vintage,Moscato,$5.69 in any six,$34.14 per case of 6,$5.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,3.6,South Australia,Moscato,Semi Sweet,,,,,,,
27,12%,Cockatoo Ridge,Screw Cap,Australia,2017*,Sauvignon Blanc 1L,$9.49 in any six,$56.94 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",1L,9.5,South Australia,Sauvignon  Blanc,Dry,,,,,,,
28,10.0% (2011),Alkoomi,Screw Cap,Australia,2011*,Late Harvest White,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,5.9 (2011),Western Australia,White Blend,Sweet,Great Southern,,,,,,
29,12.5% (2015),Philip Shaw,Screw Cap,Australia,2015*,No.11 Chardonnay,$30.39 in any six,$182.34 per case of 6,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2015),New South Wales,Chardonnay,Dry,Orange,,,,,,
30,12.5% (2016),West Cape Howe,Screw Cap,Australia,2016*,Sauvignon Blanc,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2016),Western Australia,Sauvignon Blanc,Dry,Great Southern,Ranked 13 of 23 Sauvignon Blanc from South West Australia,,,,,
31,12.5%,Mesh,Screw Cap,Australia,2018*,Riesling,$25.70 in any six,$154.20 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,South Australia,Riesling,Dry,Eden Valley,,,,,,
32,12%,Tolley,,Australia,2018,Clare Valley Riesling,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,South Australia,Riesling,,Clare Valley,,,,,,
33,12.9,Organic Hill,Screw Cap,Australia,,Organic Sauvignon Blanc 2017,Delivery Offer$89.00 per case of 6,$25.00 per bottle,$150.00 per case of 6,,750mL,7.6,South Australia,Sauvignon Blanc,,McLaren Vale,,true,,true,,
34,11.4%,Jacob's Creek,Screw Cap,Australia,2017*,Cool Harvest Unoaked Chardonnay,$9.95 in any six,$59.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.7,,Chardonnay,Dry,South Eastern Australia,,,,,,
35,12.5% (2016),Gossips,Screw Cap,Australia,2016*,Semillon Chardonnay,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2016),,Semillon Chardonnay,Dry,,,,,,,
36,9.3% (2015),Jacob's Creek,Screw Cap,Australia,2015*,Twin Pickings Pinot Gris Moscato,$9.95 in any six,$59.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,5.5 (2015),,White Blend,Dry,,,,,,,
37,12%,Tahbilk,Screw Cap,Australia,2017*,Marsanne,$12.35 in any six,$74.10 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Victoria,Marsanne,Dry,Goulburn Valley,,,,,,
38,12.5% (2015),Wine Men of Gotham,Screw Cap,Australia,2015*,Sauvignon Blanc,$6.00 in any six,$36.00 per case of 6,$6.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2015),South Australia,Sauvignon Blanc,Dry,,,,,,,
39,13%,Brand's Laira,Screw Cap,Australia,2017*,Blockers Chardonnay,$18.90 in any six,$113.40 per case of 6,$19.90 per bottle,Awards: Best Chardonnay of Show Limestone Coast Wine Show 2017,750mL,7.7,,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
40,,,,,,Unknown,,,,,,,,,,,,,,,,
41,13.0% (2013),Lenton Brae,Screw Cap,Australia,2013*,Semillon Sauvignon Blanc,$22.79 in any six,$273.48 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2013),Western Australia,Semillon Sauvignon Blanc,Dry,Margaret River,,,,,,
42,12.5% (2017),Glaetzer-Dixon,Screw Cap,Australia,2017*,überblanc Riesling,$24.99 per bottle,$285.60 per case of 6,$23.80 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2016),Tasmania,Riesling,Dry,,Ranked 25 of 56 Riesling from Tasmania,,,,,
43,12.5%,Stanley,Cask Closure,Australia,Non Vintage*,Colombard Chardonnay Cask 4L,$12.99 each,$47.80 per case of 4,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,4L,39.0,New South Wales,Colombard Chardonnay,Dry,,,,,,,
44,15.00%,Go-Shu,Screw Cap,Australia,,Sake 740mL,Member Offer$18.00 per bottle,$20.00 in any six,$240.00 per case of 12,$20.99 per bottle,740mL,8.8,New South Wales,Sake,,,,,,,,
45,12.50%,Pewsey Vale,Screw Cap,Australia,2013,The Contours Riesling 2013,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,South Australia,Riesling,Dry,Eden Valley,Ranked 2 of 25 Riesling from Eden Valley,,,,Excellent,
46,12%,Skuttlebutt,Screw Cap,Australia,2017*,Sauvignon Blanc Semillon,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Western Australia,Sauvignon Blanc Semillon,Dry,,,,,,,
47,13.0% (2017),Crawford River,Screw Cap,Australia,2017*,Young Vines Riesling,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2017),Victoria,Riesling,Dry,Henty,Ranked 14 of 27 Riesling from Victoria,,,,,
48,13%,Henschke,Screw Cap,Australia,2015*,Tilly's Vineyard,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,South Australia,White Blend,Dry,Eden Valley,,,,,,
49,12.5% (2015),Fowles Wine,Screw Cap,Australia,2015*,Are You Game? Sauvignon Blanc,$9.40 in any six,$112.80 per case of 12,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2015),Victoria,Sauvignon Blanc,Dry,,,,,,,
50,12.5%,Tamar Ridge,Screw Cap,Australia,2017*,Riesling,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Tasmania,Riesling,Dry,Northern Tasmania,,,,,,
51,12.0% (2016),Castle Rock Estate,Screw Cap,Australia,2016*,Riesling,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1 (2016),Western Australia,Riesling,Dry,Great Southern,Ranked 8 of 32 Riesling from Great Southern,,,,,
52,11.00%,Hardys,Cask Closure,Australia,Non Vintage,Reserve Sauvignon Blanc Cask 3L,$16.99 each,$64.80 per case of 4,,,3L,26,South Australia,Sauvignon Blanc,Dry,,,,,,,
53,11%,Jacob's Creek,Screw Cap,Australia,2017*,Barossa Signature Riesling,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.5,South Australia,Riesling,Dry,Barossa,Ranked 17 of 31 Riesling from Barossa,,,,,
54,12.00%,Tyrrell's,Screw Cap,Australia,,Vat 1 Semillon 2009,$80.80 in any six,$484.80 per case of 6,$84.99 per bottle,Awards: Trophy - The National Wine Show 2015,750mL,7.1,New South Wales,Semillon,Dry,Hunter Valley,Ranked 1 of 54 Sémillon from Lower Hunter,,,,Outstanding,
55,10%,Rosemount,Screw Cap,Australia,2018*,Blends Traminer Riesling,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,5.9,South Australia,Traminer Riesling,Sweet,,,,,,,
56,12%,Claymore,Screw Cap,Australia,2018*,Joshua Tree Riesling,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,South Australia,Riesling,Dry,Clare Valley,Ranked 34 of 43 Riesling from Clare Valley,,,,,
