,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Style,Region,Price Option 4,Vegan Friendly,Price Option 5,Organic,Langtons Classified,Wine Body
86,11.5%,Jamiesons Run,Screw Cap,Australia,2017*,Limestone Coast Sauvignon Blanc Semillon,$11.40 in any six,$68.40 per case of 6,$10.90 per bottle,Awards: Trophy and Gold Medal: Royal Queensland Wine Show 2014,750mL,6.8,South Australia,Sauvignon Blanc Semillon,Dry,Limestone Coast,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
87,12.1%,Glamper,Screw Cap,Australia,2016*,Semillon Sauvignon Blanc,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,Awards: 1 Gold - CWSA Best Value 2017 Hong Kong. Best Value Buy WinestateMagazine May/June 2017. 88 Points Wine Showcase Magazine New Releases 2017,750mL,7.2,South Australia,Semillon Sauvignon Blanc,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
88,12.5%,Bellarine Estate,Screw Cap,Australia,,Nine Lives Fume Blanc,$32.00 per bottle,$192.00 per case of 6,,,750mL,7.4,Victoria,Fume Blanc,Dry,Bellarine,,true,,,,Light Bodied
89,12.50%,De Bortoli,Cask Closure,Australia,Non Vintage,Premium Reserve Chardonnay Cask 2L,$9.99 each,$57.00 per case of 6,,,2L,19.73,New South Wales,Chardonnay,Dry,,,,,,,
90,9.50%,Coolabah,Cask Closure,Australia,Non Vintage,Classic Dry White Cask 5L,$12.99 each,$24.80 per case of 2,,,5L,37.5,,White Blend,Dry,,,,,,,
91,13.5%,Nature's Step,Screw Cap,Australia,2018*,Organic Chardonnay,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,Awards: Silver Medal - Wine Showcase Magazine 2015,750mL,8.0,South Australia,Chardonnay,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",true,,true,,
92,8%,De Bortoli,,Australia,2017,Sia Moscato,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,4.7,,Moscato,,,,,,,,
93,13%,Angove,Screw Cap,Australia,2018*,Organic Chardonnay,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,South Australia,Chardonnay,Dry,,,,,true,,
94,11.5%,Peter Lehmann,Screw Cap,Australia,2017*,Portrait Eden Valley Dry Riesling,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,Awards: Gold Medal - Royal Queensland Wine Show 2016,750mL,6.8,South Australia,Riesling,Dry,Eden Valley,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
95,11.6%,Eden Hall,Screw Cap,Australia,2018*,Springton Riesling,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,"Awards: Gold Medal 2018 Royal Adelaide Wine Show
Gold Medal 2018 Canberra International Wine Challenge",750mL,6.9,South Australia,Riesling,Dry,Eden Valley,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
96,12%,Chrismont,Screw Cap,Australia,2017*,La Zona Pinot Grigio,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Victoria,Pinot Grigio,Dry,King Valley,,,,,,
97,12%,Tyrrell's,Screw Cap,Australia,2018*,Old Winery Chardonnay,$10.45 in any six,$62.70 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,New South Wales,Chardonnay,Dry,Hunter Valley,,,,,,
98,12.5\t,Whitecliff,Screw Cap,Australia,,Sauvignon Blanc 2018,$15.99 per bottle,$179.88 per case of 12,,,750mL,7.4,,Sauvignon Blanc,,"Marlborough, NZ",,,,,,
99,13%,Happs Estate,Screw Cap,Australia,,Preservative Free White 2018,$22.00 per bottle,$237.60 per case of 12,,,750ml,7.7,Western Australia,Blend,Dry,Margaret River,,,,,,Light Bodied
100,14.5%,Quealy,Screw Cap,Australia,2017*,Musk Creek Pinot Gris,$22.79 in any six,$273.48 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Victoria,Pinot Gris,Dry,Mornington Peninsula,Ranked 2 of 20 Pinot Gris from Port Phillip,,,,,
101,12.5%,Audrey Wilkinson,Screw Cap,Australia,2018*,Semillon,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,Awards: Gold Medal - Hunter Valley Wine Show (2017),750mL,7.4,New South Wales,Semillon,Dry,Hunter Valley,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
102,12.5%,Stella Bella,Screw Cap,Australia,2017*,Semillon Sauvignon Blanc,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Western Australia,Semillon Sauvignon Blanc,Dry,Margaret River,Ranked 15 of 18 Sémillon from Margaret River,,,,,
103,13.4% (2015),Frogmore Creek,Screw Cap,Australia,2015*,Chardonnay,$25.65 in any six,$153.90 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.9 (2015),Tasmania,Chardonnay,Dry,Southern Tasmania,,,,,,
104,13.5%,Toolangi,Screw Cap,Australia,2016*,Chardonnay,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Victoria,Chardonnay,Dry,Yarra Valley,,,,,,
105,13.1%,Eden Road,Screw Cap,Australia,2017*,The Long Road Pinot Gris,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.8,Australian Capital Territory,Pinot Gris,Dry,,,,,,,
106,11.5%,De Bortoli,Cask Closure,Australia,Non Vintage*,Premium Reserve Semillon Sauvignon Blanc Cask 2L,$9.99 each,$57.00 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,2L,18.0,New South Wales,Semillon Sauvignon Blanc,Dry,,,,,,,
107,13.0% (2015),Shadowfax,Screw Cap,Australia,2015*,Chardonnay,$29.99 per bottle,Awards: Gold - Sydney Royal Wine Show 2012,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 130 of 194 Chardonnay from Victoria,750mL,7.7 (2015),Victoria,Chardonnay,Dry,,,,,,,
108,13%,Watercolour,Screw Cap,Australia,2018*,Chardonnay,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,South Australia,Chardonnay,Dry,,,,,,,
109,13%,Fraser Gallop,Screw Cap,Australia,2017*,Parterre Chardonnay,$32.30 in any six,$387.60 per case of 12,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Western Australia,Chardonnay,Dry,Margaret River,Ranked 12 of 61 Chardonnay from Margaret River,,,,,
110,,,,,,Unknown,,,,,,,,,,,,,,,,
111,14.5%,Secret Selection,,Australia,2016*,Single Block Yarra Valley Chardonnay 2016,Online Offer$37.90 per bottle,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,750mL,8.6,Victoria,Chardonnay,,Yarra Valley,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
112,12%,Pepper Tree,Screw Cap,Australia,,Verdelho 2018 750mL,$19.00 ,$228.00 per case of 12,,,750mL,7.10,New South Wales,Verdelho,Semi Dry,Hunter Valley,,,,,,
113,12.5,Eddystone Point,Screw Cap,Australia,2016,Riesling,$16.10 in any six,$96.60 per case of 6,$16.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Tasmania,Riesling,Dry,,Ranked 10 of 51 Riesling from Tasmania,,,,,
114,12%,Banrock Station,Cask Closure,Australia,Non Vintage*,Pinot Grigio Cask 2L,$11.99 each,$68.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,2L,19.0,South Australia,Pinot Grigio,Dry,,,,,,,
115,12%,Cat Amongst the Pigeons,Screw Cap,Australia,2018*,Riesling,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,South Australia,Riesling,Dry,Eden Valley,,,,,,
116,13%,Custom Crush,Screw Cap,Australia,2015,Chardonnay 2015,$7.00 in any six,$84.00 per case of 12,$7.00 per bottle,,750mL,7.7,South Australia,Chardonnay,,,,,,,,
117,14.0% (2015),Scorpo,Screw Cap,Australia,2015*,Pinot Gris,$33.25 in any six,$199.50 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2015),Victoria,Pinot Gris,Dry,Mornington Peninsula,Ranked 9 of 15 Pinot Gris from Mornington Peninsula,,,,,
118,13.4% (2016),Passing Clouds,Screw Cap,Australia,2016*,Chardonnay,$20.89 in any six,$250.68 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.9 (2016),Victoria,Chardonnay,Dry,Goulburn Valley,,,,,,
119,13.0% (2017),Wine Men of Gotham,Screw Cap,Australia,2014*,Chardonnay,$5.00 in any six,$30.00 per case of 6,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2017),South Australia,Chardonnay,Dry,,,,,,,
