,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 5,Vegan Friendly,Langtons Classified,Organic
105,13% (2015),Quarry Hill,Screw Cap,Australia,2015*,Lost Acre Tempranillo 750mL,$22.80 in any six,$273.60 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Canberra District,750mL,7.7 (2015),Australian Capital Territory,Tempranillo,Full Bodied,Dry,,,,
106,14.0% (2014),Penny's Hill,Screw Cap,Australia,2014*,The Specialized Shiraz Cabernet Merlot,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,Awards: Gold - Royal Adelaide Wine Show 2011,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.3 (2014),South Australia,Shiraz Cabernet Merlot,,Dry,,,,
107,13.5% (2013),Dominique Portet,Cork,Australia,2013*,Shiraz,$45.59 in any six,$273.54 per case of 6,$47.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8 (2013),Victoria,Shiraz,Full Bodied,Dry,,,,
108,14.5%,Stockman's Ridge,Screw Cap,Australia,2014,Rider Shiraz,$22.80 in any six,$273.60 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 23 of 29 Shiraz from Central Ranges,Orange,750mL,8.6,New South Wales,Shiraz,Full Bodied,Dry,,,,
109,14.5%,Thorn-Clarke,Screw Cap,Australia,2017*,Sandpiper Cabernet Sauvignon,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
110,13.5%,Bendbrook,Screw Cap,Australia,2014,SL Cabernet Sauvignon,$22.80 in any six,$273.60 per case of 12,$23.99 per bottle,Awards: 2018 Adelaide Hills Wine Show Gold & Trophy - Best Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8,South Australia,,,,,,,
111,14.0%,Flametree,Screw Cap,Australia,2016*,Shiraz,$22.79 in any six,$273.48 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 22 of 35 Shiraz from South West Australia,Margaret River,750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,,,,
112,14.5% (2014),Mr Riggs,Cork,Australia,2014*,Shiraz,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,"Awards: Gold Medal - Tasting World Wine Championships 2017, Gold Medal - Australian Winestate Showcase New Release 2016, Gold Medal - The Global Syrah Masters 2017, Gold Medal - International Wine Challenge Tranche 1 2016 and Winemaker Challenge 2016 and New York","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,Ranked 18 of 116 Shiraz from McLaren Vale,,,
113,15%,Petaluma,Screw Cap,Australia,2016*,Shiraz,$37.95 in any six,$227.70 per case of 6,$37.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,
114,13.0%,Thomas Labaille,,Australia,,Sancerre L'Authentique Rosé,$44.95 per bottle,$539.40 per case of 12,,,,,750mL,7.6,,Pinot Noir,,,,,,
115,13.5%,Tuerong Park,Screw Cap,Australia,2018,Pinot Noir 2018,$42.80 in any six,$513.60 per case of 12,$44.99 per bottle,,,Mornington Peninsula,750mL,8.6,Victoria,Pinot Noir,,,,,,
116,14.0% (2010),Frankland Estate,Screw Cap,Australia,2010*,Isolation Ridge Shiraz,$35.20 in any six,$422.40 per case of 12,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 4 of 25 Shiraz from Great Southern,Great Southern,750mL,8.3 (2010),Western Australia,Shiraz,Full Bodied,Dry,,,,
117,15%,Kaesler,Screw Cap,Australia,2016*,Stonehorse Shiraz,$20.89 in any six,$250.68 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,
118,14.5%,Mitolo,Screw Cap,Australia,2017*,Jester Grenache,$19.90 in any six,$119.40 per case of 6,$20.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,,,,
119,14.5%,Hollick,Screw Cap,Australia,2015*,Tannery Block Cabernet Merlot,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.6,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
