,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 5,Vegan Friendly,Langtons Classified,Organic
44,14.5%,Head,Screw Cap,Australia,2017*,Red GSM,$22.80 in any six,$273.60 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 15 of 23 Grenache from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Grenache Shiraz Mouvedre,,Dry,,,,
45,14%,Artemis,,Australia,,Shiraz,$35.20 in any six,$211.20 per case of 6,$36.99 per bottle,,,,750mL,8.3,New South Wales,Shiraz,,,,,,
46,14.5%,Majella,Screw Cap,Australia,2015*,Shiraz,$35.15 in any six,$421.80 per case of 12,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 16 Shiraz from Coonawarra,Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
47,14,Craftsman,Screw Cap,Australia,2015*,Style Series Cabernet Sauvignon,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
48,14%,Wills Domain,Screw Cap,Australia,2015,Single Vineyard Block 5 Shiraz 2015,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,,,Margaret River,750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,,,,
49,12.0% (2016),Pizzini,Screw Cap,Australia,2016*,Rosetta,$17.09 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,King Valley,750mL,7.1 (2016),Victoria,Rose,Light Bodied,Dry,,,,
50,13.6% (2010),Ad Hoc,Screw Cap,Australia,2010*,Mix Master Red Blend,$11.30 in any six,$135.60 per case of 12,$11.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.1 (2010),Western Australia,Red Blend,,Dry,,,,
51,14.0% (2015),Reed,Screw Cap,Australia,2015*,Knife Edge Shiraz,$31.40 in any six,$376.80 per case of 12,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Grampians,750mL,8.3 (2015),Victoria,Shiraz,Full Bodied,Dry,,,,
52,13.5%,Dalwhinnie,Screw Cap,Australia,2014*,Moonambel Shiraz,$62.70 in any six,$376.20 per case of 6,$65.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 18 Shiraz from Pyrenees,Pyrenees,750mL,8.0,Victoria,Shiraz,Full Bodied,Dry,,,Excellent,
53,14.20%,Jacob's Creek,Screw Cap,Australia,,Reserve Coonawarra Cabernet Sauvignon 2012,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,,,Coonawarra,,8.5,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
54,13%,Yering Station,,Australia,2017,Inverness Ridge Pinot Noir 2017,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,,,,750mL,7.7,,Pinot Noir,,,,,,
55,14.5%,Knappstein,Screw Cap,Australia,2016*,Filgate Shiraz,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
56,14.8%,Iron Cloud,,Australia,2016,Rock of Solitude Purple Patch GSM,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ferguson Valley,750mL,8.9,Western Australia,GSM,,,,,,
57,13.2%,Peninsula Panorama,Screw Cap,Australia,2015*,Pinot Noir,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Mornington Peninsula,750mL,7.8,Victoria,Pinot Noir,Light Bodied,Dry,,,,
58,14% (2016),Oakridge,Screw Cap,Australia,2016*,864 Pinot Noir,$63.70 in any six,$382.20 per case of 6,$66.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8.3 (2016),Victoria,Pinot Noir,Light Bodied,Dry,,,,
59,14.2%,Credaro,,Australia,2016,Cabernet Merlot 2016,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,,,Margaret River,750mL,8.4,Western Australia,Cabernet Merlot,,,,,,
60,14.5%,Serafino,Screw Cap,Australia,2014*,Sharktooth Shiraz,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
61,14.50%,Sons of Eden,Screw Cap,Australia,2013*,Romulus,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 15 of 129 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
62,14.00%,Lindeman's,Screw Cap,Australia,,Coonawarra Trio Pyrus Cabernet Blend 2010,$64.99 per bottle,$370.80 per case of 6,$61.80 in any six,Ranked 9 of 16 Cabernet Sauvignon from Limestone Coast,,Coonawarra,750mL,8.3,South Australia,Cabernet Blend,Medium Bodied,Dry,,,,
63,14.5%,Capel Vale,Screw Cap,Australia,2017*,Debut Cabernet Merlot,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.6,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
64,14%,Petaluma,Screw Cap,Australia,2016*,Coonawarra Merlot,$56.99 in any six,$341.94 per case of 6,$59.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,Excellent,
65,14.5% (2013),Dutschke,Screw Cap,Australia,2013*,Gods Hill Road Shiraz,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,,,,
66,14%,Merite,Screw Cap,Australia,2015*,Single Vineyard Merlot 2015,$57.00 in any six,$684.00 per case of 12,$59.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Wrattonbully,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,,
67,14%,Grigori,,Australia,,Selection Cabernet Sauvignon 2015,$12.00 per bottle,$60.00 per case of 6,,,,McLaren Vale,750mL,8.3,South Australia,Cabernet Sauvignon,,Dry,,,,
68,14.5%,Wolf Blass,Screw Cap,Australia,2013,Gold Label Coonawarra Cabernet Sauvignon 2013,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,,,Coonawarra,750mL,8.6,South Australia,Caberent Sauvignon,,,,,,
69,14%,The Mix Tape,,Australia,2016,Limestone Coast Tempranillo,$10.00 in any six,$60.00 per case of 6,$10.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8,,Tempranillo,,,,,,
70,13.5%,Botham,,Australia,2018,All Rounder Shiraz,$10.00 in any six,$60.00 per case of 6,$10.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,South Eastern Australia,750mL,8,,Shiraz,,,,,,
71,13.8,IronHouse Vineyard,Screw Cap,Australia,,Pinot Noir 2017,$30.00 per bottle,$340.00 per case of 12,,,,East Coast Tasmania,750mL,8.2,Tasmania,Pinot Noir,,,,,,
72,13.50%,Wynns,Screw Cap,Australia,,V&A Lane Shiraz 2012,$58.99 per bottle,$336.60 per case of 6,$56.10 in any six,Ranked 3 of 24 Shiraz from Coonawarra,,Coonawarra,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,
73,14.5%,Blass,Screw Cap,Australia,2017*,Reserve Cabernet Sauvignon,$14.30 in any six,$84.60 per case of 6,$14.99 per bottle,Awards: Double Gold - San Francisco International Wine Competition 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
74,13.7%,Brian Croser,Screw Cap,Australia,2017*,BC Pinot Noir,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,8.1,South Australia,Pinot Noir,Light Bodied,Dry,,,,
75,14.5%,St Hallett,Screw Cap,Australia,2016*,Butcher's Cart Shiraz,$29.99 per bottle,$171.00 per case of 6,$28.50 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
76,14.5%,Blue Pyrenees,Screw Cap,Australia,2013*,Estate Dry Grown Shiraz,$17.90 in any six,$107.40 per case of 6,$18.80 per bottle,"Awards: 5 Gold Medals - Victorian Wine Show 2017, Cool Climate Wine Show 2017, Melbourne Wine Show 2016, Rutherglen Wine Show 2016, Great Australian Shiraz Challenge 2016","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,,Shiraz,Full Bodied,Dry,,,,
77,14.5% (2009),Geoff Merrill,Screw Cap,Australia,2009*,Jacko's Blend Shiraz,$27.60 in any six,$331.20 per case of 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6 (2009),South Australia,Shiraz,Full Bodied,Dry,,,,
78,14%,Punt Road,Screw Cap,Australia,2017*,Shiraz,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,,,
79,14.0% (2013),Bunn Vineyard,Screw Cap,Australia,2013*,Shiraz,$24.70 in any six,$296.40 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Great Southern,750mL,8.3 (2013),Western Australia,Shiraz,Full Bodied,Dry,,,,
80,14.0% (2008),Rolf Binder,Cork,Australia,2008*,Bulls Blood Shiraz Mataro,$49.40 in any six,$592.80 per case of 12,$51.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3 (2008),South Australia,Shiraz Mourvèdre,,Dry,,,,
81,14%,Flametree,Screw Cap,Australia,2015*,Cabernet Merlot,$25.70 in any six,$154.20 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 24 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
82,14.0%,Wild Oats,Screw Cap,Australia,2015*,Cabernet Merlot,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3,,Cabernet Merlot,Medium Bodied,Dry,,,,
83,14%,Howard Park,Screw Cap,Australia,2011,Scotsdale Shiraz 2011,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"Awards: Hong Kong International Wine & Spirit Competition, 2013: Bronze 
International Wine & Spirit Competition, 2013: Bronze",,Margaret River,750mL,8.3,Western Australia,Shiraz,,,,,,
84,14.5%,Three Bridges,Screw Cap,Australia,2016*,Durif,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"Awards: Gold Medals - China Wine & Spirits 2016, Decanter Wine Awards 2016, Riverina Wine Show 2016, Rutherglen Wine Show 2016, AWC Vienna 2016","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,,Red Blend,,Dry,,,,
