,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Price Option 4,Langtons Classified,Vegan Friendly
90,12.50%,In Top Company,,Australia,Shiraz 2L,$8.99 each,$34.20 per case of 4,$8.55 in any six,,,2L,20,,Shiraz,Full Bodied,Dry,,,,
91,13.50%,Domaine A,Cork,Australia,Cabernet Sauvignon 2000,,,,,Coal River Valley,750mL,8,Tasmania,Cabernet Sauvignon,Full Bodied,Dry,2000,,Outstanding,
92,13.50%,Leconfield,Screw Cap,Australia,Cabernet Sauvignon 2011,$37.99 per bottle,$216.54 per case of 6,$36.09 in any six,Ranked 23 of 76 Cabernet Sauvignon from South Australia,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
93,14%,Grant Burge,Screw Cap,Australia,Winemakers Selection Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Barossa Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,2017*,,,
94,13.0% (2014),Warramate,Screw Cap,Australia,Pinot Noir,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",Yarra Valley,750mL,7.7 (2014),Victoria,Pinot Noir,Light Bodied,Dry,2014*,,,
95,9.00%,Baily & Baily,Screw Cap,Australia,Two Fat Ladies Dolce,,,,,,750mL,5.3,South Australia,Red Blend,,Sweet,Non Vintage,,,
96,13.0% (2015),Marco,Screw Cap,Australia,Tempranillo,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,750mL,7.7 (2015),,Temperanillo,Full Bodied,Dry,2015*,,,
97,14%,Stoney Range,Screw Cap,Australia,Shiraz 2017,$19.99 per bottle,$239.88 per case of 12,,,Riverland,750mL,8.3,South Australia,Shiraz,Medium Bodied,Semi Dry,,,,
98,12%,Cullen,Screw Cap,Australia,Mangan Red Moon,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,,,750mL,7.1,Western Australia,"Malbec, Petit Verdot, Merlot",,,,,,
99,13.0%,Marley Farm,Screw Cap,Australia,Adelaide Hills Pinot Noir 2018,$26.99 per bottle,$161.94 per case of 6,Awards: Gold Medal 2018 CWSA wine show - Hong Kong,,Adelaide Hills,750ml,7.4,South Australia,Pinot Noir,Medium Bodied,Dry,,,,
