,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Vegan Friendly,Wine Style,Current Vintage,Price Option 2,Price Option 3,Price Option 4,Organic,Wine Body,Price Option 5
74,12.2%,Jane Brook,,Australia,Margaret River Sauvignon Blanc 2015,$19.50 per bottle,$102.00 per case of 6,Margaret River,750mL,7.11,,Sauvignon Blanc,,,,,,,,,
75,11.2,Goldman Wines,Screw Cap,Australia,Semillon 2014,$19.90 per bottle,$99.00 per case of 6,Hunter Valley,750mL,6.6,,Semillon,,,,,,,,,
76,12.8% (2011),Alkoomi,Screw Cap,Australia,Chardonnay,$14.30 in any six,$14.99 per bottle,Great Southern,750mL,7.6 (2011),Western Australia,Chardonnay,,Dry,2011*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
77,13.0% (2011),Rosily Vineyard,Screw Cap,Australia,Sauvignon Blanc,$18.99 in any six,$227.88 per case of 12,Margaret River,750mL,7.7 (2011),Western Australia,Sauvignon Blanc,,Dry,2011*,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
78,12.5%,Dunsborough Hills,Screw Cap,Australia,Semillon Sauvignon Blanc,$13.29 in any six,$159.48 per case of 12,Margaret River,750mL,7.4,Western Australia,Semillon Sauvignon Blanc,,Dry,2016*,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
79,12.6% (2016),Spinifex,Screw Cap,Australia,Riesling,$30.40 in any six,$182.40 per case of 6,Eden Valley,750mL,7.5 (2016),South Australia,Riesling,,Dry,2016*,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
80,12.6% (2015),Quealy,Cork,Australia,Turbul Friulano,$33.30 in any six,$199.80 per case of 6,Mornington Peninsula,750mL,7.5 (2015),Victoria,Friulano,,Dry,2015*,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
81,13.0% (2016),Onannon,Screw Cap,Australia,Mornington Pinot Gris,$28.50 in any six,$342.00 per case of 12,Mornington Peninsula,750mL,7.7 (2016),Victoria,Pinot Gris,,Dry,2016*,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
82,13.5% (2012),Paringa Estate,Screw Cap,Australia,"""The Paringa"" Reserve Chardonnay",$57.00 in any six,$342.00 per case of 6,Mornington Peninsula,750mL,8.0 (2012),Victoria,Chardonnay,,Dry,2012*,$59.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
83,11.5%,Vine Mind,Screw Cap,Australia,Riesling,$21.90 in any six,$262.80 per case of 12,Clare Valley,750mL,6.8,South Australia,Riesling,,Dry,2016*,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
84,13.5%,Leura Park,Screw Cap,Australia,Block 1 Chardonnay,$38.00 in any six,$228.00 per case of 6,Geelong,750mL,8.0,Victoria,Chardonnay,,Dry,2016*,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
85,13.20%,Paulett Wines,Screw Cap,Australia,Antonina Riesling,$42.80 in any six,$256.80 per case of 6,Clare Valley,750mL,7.8,South Australia,Riesling,,Dry,2015*,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 55 Riesling from Clare Valley,,,
