,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Vegan Friendly,Wine Style,Current Vintage,Price Option 2,Price Option 3,Price Option 4,Organic,Wine Body,Price Option 5
109,14.5%,Snobs Creek,Screw Cap,Australia,Snobs Creek 'Artisan' Heathcote Shiraz 2016,$17.99 per bottle,$215.88 per case of 12,Heathcote,750mL,8,FRE,Shiraz,,Pinot Gris & Grigio,Screw Cap,Awards: 91/100 - Halliday,Dry White,,,Full Bodied,
110,13.7%,Snobs Creek Estate,Screw Cap,Australia,Cordwainer Chardonnay 2017,$22.99 per bottle,$275.88 per case of 12,Lake Eildon,750mL,8.1,Victoria,Chardonnay,,Dry,Screw Cap,Dry White,,,,Medium Bodied,
111,12.5%,The Black Chook,Screw Cap,Australia,Sauvignon Blanc,$15.95 per bottle,$95.70 per case of 6,Adelaide Hills,750mL,7.4,South Australia,Sauvignon Blanc,,Dry,2016,,,,,,
112,13.7%,Snobs Creek Estate,Screw Cap,Australia,Cordwainer Chardonnay 2017,$22.99 per bottle,$275.88 per case of 12,Lake Eildon,750mL,8.1,Victoria,Chardonnay,,Dry,Screw Cap,Dry White,,,,Medium Bodied,
113,12.5%,The Black Chook,Screw Cap,Australia,Sauvignon Blanc,$15.95 per bottle,$95.70 per case of 6,Adelaide Hills,750mL,7.4,South Australia,Sauvignon Blanc,,Dry,2016,,,,,,
114,13.5,Terindah Estate,Screw Cap,Australia,Terindah Estate Single Vineyard Chardonnay 2016,$37.00 per bottle,$355.00 per case of 12,Bellarine Peninsula,750mL,7.8,Victoria,Chardonnay,,,,"Awards: Bronze medal at 2017 Victorian Wine Show
Bronze medal at 2017 International Cool Climate Wine Show",,,,,
115,13.5,Ferngrove,Screw Cap,Australia,Black Label Chardonnay 2017,$20.00 per bottle,$95.70 per case of 6,,750mL,8,,Chardonnay,,,,,,,,,
116,13.5,Terindah Estate,Screw Cap,Australia,Terindah Estate Single Vineyard Chardonnay 2016,$37.00 per bottle,$355.00 per case of 12,Bellarine Peninsula,750mL,7.8,Victoria,Chardonnay,,,,"Awards: Bronze medal at 2017 Victorian Wine Show
Bronze medal at 2017 International Cool Climate Wine Show",,,,,
117,11.5\t,Beelgara Black,Screw Cap,Australia,Pinot Grigio 2017,$17.99 per bottle,$101.94 per case of 6,"Adelaide Hills, SA",750mL,6.8,,Pinot Grigio,,,,,,,,,
118,,,,,Unknown,,,,,,,,,,,,,,,,
119,11.9,Clockwork Range by Oakover Wines,Screw Cap,Australia,Vermentino 2016,$25.00 per bottle,$264.00 per case of 12,Western Australia,750mL,7.1,Western Australia,Vermentino,,,,,,,,,
