,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Vegan Friendly,Organic
26,13.50%,Wynns,Cork,Australia,1992,Exceptional,John Riddoch Cabernet Sauvignon 1992,$189.99 per bottle,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
27,,,,,,,Unknown,,,,,,,,,,,,,,
28,13.50%,Wynns,Cork,Australia,1997,Exceptional,John Riddoch Cabernet Sauvignon 1997,$159.99 per bottle,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
29,12.80%,Penfolds,Cork,Australia,1964,Exceptional,Grange 1964,"$4,000.00 per bottle",,750mL,7.6,South Australia,Shiraz,Full Bodied,Dry,,,,,,
30,,,,,,,Unknown,,,,,,,,,,,,,,
31,,,,,,,Unknown,,,,,,,,,,,,,,
32,14.50%,Penfolds,Cork,Australia,2011,,Grange 2011,$820.00 per bottle,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,,
33,13.5,Paxton,Screw Cap,Australia,Screw Cap,,Quandong Farm Single Vineyard Shiraz,$29.50 per bottle,McLaren Vale,750mL,7.9,WNE,Shiraz,Full Bodied,Shiraz,$177.00 per case of 6,Dry Red,,,,
34,13.7,Molly's Cradle,Screw Cap,Australia,Screw Cap,,Shiraz 2017,$18.00 per bottle,Hunter Valley,750mL,8.1,New South Wales,Shiraz,Full Bodied,Shiraz,$108.00 per case of 6,"Awards: 4.5 Stars - High Silver Medal, 90+ points, Feb 2018 Winestate Magazine",Dry Red,,,
35,14.5%,Shaw Family Vintners,Cork,Australia,Cork,,The Back-Up Plan Single Vineyard Petit Verdot 2014,$39.50 per bottle,Currency Creek,750mL,8.6,FRE,Petit Verdot,,Petit Verdot,$237.00 per case of 6,Dry Red,,,,
36,14.5%,Shaw Family Vintners,Cork,Australia,,,The 9N Single Vineyard Shiraz 2014,$39.50 per bottle,McLaren Vale,750ml,9.2,South Australia,Shiraz,,,$237.00 per case of 6,"Awards: Bronze Royal Hobart Wine Show 2018 
3 Stars Winestate Magazine New Releases May June 2017
94 Points James Halliday Australian Wine Companion",,,,
37,14.5%,Shaw Family Vintners,Cork,Australia,,,The Encounter Cabernet Sauvignon 2014,$100.00 per bottle,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$300.00 per case of 3,,,,,
38,15,Penna Lane,Screw Cap,Australia,2016,,Shiraz 2016,$22.00 per bottle,,750mL,8.9,,Cabernet Sauvignon,Full Bodied,,$132.00 per case of 6,Ranked 7 of 21 Shiraz from Clare Valley,,,,
39,14,Michelini,Screw Cap,Australia,2016,,Marzemino,$25.00 per bottle,Alpine Valleys,750mL,8,Victoria,Marzemino,Medium Bodied,Marzemino,$300.00 per case of 6,"Awards: - Winestate Magazine – Best Buys under $ 25.00. 
- National Cool Climate Wine Show – bronze medal. 
- AAVWS – bronze medal. 
- Wine Showcase Magazine – 91/100 & silver medal
- Dookie Wine Show 
- International Cool Climate Wine Show",,,,
40,14,Michelini,Screw Cap,Australia,2016,,Marzemino,$25.00 per bottle,Alpine Valleys,750mL,8,Victoria,Marzemino,Medium Bodied,Marzemino,$300.00 per case of 6,"Awards: - Winestate Magazine – Best Buys under $ 25.00. 
- National Cool Climate Wine Show – bronze medal. 
- AAVWS – bronze medal. 
- Wine Showcase Magazine – 91/100 & silver medal
- Dookie Wine Show 
- International Cool Climate Wine Show",,,,
41,14.5,Babes Blessing,Screw Cap,Australia,2016,,Shiraz 2016,$28.00 per bottle,Barossa,750mL,8.6,,Shiraz,Full Bodied,Dry,$168.00 per case of 6,,,,,
42,14.000000000000002%,Ferngrove,Screw Cap,Australia,2016*,,Black Label Cabernet Sauvignon 2016,$20.00 per bottle,,750mL,8.3,,Cabernet Sauvignon,Full Bodied,,$120.00 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 32 Cabernet Sauvignon from South West Australia,,,
43,14.000000000000002%,Ferngrove,Screw Cap,Australia,2016*,,Black Label Cabernet Sauvignon 2016,$20.00 per bottle,,750mL,8.3,,Cabernet Sauvignon,Full Bodied,,$120.00 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 32 Cabernet Sauvignon from South West Australia,,,
44,14%,Ferngrove,Screw Cap,Australia,,,Ferngrove Majestic Cabernet Sauvignon 2017,$32.00 ,Frankland River,750ml,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,$192.00 per case of 6,,,,,
45,14,Moss Brothers,Screw Cap,Australia,2016,,Cabernet Merlot 2016,$17.99 per bottle,"Margaret River, WA",750mL,8.3,,Cabernet Merlot,Medium Bodied,,$203.88 per case of 12,Awards: 1 Silver - International Wine Challenge Tranche 1 2017,,,,
46,14,Moss Brothers,Screw Cap,Australia,2016,,Cabernet Merlot 2016,$17.99 per bottle,"Margaret River, WA",750mL,8.3,,Cabernet Merlot,Medium Bodied,,$203.88 per case of 12,Awards: 1 Silver - International Wine Challenge Tranche 1 2017,,,,
47,13%,Beelgara Black,Screw Cap,Australia,,,Grenache Rose 2017,$17.99 per bottle,"Clare Valley, SA",750mL,7.7,South Australia,Rose,,,$101.94 per case of 6,"Awards: 90 Points James Halliday Wine Companion 
Bronze - 85 points Royal Sydney Wine Show 2018",,,,
48,13%,Burton Premium Wines,Cork,Australia,,,The Ultimatre Aged Wine Collection 1999 to 2004 Coonawarra Cabernet Sauvignon,$399.00 per pack of 6,,750mL x 6,7.7,South Australia,Cabernet Sauvignon,,,$399.00 ,,,,,
49,14.5% (2009),Jenke,Screw Cap,Australia,2009*,,Cabernet Sauvignon,$28.50 in any six,Barossa Valley,750mL,8.9 (2008),South Australia,Cabernet Sauvignon,Full Bodied,Dry,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
