,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Vegan Friendly,Organic
73,13.50%,Spinifex,Screw Cap,Australia,2012*,,Indigene Shiraz/Mataro,$71.30 in any six,Barossa Valley,750mL,8,South Australia,Shiraz Blends,Full Bodied,Dry,$427.80 per case of 6,$74.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
74,13.9% (2014),Adelina,Screw Cap,Australia,2014*,,Estate Grenache,$38.00 in any six,Clare Valley,750mL,8.2 (2014),South Australia,Grenache,Medium Bodied,Dry,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
75,24.5%,Head,Screw Cap,Australia,2014*,,Ancestor Vine Grenache,$104.50 in any six,Barossa Valley,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,$627.00 per case of 6,$109.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 21 Grenache from Barossa,,
76,13.0%,Some Young Punks,Screw Cap,Australia,2017*,,Squids Fist Sangiovese Shiraz,$22.99 per bottle,Clare Valley,750mL,7.7,South Australia,Sangiovese Blend,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
77,13.8%,Pizzini,Cork,Australia,2015*,,Il Barone,$41.80 in any six,King Valley,750mL,8.2,Victoria,Red Blend,,Dry,$501.60 per case of 12,$43.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
78,14.6% (2014),Adelina,Screw Cap,Australia,2014*,,Estate Shiraz,$52.30 in any six,Clare Valley,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,$313.80 per case of 6,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
79,13.5% (2015),Sinapius,Screw Cap,Australia,2015*,,Home Vineyard Pinot Noir,$49.40 in any six,,750mL,8.0 (2015),Tasmania,Pinot Noir,Light Bodied,Dry,$592.80 per case of 12,$51.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 76 of 107 Pinot Noir from Tasmania,,
80,12.50%,Penfolds,Cork,Australia,1958,Exceptional,Grange 1958,"$36,000.00 per bottle",,750mL,7.4,South Australia,Shiraz,Full Bodied,Dry,,,,,,
81,13.6% (2013),Oakdene,Screw Cap,Australia,2013*,,Petas Pinot Noir,$38.00 in any six,Geelong,750mL,8 (2013),Victoria,Pinot Noir,Light Bodied,Dry,$456.00 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 25 Pinot Noir from Geelong,,
82,13.50%,Wynns,Screw Cap,Australia,,,V&A Lane Cabernet Shiraz 2013,$69.99 per bottle,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon Shiraz,,Dry,$399.00 per case of 6,$66.50 in any six,Ranked 16 of 19 Cabernet Sauvignon from Limestone Coast,,,
83,14%,Fermoy Estate,Cork,Australia,2016*,,Merlot,$26.99 per bottle,Margaret River,750mL,8.3,Western Australia,Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
84,13.0%,Dal Zotto,Screw Cap,Australia,2017,,Sangiovese,$21.90 in any six,King Valley,750mL,7.7,Victoria,Sangiovese,Medium Bodied,Dry,$262.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
85,14.5%,Dutschke,Cork,Australia,2015*,,Oscar Semmler Shiraz,$61.80 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$370.80 per case of 6,$64.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
86,13.5%,Wicks Estate,Screw Cap,Australia,2018,,Pinot Noir,$19.99 per bottle,Adelaide Hills,750mL,8,South Australia,Pinot Noir,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
87,14,Yarra Yering,Screw Cap,Australia,2016,,Underhill Shiraz 2016,$104.50 in any six,Yarra Valley,750mL,8.3,Victoria,Shiraz,,,"$1,254.00 per case of 12",$109.99 per bottle,,,,
88,14.5% (2013),Balnaves,Screw Cap,Australia,2013*,,Shiraz,$26.60 in any six,Coonawarra,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 14 of 20 Shiraz from Coonawarra,,,
