,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Organic,Vegan Friendly,Langtons Classified,Price Option 5
110,14.0%,Warburn,Screw Cap,Australia,2016*,Premium Reserve Merlot,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,,
111,15.00%,Jasper Hill,Cork,Australia,,Georgia's Paddock Shiraz 2007,$113.05 in any six,"$1,356.60 per case of 6",$118.99 per bottle,,,Heathcote,750mL,8.9,Victoria,Shiraz,Full Bodied,Dry,,,Outstanding,
112,13.8%,Pizzini,Screw Cap,Australia,2015*,Sangiovese,$26.60 in any six,$316.80 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,King Valley,750mL,8.2,Victoria,Sangiovese,Medium Bodied,Dry,,,,
113,15.00%,Wolf Blass,Cork,Australia,2001,Black Label Shiraz Cabernet Sauvignon 2001,$149.99 per bottle,,,,,McLaren Vale,750mL,8.9,South Australia,Shiraz Cabernet Sauvignon,Full Bodied,Dry,,,Excellent,
114,15.00%,Mount Langi Ghiran,Screw Cap,Australia,2005,Langi Shiraz 2005,$142.50 in any six,$855.00 per case of 6,$149.99 per bottle,Ranked 1 of 15 Shiraz from Grampians,,Grampians,750mL,8.9,Victoria,Shiraz,Full Bodied,Dry,,,Excellent,
115,14.00%,Wendouree,Cork,Australia,2009,Shiraz 2009,$224.99 per bottle,,,,,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,Exceptional,
116,14.50%,Kalleske Wines,Screw Cap,Australia,2013*,Johann Georg Shiraz,$142.50 in any six,$855.00 per case of 6,$149.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
117,13.50%,Wynns,Screw Cap,Australia,,John Riddoch Cabernet Sauvignon 2010,$855.00 per case of 6,$149.99 per bottle,Ranked 5 of 49 Cabernet Sauvignon from Coonawarra,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Exceptional,
118,13.5%,Gapsted Wines,Screw Cap,Australia,,Tobacco Road Sangiovese Barbera,$14.99 per bottle,$150.00 per case of 12,,,,King Valley,750ml,8,Victoria,Sangiovese Barbera,Medium Bodied,,,,,
119,14.5,Organic Hill,Screw Cap,Australia,,Organic Hill Organic Preservative Free Cabernet Sauvignon 2017,Delivery Offer$130.00 per case of 6,$25.00 per bottle,$150.00 per case of 6,"Awards: Winestate - Best Value Buys 2018
Winestate -  3 Stars 2018",,Riverland,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,true,true,,
