,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Organic,Vegan Friendly,Langtons Classified,Price Option 5
49,14%,Reschke,Cork,Australia,2012*,Vitulus Cabernet Sauvignon,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
50,14.5% (2008),Geoff Merrill,Screw Cap,Australia,2008*,G&W Cabernet Sauvignon,$27.60 in any six,$331.20 per case of 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6 (2008),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
51,13.5% (2015),Kalleske Wines,Screw Cap,Australia,2015*,Merchant Cabernet Sauvignon,$27.60 in any six,$165.60 per case of 6,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.0 (2015),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
52,13.5%,Houghton,Screw Cap,Australia,2015*,The Bandit Cabernet Sauvignon,$11.90 per bottle,$67.80 per case of 6,$11.30 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Frankland River,750mL,8.0,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
53,13.50%,Mount Pleasant,Screw Cap,Australia,2009,Maurice O'Shea Shiraz 2009,$261.30 in any six,"$1,567.80 per case of 6",$274.99 per bottle,Ranked 6 of 46 Shiraz from Lower Hunter,,Hunter Valley,750mL,8,New South Wales,Shiraz,Full Bodied,Dry,,,Excellent,
54,13.5%,Elephant In The Room,Can Closure,Australia,2017*,Pinot Noir Cans 250mL,$18.99 per pack of 4,$109.99 per case of 24,$4.99 per can (in store),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,250mL,2.7,South Australia,Pinot Noir,Light Bodied,Dry,,,,
55,13.5%,Wynns,,Australia,2010,Alex 88 Cabernet Sauvignon 2010,$79.80 in any six,$478.80 per case of 6,$83.99 per bottle,,,Coonawarra,750mL,8,South Australia,,,,,,,
56,14.9%,Gramp's,Cork,Australia,2016*,Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.8,South Australia,Shiraz,Full Bodied,Dry,,,,
57,13.2%,Hurley Vineyard,Screw Cap,Australia,2016,Hommage Pinot Noir,$56.10 in any six,$673.20 per case of 12,$58.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 77 Pinot Noir from Mornington Peninsula,Mornington Peninsula,750mL,7.9,Victoria,Pinot Noir,Light Bodied,Dry,,,,
58,14.5%,Teusner,Screw Cap,Australia,2016*,Albert Shiraz,$47.99 per bottle,$273.54 per case of 6,$45.59 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
