,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Region,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Vegan Friendly
70,13.50%,Katnook Estate,Cork,Australia,1992,Outstanding,Odyssey Cabernet Sauvignon 1992,$159.99 per bottle,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,,,,,
71,13.50%,Rockford,Cork,Australia,2006,Outstanding,Black Sparkling Shiraz - Disgorged 2006,,750mL,8,South Australia,Shiraz,,Dry,,Barossa Valley,,,,,
72,14.50%,Penfolds,Screw Cap,Australia,,Excellent,Kalimna Bin 28 Shiraz 2006,$49.85 in any six,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$299.10 per case of 6,,$49.85 per bottle,Awards: Gold - International Wine Challenge 2009,Ranked 15 of 120 Shiraz from Barossa Valley,,
73,14.50%,Chapel Hill,Screw Cap,Australia,2006,,McLaren Vale Cabernet Sauvignon 2006,$31.35 in any six,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$188.10 per case of 6,McLaren Vale,$32.99 per bottle,Ranked 7 of 29 Cabernet Sauvignon from McLaren Vale,,,
74,14.5% (2006),Witchmount,Screw Cap,Australia,2006,,Cabernet Sauvignon,$26.90 in any six,750mL,8.6 (2006),Victoria,Cabernet Sauvignon,Full Bodied,Dry,$322.80 per case of 12,Sunbury,$26.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
75,14.5% (2008),Barossa Valley Estate,Screw Cap,Australia,2008*,,Ebenezer Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2008),South Australia,Shiraz,Full Bodied,Dry,,Barossa Valley,,,,,
76,14.0% (2010),Mount Trio,Screw Cap,Australia,2010,,Cabernet Merlot,$14.90 in any six,750mL,8.3 (2010),Western Australia,Cabernet Merlot,Medium Bodied,Dry,$178.80 per case of 12,Great Southern,$14.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
77,14.00%,Tatachilla,Cork,Australia,,,Foundation Shiraz 1997,$55.50 in any six,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,$338.35 per case of 6,McLaren Vale,$59.99 per bottle,,,,
78,14.0% (2010),Mount Trio,Screw Cap,Australia,2010,,Cabernet Merlot,$14.90 in any six,750mL,8.3 (2010),Western Australia,Cabernet Merlot,Medium Bodied,Dry,$178.80 per case of 12,Great Southern,$14.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
79,13.50%,Mount Mary,Cork,Australia,2015,,Pinot Noir 2015,$152.00 in any six,750mL,8,Victoria,Pinot Noir,Light Bodied,,$912.00 per case of 6,Yarra Valley,$159.99 per bottle,,,,
80,14.0% (2010),Xabregas,Screw Cap,Australia,2010*,,Artisan Syrah,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2010),Western Australia,Shiraz,Full Bodied,Dry,,Great Southern,,,,,
81,14.50%,Orlando,Cork,Australia,2003,,Centenary Hill Shiraz 2003,Ranked 34 of 50 Shiraz from Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Barossa Valley,,,,,
82,14.00%,Bowen Estate,Cork,Australia,1999,Excellent,Cabernet Sauvignon 1999,$49.99 per bottle,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,,,,,
83,13.50%,Lindeman's,Cork,Australia,2001,,Coonawarra Trio Pyrus Cabernet Blend 2001,$42.75 in any six,750mL,8,South Australia,Red Blend,,Dry,$253.75 per case of 6,Coonawarra,$44.99 per bottle,,,,
84,14.50%,Elderton,Cork,Australia,2003,,Cabernet Sauvignon 2003,$20.89 in any six,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$248.05 per case of 12,Barossa Valley,$21.99 per bottle,,,,
85,13.50%,Lindeman's,Cork,Australia,2001,,Coonawarra Trio Pyrus Cabernet Blend 2001,$42.75 in any six,750mL,8,South Australia,Red Blend,,Dry,$253.75 per case of 6,Coonawarra,$44.99 per bottle,,,,
86,15.50%,Kalleske,Cork,Australia,2002,,Basket Press Shiraz 2002,$119.99 per bottle,750mL,9.2,South Australia,Shiraz,Full Bodied,Dry,,Barossa Valley,,,,,
87,13.50%,Houghton,Cork,Australia,1994,Excellent,Jack Mann 1994,$179.99 per bottle,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,Great Southern,,,,,
88,15.50%,Kalleske,Cork,Australia,2002,,Basket Press Shiraz 2002,$119.99 per bottle,750mL,9.2,South Australia,Shiraz,Full Bodied,Dry,,Barossa Valley,,,,,
89,13.50%,Houghton,Cork,Australia,1994,Excellent,Jack Mann 1994,$179.99 per bottle,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,Great Southern,,,,,
90,,Ingoldby,,Australia,2004,,Cabernet Sauvignon 2004,$14.25 in any six,750mL,,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$169.09 per case of 12,McLaren Vale,$14.99 per bottle,,,,
91,13.50%,Penfolds,Cork,Australia,,Outstanding,Yattarna Chardonnay 2007,$72.15 in any six,750mL,8,South Australia,Chardonnay,,Dry,$75.90 per bottle,Adelaide Hills,"Awards: 2 Trophy - Australian Wine & Brandy Corporation Show 2008, Decanter World Wine Awards. Gold - International Wine Challenge 2008",Ranked 2 of 298 Chardonnay from Australia,,,
92,15.0% (2008),Trevor Jones,Screw Cap,Australia,2008*,,Grenache Shiraz Mourvèdre,$13.90 in any six,750mL,8.9 (2008),South Australia,Grenache Mourvèdre Shiraz,,Dry,$166.80 per case of 12,Barossa Valley,$13.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
93,13.50%,Penfolds,Cork,Australia,,Outstanding,Yattarna Chardonnay 2007,$72.15 in any six,750mL,8,South Australia,Chardonnay,,Dry,$75.90 per bottle,Adelaide Hills,"Awards: 2 Trophy - Australian Wine & Brandy Corporation Show 2008, Decanter World Wine Awards. Gold - International Wine Challenge 2008",Ranked 2 of 298 Chardonnay from Australia,,,
