,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Region,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Vegan Friendly
32,14.5% (2010),Echo Vale,Screw Cap,Australia,2010*,,Stonewell Merlot,$19.90 in any six,750mL,8.6 (2010),South Australia,Merlot,Medium Bodied,Dry,$119.40 per case of 6,Barossa Valley,$19.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
33,14.2%,Beresford ,Screw Cap,Australia,,,Classic Cabernet Sauvignon,$27.99 per bottle,750mL,8.4,South Australia,Cabernet Sauvignon,,,$167.94 per case of 6,,,,,,
34,14.5% (2010),Echo Vale,Screw Cap,Australia,2010*,,Stonewell Merlot,$19.90 in any six,750mL,8.6 (2010),South Australia,Merlot,Medium Bodied,Dry,$119.40 per case of 6,Barossa Valley,$19.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
35,14.5% (2012),Cat Amongst The Pigeons,Screw Cap,Australia,2012*,,Shiraz 187mL,$14.99 per pack of 4,187mL,2.1 (2012),South Australia,Shiraz,Full Bodied,Dry,$88.00 per case of 24,Barossa Valley,$3.75 per bottle (in store),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
36,14.5,Haselgrove,Screw Cap,Australia,2013,,H Cabernet Merlot 2013,$23.99 per bottle,750mL,8.6,,Cabernet Merlot,Medium Bodied,,$287.88 per case of 12,,,,,,
37,14.2,By Jingo!,Screw Cap,Australia,,,Mixed Red Pack,$215.70 per case of 6,750mL,8.3,,Mixed Reds,,,,,,,,,
38,14.5,Haselgrove,Screw Cap,Australia,2013,,H Cabernet Merlot 2013,$23.99 per bottle,750mL,8.6,,Cabernet Merlot,Medium Bodied,,$287.88 per case of 12,,,,,,
39,13.9,Hanrahan's Run,Screw cap,Australia,2017,,Rose 2017,Delivery Offer$59.00 per case of 6,750mL,8.2,,,Light Bodied,,$13.17 per bottle,,$79.00 per case of 6,,,,
40,13,Stoney River,Screw Cap,Australia,,,Marlborough Pinot Noir 2015,$24.99 per bottle,750ml,7.7,,Marlborough Pinot No,Light Bodied,,$149.94 per case of 6,,,,,,
41,12.0,Bannockburn,Cork,Australia,Cork,,Douglas 2013,$29.99 per bottle,750mL,7,FRE,Cabernet Sauvignon M,Full Bodied,Dry,$355.92 per case of 12,Geelong,Awards: Ranked 4 of 15 2013 Cabernet Sauvignon tasted from Victoria - Wine 360,Dry Red,Ranked 3 of 15 Cabernet Sauvignon from Victoria,,
42,13.5,Tall Poppy,Screw Cap,Australia,,,Merlot,$14.99 per bottle,750mL,8,,Merlot,Medium Bodied,Dry,$110.00 per case of 12,,,,,,
43,15,Tote Wines,,Australia,2014,,Barossa Valley Shiraz Pouch 2014 Magnum 1.5L,$29.95 per bottle,1.5L,17.8,,Shiraz,Full Bodied,Shiraz,$149.70 per case of 6,Barossa Valley,,,,,
44,13,Epic Negociants,Screw Cap,Australia,,,"Gneissic Rock, Cabernet Sauvignon, Merlot",$25.00 per bottle,750ml,7.7,Western Australia,Cabernet Sauvignon,,Dry,$300.00 per case of 12,,,,,,
45,15,Tote Wines,,Australia,2014,,Barossa Valley Shiraz Pouch 2014 Magnum 1.5L,$29.95 per bottle,1.5L,17.8,,Shiraz,Full Bodied,Shiraz,$149.70 per case of 6,Barossa Valley,,,,,
46,13,Epic Negociants,Screw Cap,Australia,,,"Gneissic Rock, Cabernet Sauvignon, Merlot",$25.00 per bottle,750ml,7.7,Western Australia,Cabernet Sauvignon,,Dry,$300.00 per case of 12,,,,,,
