,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 2,Price Option 3,Organic,Price Option 4,Vegan Friendly
66,14.0% (2014),Soumah,Screw Cap,Australia,2014*,,Cabernet Sauvignon d'Soumah,$21.90 in any six,$262.80 per case of 12,Yarra Valley,750mL,8.3 (2014),Victoria,Cabernet Sauvignon,Full Bodied,Dry,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
67,14.0% (2014),Soumah,Screw Cap,Australia,2014*,,Cabernet Sauvignon d'Soumah,$21.90 in any six,$262.80 per case of 12,Yarra Valley,750mL,8.3 (2014),Victoria,Cabernet Sauvignon,Full Bodied,Dry,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
68,13.50%,Voyager Estate,Screw Cap,Australia,2010*,,Project V9 Old Block Cabernet Sauvignon,$87.40 in any six,$524.40 per case of 6,Margaret River,750mL,,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,$91.99 per bottle,"String ""WebVintageNote""	Boolean ""false""	String ""* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.""",,Ranked 12 of 62 Cabernet Sauvignon from Margaret River,
69,13.50%,Voyager Estate,Screw Cap,Australia,2010*,,Project V9 Old Block Cabernet Sauvignon,$87.40 in any six,$524.40 per case of 6,Margaret River,750mL,,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,$91.99 per bottle,"String ""WebVintageNote""	Boolean ""false""	String ""* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.""",,Ranked 12 of 62 Cabernet Sauvignon from Margaret River,
70,14.50%,Penfolds,Screw Cap,Australia,2014,Excellent,Bin 407 Cabernet Sauvignon 2014,$80.80 in any six,$484.80 per case of 6,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$84.99 per bottle,Ranked 2 of 21 Cabernet Sauvignon from Barossa Valley,,,
71,14.50%,Penfolds,Screw Cap,Australia,2014,Excellent,Bin 407 Cabernet Sauvignon 2014,$80.80 in any six,$484.80 per case of 6,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$84.99 per bottle,Ranked 2 of 21 Cabernet Sauvignon from Barossa Valley,,,
72,15.5% & 15.0%,Tscharke,Screw Cap,Australia,,,The Potter & Only Son Gift Pack,$42.88 per pack,,Barossa Valley,750mL,9.2 & 8.9,South Australia,,,Dry,,,,,
73,13.9% (2013),Fox Creek,Screw Cap,Australia,2013*,,The Resolve Shiraz,$9.90 per bottle,$59.40 per case of 6,McLaren Vale,750mL,8.2 (2013),South Australia,Shiraz,Full Bodied,Dry,$9.90 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
74,14.9% (2010),Butler Crest,Cork,Australia,2010*,,Shiraz 2010,$30.39 in any six,$364.68 per case of 12,Margaret River,750mL,8.8 (2010),Western Australia,Shiraz,Full Bodied,Dry,$31.99 per bottle,Awards: Trophy - Boutique Wine Awards 2012 (Best Shiraz of Show),,,
75,13.50%,Margan,Screw Cap,Australia,,,Shiraz 2010,$26.99 per bottle,$307.80 per case of 12,Hunter Valley,750mL,8,New South Wales,Shiraz,Full Bodied,Dry,$25.65 in any six,,,,
76,13.50%,Margan,Screw Cap,Australia,,,Shiraz 2010,$26.99 per bottle,$307.80 per case of 12,Hunter Valley,750mL,8,New South Wales,Shiraz,Full Bodied,Dry,$25.65 in any six,,,,
77,14.00%,Eden Hall,,Australia,,,Cabernet Sauvignon 2003,$49.39 in any six,$296.34 per case of 6,Eden Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$51.99 per bottle,,,,
78,13.5% (2012),Ravensworth,Screw Cap,Australia,2012*,,Shiraz Viognier,$22.88 in any six,$274.56 per case of 12,Canberra District,750mL,8.1 (2012),New South Wales,Shiraz Viognier,,Dry,$22.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 42 of 117 Shiraz from Australia,
79,13.5,Epic Negociants,Screw Cap,Australia,,,Panoptic,,,,750mL,8.2,South Australia,"Shiraz, Cabernet",Full Bodied,Dry,,,,,
80,13.5,Epic Negociants,Screw Cap,Australia,,,Panoptic,,,,750mL,8.2,South Australia,"Shiraz, Cabernet",Full Bodied,Dry,,,,,
81,13.5%,Glenguin,Screw Cap,Australia,,,Stonybroke Shiraz,$30.00 per bottle,$160.00 per case of 6,Hunter Valley,750mL,8.0,New South Wales,Shiraz,Medium Bodied,Dry,,,,,
82,13.5%,Trip Notes,,Australia,2016*,,Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8,,Caberent Sauvignon,,,,,,,
83,14%,Rockcliffe,Screw Cap,Australia,2015,,Singlesite Shiraz 2015,,,Great Southern,750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,,,,,
84,14.0% (2015),Virtuoso By Grant Burge,Screw Cap,Australia,2015*,,Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 106 of 135 Shiraz from Barossa Valley,,750mL,8.3 (2015),,Shiraz,Full Bodied,Dry,,,,,
85,13.90%,Taylors Estate,Screw Cap,Australia,,,Shiraz 2010,$28.50 in any six,$171.00 per case of 6,Clare Valley,750mL,8.2,South Australia,Shiraz,Full Bodied,Dry,$29.99 per bottle,Ranked 9 of 33 Shiraz from Clare Valley,,,
86,13.50%,Mount Langi Ghiran,Screw Cap,Australia,,,Cliff Edge Shiraz 2010,$38.00 in any six,$228.00 per case of 6,Grampians,750mL,8,Victoria,Shiraz,Full Bodied,Dry,$39.99 per bottle,Ranked 4 of 27 Shiraz from Western Victoria,,,
87,13.3% (2015),Moorilla,Screw Cap,Australia,2015*,,Praxis Pinot Noir,$28.49 in any six,$341.88 per case of 12,,750mL,7.9 (2015),Tasmania,Pinot Noir,Light Bodied,Dry,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
88,14.50%,Rockford,Cork,Australia,2008,,Rifle Range Cabernet Sauvignon 2008,$88.99 per bottle,,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
89,14.50%,Penfolds,Screw Cap,Australia,2009,Outstanding,RWT Barossa Valley Shiraz 2009,$199.50 in any six,"$1,197.00 per case of 6",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$209.99 per bottle,Awards: Gold - Decanter World Wine Awards 2012,,Ranked 13 of 108 Shiraz from Barossa Valley,
90,13.50%,Wynns,Screw Cap,Australia,,,V&A Lane Shiraz 2008,$64.99 per bottle,$370.80 per case of 6,Coonawarra,750mL,8,South Australia,Shiraz,Full Bodied,Dry,$61.80 in any six,Ranked 1 of 20 Shiraz from Coonawarra,,,
91,15.30%,Wolf Blass,Screw Cap,Australia,2005,Excellent,Black Label Cabernet Sauvignon Shiraz 2005,$129.99 per bottle,"Awards: 2 Trophies - Tri Nations Wine Challenge 2009, Great Australian Red 2008. 11 Gold - Royal Adelaide Wine Show 2011, 2010 & 2007, Sydney Royal Wine Show 2011 & 2009, Perth Royal Wine Show 2010, 2009 & 2008, Decanter World Wine Awards 2009, Royal Hobart Wine",,750mL,9.2,South Australia,Cabernet Shiraz,,Dry,Ranked 5 of 53 Cabernet Sauvignon from South Australia,,,,
92,14.50%,Best's Great Western,Cork,Australia,1996,Outstanding,Thomson Family Shiraz 1996,$390.00 per bottle,,Grampians,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,,,,
93,14.50%,Penley Estate,Screw Cap,Australia,,,Hyland Shiraz 2010,$25.99 per bottle,$148.20 per case of 6,Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$24.70 in any six,Ranked 6 of 23 Shiraz from Coonawarra,,,
94,14.50%,Penley Estate,Screw Cap,Australia,,,Phoenix Cabernet Sauvignon 2010,$27.99 per bottle,$159.60 per case of 6,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$26.60 in any six,Ranked 26 of 49 Cabernet Sauvignon from Coonawarra,,,
95,14.00%,Penfolds,Cork,Australia,2003,Excellent,Magill Estate Shiraz 2003,$119.99 per bottle,,Adelaide,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,
96,13.50%,Jasper Hill,Cork,Australia,2005,Outstanding,Emily's Paddock Shiraz Cabernet Franc 2005,$134.99 per bottle,,Heathcote,750mL,8,Victoria,Shiraz Cabernet Franc,,Dry,,,,,
97,15.00%,Henschke,,Australia,2002,Exceptional,Mount Edelstone Shiraz 2002,Ranked 26 of 48 Shiraz from Barossa,,Eden Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,,
98,14.50%,Majella,Screw Cap,Australia,2006,Excellent,Cabernet Sauvignon 2006,$59.99 per bottle,Ranked 22 of 40 Cabernet Sauvignon from Coonawarra,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
99,12.50%,Mount Mary,Cork,Australia,,Outstanding,Pinot Noir 1999,$139.99 per bottle,,Yarra Valley,750mL,7.4,Victoria,Pinot Noir,,Dry,,,,,
100,13.0% (2008),Oakridge,Screw Cap,Australia,2008*,,864 Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 16 Cabernet Sauvignon from Yarra Valley,Yarra Valley,750mL,7.7 (2008),Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,,,
101,12.50%,Craiglee,Cork,Australia,1995,Excellent,Shiraz 1995,$74.99 per bottle,Ranked 2 of 22 Shiraz from Australia,Sunbury,750mL,7.4,Victoria,Shiraz,Full Bodied,Dry,,,,,
102,13.70%,Wendouree,Cork,Australia,2006,Outstanding,Cabernet Sauvignon 2006,$153.99 per bottle,,Clare Valley,750mL,8.1,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
103,15.00%,Kay Brothers Amery Vineyards,Screw Cap,Australia,2004,Outstanding,Block 6 Shiraz 2004,$99.99 per bottle,,McLaren Vale,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,,
104,14.5% (2012),d'Arenberg,Screw Cap,Australia,2012*,,d'Arrys Original Shiraz Grenache 2009,$24.99 per bottle,$285.00 per case of 12,McLaren Vale,750mL,8.6 (2012),South Australia,Shiraz Cabernet,,Dry,$23.75 in any six,Ranked 9 of 20 Shiraz from McLaren Vale,,,
105,14.50%,Mount Langi Ghiran,Screw Cap,Australia,2007,Excellent,Langi Shiraz 2007,$149.99 per bottle,Ranked 2 of 18 Shiraz from Western Victoria,Grampians,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,,,,
106,14.50%,Mount Langi Ghiran,Screw Cap,Australia,2008,,Billi Billi Shiraz 2008,$20.89 in any six,$125.34 per case of 6,Grampians,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,$21.99 per bottle,Ranked 7 of 16 Shiraz from Grampians,,,
107,13.20%,Penfolds,Cork,Australia,1965,Exceptional,Grange 1965,"$4,000.00 per bottle",,,750mL,7.8,South Australia,Shiraz,Full Bodied,Dry,,,,,
108,14.50%,Lake Breeze,Screw Cap,Australia,2008,,Bernoota Shiraz Cabernet 2008,$27.99 per bottle,$319.08 per case of 12,Langhorne Creek,750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,$26.59 in any six,Ranked 7 of 23 Shiraz from Fleurieu,,,
109,14.50%,Rockford,Cork,Australia,2009,Exceptional,Basket Press Shiraz 2009,$178.99 per bottle,Ranked 55 of 108 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
110,14.50%,Greenock Creek,Cork,Australia,2000,Outstanding,Roennfeldt Road Shiraz 2000,$299.99 per bottle,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
111,14.50%,Penfolds,Cork,Australia,2015,Exceptional,Bin 707 Cabernet Sauvignon 2015,$499.00 per bottle,Ranked 2 of 128 Cabernet Sauvignon from South Australia,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
112,14.0% (2015),Penfolds,Screw Cap,Australia,,,Bin 23 Pinot Noir 2015,$37.10 in any six,$222.60 per case of 6,Adelaide Hills,750mL,8.3 (2015),South Australia,Pinot Noir,Light Bodied,Dry,$38.99 per bottle,,,,
113,14,Jim Barry,,Australia,2014,,The Benbournie Cabernet Sauvignon 2014,$76.00 in any six,$456.00 per case of 6,,750mL,8.3,,Cabernet Sauvignon,,Dry,$79.99 per bottle,,,,
114,14.0%(2014),Penfolds,Screw Cap,Australia,2014*,,Bin 23 Pinot Noir 2014,$37.10 in any six,$222.60 per case of 6,Adelaide Hills,750mL,8.3 (2014),South Australia,Pinot Noir,Light Bodied,Dry,$38.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 4 of 23 Pinot Noir from Adelaide Hills,
115,13.50%,Yarra Yering,Cork,Australia,,,Dry Red No1 2013,$87.40 in any six,"$1,048.80 per case of 12",Yarra Valley,750mL,8,Victoria,Red Blend,,Dry,$91.99 per bottle,,,,
116,12.5% (2012),YarraLoch,Screw Cap,Australia,2012*,,Stephanie's Dream Pinot Noir,$34.88 in any six,$418.56 per case of 12,Yarra Valley,750mL,7.4 (2012),Victoria,Pinot Noir,Light Bodied,Dry,$34.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
117,13.50%,Lake's Folly,Cork,Australia,2000,Excellent,Cabernets 2000,$134.99 per bottle,,Hunter Valley,750mL,8,New South Wales,Cabernet Blends,,Dry,,,,,
118,14.50%,Penfolds,Screw Cap,Australia,2008,Outstanding,RWT Barossa Valley Shiraz 2008,$197.59 in any six,"$1,185.54 per case of 6",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$207.99 per bottle,Ranked 1 of 114 Shiraz from Barossa Valley,,,
119,14.50%,Grant Burge,Cork,Australia,,,Filsell Shiraz 2009,$39.89 in any six,$239.34 per case of 6,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$41.99 per bottle,Ranked 10 of 108 Shiraz from Barossa Valley,,,
