,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Langtons Classified,Price Option 5,Wine Body,Organic
17,14.50%,Leeuwin Estate,Screw Cap,Australia,2007,Art Series Chardonnay 2007,$123.50 in any six,"$1,482.00 per case of 12",$129.99 per bottle,Ranked 5 of 47 Chardonnay from Margaret River,Margaret River,750mL,8.6,Western Australia,Chardonnay,Dry,,Exceptional,,,
18,13.0% (2010),Diamond Valley,Screw Cap,Australia,2010*,Blue Label Chardonnay,$16.88 in any six,$202.56 per case of 12,$16.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2010),Victoria,Chardonnay,Dry,,,,,
19,12.5%,Side Steps,Screw Cap,Australia,2017*,McLaren Vale White 2017,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,McLaren Vale,750mL,7.4,Victoria,White Blends,,,,,,
20,13.50%,Vasse Felix,Screw Cap,Australia,,Heytesbury Chardonnay 2009,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,Ranked 4 of 65 Chardonnay from Margaret River,Margaret River,750mL,8,Western Australia,Chardonnay,Dry,,,,,
21,11.1%,Tertini,Screw Cap,Australia,2014*,Riesling,$32.30 in any six,$387.60 per case of 12,$33.99 per bottle,Awards: Trophy and Gold Medal - South Coast Wine Show 2015,,750mL,6.6,,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
22,14.50%,Leeuwin Estate,Cork,Australia,2002,Art Series Chardonnay 2002,$144.99 per bottle,,,,Margaret River,750mL,8.6,Western Australia,Chardonnay,Dry,,Exceptional,,,
23,12.5% (2011),Domain Day,Screw Cap,Australia,2011*,One Serious Riesling,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,7.4 (2011),South Australia,Riesling,Dry,,,,,
24,11,Orlando,Screw Cap,Australia,,St Helga Riesling 2012,,,,,Eden Valley,750mL,6.5,South Australia,Riesling,Dry,,,,,
25,11.0% (2014),Brown Brothers,Screw Cap,Australia,2014*,Chenin Blanc,$6.88 in any six,$41.28 per case of 6,$6.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.5 (2014),Victoria,Chenin Blanc,Dry,,,,,
26,12.5% (2012),Xanadu,Screw Cap,Australia,2012*,Stevens Road Chardonnay,$38.90 in any six,$233.40 per case of 6,$40.90 per bottle,"Awards: 2 Trophies - National Wine Show of Australia 2014, Margaret River Wine Show 2014",Margaret River,750mL,7.4 (2012),New South Wales,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 15 of 67 Chardonnay from Margaret River,,
27,12.5% (2014),Rieslingfreak,Screw Cap,Australia,2014*,No.3 Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 25 of 60 Riesling from Clare Valley,,,Clare Valley,750mL,7.4 (2014),South Australia,Riesling,Dry,,,,,
28,13.0% (2009),Suckfizzle,Screw Cap,Australia,2009*,Sauvignon Blanc Semillon,$32.88 in any six,$197.28 per case of 6,$32.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7 (2009),Western Australia,Sauvignon Blanc Semillon,Dry,Ranked 8 of 26 Sauvignon Blanc from Margaret River,,,,
29,14.5% (2007),Wise,Screw Cap,Australia,2007*,Single Vineyard Chardonnay,$28.49 in any six,$338.29 per case of 12,$29.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.0 (2007),Western Australia,Chardonnay,Dry,,,,,
30,9.5% (2009),Briar Ridge,Screw Cap,Australia,2009*,Botrytis Semillon 375mL,$18.99 in any six,$225.49 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,375mL,2.8 (2009),New South Wales,Semillon,Sweet,,,,,
31,13.5% (2006),Killara Park Estate,Screw Cap,Australia,2006*,Chardonnay,$15.15 in any six,$179.35 per case of 12,$15.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.0 (2006),Victoria,Chardonnay,Dry,,,,,
32,13.0% (2015),Pike and Joyce,Screw Cap,Australia,2015*,Sauvignon Blanc,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.7 (2015),South Australia,Sauvignon  Blanc,Dry,,,,,
33,14.00%,Yarra Yering,Cork,Australia,,Chardonnay 2001,$79.90 in any six,$958.69 per case of 12,$79.90 per bottle,,Yarra Valley,750mL,8.3,Victoria,Chardonnay,Dry,,,,,
34,12.0% (2012),T'Gallant,Screw Cap,Australia,2012*,Grace Pinot Grigio,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.1 (2012),Victoria,Pinot Grigio,Dry,,,,,
35,14.50%,Leeuwin Estate,Cork,Australia,1999,Art Series Chardonnay 1999,$154.99 per bottle,,,,Margaret River,750mL,8.6,Western Australia,Chardonnay,Dry,,Exceptional,,,
36,13.0% (2010),Ten Minutes by Tractor,Screw Cap,Australia,2010*,10X Chardonnay,$28.49 in any six,$341.88 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.7 (2010),Victoria,Chardonnay,Dry,Ranked 16 of 36 Chardonnay from Mornington Peninsula,,,,
37,14.00%,Cullen,Cork,Australia,2001,Chardonnay 2001,$59.99 per bottle,,,,Margaret River,750mL,8.3,Western Australia,Chardonnay,Dry,,,,,
38,13.00%,Penfolds,Cork,Australia,2000,Reserve Bin A Chardonnay 2000,$75.95 in any six,$79.99 per bottle,,,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,,,
39,12.7% (2013),Jacob's Creek,Screw Cap,Australia,2013*,Chardonnay 375mL,$4.75 in any six,$57.00 per case of 12,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,375mL,3.8 (2013),South Australia,Chardonnay,Dry,,,,,
40,12.0% (2014),Primo Estate,Screw Cap,Australia,2014*,La Biondina Colombard,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,McLaren Vale,750mL,7.1 (2014),South Australia,Colombard,Dry,,,,,
41,14.6,Ulupna,Screw Cap,Australia,,Chardonnay 2015 - Single Vineyard,$23.00 per bottle,$120.00 per case of 6,,,"Goulburn Valley, VIC",750ml,8.5,,Chardonnay,,,,,,
42,12,Garbin Estate Wines,Screw Cap,Australia,,Garbin Estate Wines Verdelho 2017,$20.00 per bottle,$120.00 per case of 6,,,Swan Valley,750mL,7.1,,Verdelho,,,,,,
43,12.5,Garbin Estate Wines,Cork,Australia,,Sparkling Chardonnay Non Vintage,$22.00 per bottle,$132.00 per case of 6,,,Swan Valley,750mL,7.4,,,,,,,,
44,12.0% (2011),Robert Stein,Screw Cap,Australia,2011*,Mudgee Semillon Resling,$14.99 in any six,$171.60 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mudgee,750mL,7.1 (2011),Victoria,White Blends,Dry,,,,,
45,14.50%,Leeuwin Estate,Screw Cap,Australia,,Art Series Chardonnay 2010,$119.99 per bottle,Ranked 19 of 61 Chardonnay from Margaret River,,,Margaret River,750mL,8.6,Western Australia,Chardonnay,Dry,,Exceptional,,,
46,13,Barokes,Screw Cap,Australia,,Chardonnay 300mL,,,,,South Eastern Australia,300mL,3.1,,Chardonnay,Dry,,,,,
47,13.0,Haselgrove,Screw Cap,Australia,2014,H by Haselgrove Chardonnay 2014,$10.00 per bottle,$120.00 per case of 12,,,,750mL,7.7,,Chardonnay,Dry,,,,,
48,12-13%,Towerhill,Screw Cap,Australia,,"Riesling Mixed Pack - 2008, 2011, 2012, 2013, 2014, 2015",$174.00 per pack of 6,$172.00 ,,,Mount Barker,750mL,7.1-7.7,Western Australia,Riesling,,,,,,
49,12.5,Tote Wines,,Australia,2016,Eden Valley Sauvignon Blanc Pouch 2016 Magnum 1.5L,$29.95 per bottle,$149.70 per case of 6,,,Eden Valley,1.5L,14.8,,Sauvignon Blanc,Dry,,,,,
50,12.00%,O'Leary Walker,Screw Cap,Australia,2008,Watervale Riesling 2008,$21.85 in any six,$262.20 per case of 12,$22.99 per bottle,,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,,,,
51,13.70%,Tyrrell's,Screw Cap,Australia,2005,Vat 47 Chardonnay 2005,$62.99 per bottle,Ranked 14 of 37 Chardonnay from New South Wales,,,Hunter Valley,750mL,8.1,New South Wales,Chardonnay,Dry,,Excellent,,,
52,13.50%,Mount Mary,Cork,Australia,2006,Chardonnay 2006,$119.99 per bottle,,,,Yarra Valley,750mL,8,Victoria,Chardonnay,Dry,,Excellent,,,
53,13.80%,Mount Mary,Cork,Australia,,Chardonnay 2001,$114.99 per bottle,,,,Yarra Valley,750mL,8.2,Victoria,Chardonnay,Dry,,Excellent,,,
54,11.00%,Tyrrell's,Cork,Australia,1995,Vat 1 Semillon 1995,$156.99 per bottle,,,,Hunter Valley,750mL,6.5,New South Wales,Semillon,Dry,,Outstanding,,,
55,,,,,,Unknown,,,,,,,,,,,,,,,
56,12.00%,Leo Buring,Screw Cap,Australia,,Dry Clare Valley Riesling 2011,$20.00 in any six,$118.80 per case of 6,$20.99 per bottle,Ranked 37 of 53 Riesling from Clare Valley,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,,,,
57,13.00%,Grosset,Screw Cap,Australia,2006,Watervale Riesling 2006,$49.99 per bottle,Ranked 2 of 23 Riesling from Clare Valley,,,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,,,,
58,8.5% (2012),Lindeman's,Screw Cap,Australia,2012*,Early Harvest Pinot Grigio,$8.88 in any six,$53.28 per case of 6,$8.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",South Eastern Australia,750mL,5.0 (2012),,Pinot Grigio,,,,,,
59,10.50%,Tyrrell's,Cork,Australia,1998,Vat 1 Semillon 1998,$153.99 per bottle,,,,Hunter Valley,750mL,6.2,New South Wales,Semillon,Dry,,Outstanding,,,
60,10.50%,Meerea Park,Screw Cap,Australia,2005,Epoch Semillon 2005,$16.15 in any six,$193.80 per case of 12,$16.99 per bottle,,Hunter Valley,750mL,6.2,New South Wales,Semillon,Dry,,,,,
61,13.00%,Leo Buring,Screw Cap,Australia,2006,Clare Valley Riesling 2006,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,,,,
62,13.00%,Leo Buring,Screw Cap,Australia,2005,Leonay Riesling 2005,$32.99 per bottle,Ranked 1 of 16 Riesling from Clare Valley,,,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,Excellent,,,
63,12.50%,St Helga,Screw Cap,Australia,2006,Riesling 2006,$19.90 in any six,$119.40 per case of 6,$20.90 per bottle,,Eden Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,
64,12.50%,Tahbilk,Screw Cap,Australia,2007,Marsanne 2007,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,"Awards: 3 Gold - Dan Murphy's National Wine Show 2010, Rutherglen Wine Show 2009, International Wine Challenge UK 2009",Goulburn Valley,750mL,7.4,Victoria,Marsanne,Dry,,,,,
65,12.50%,Annie's Lane,Screw Cap,Australia,2006,Riesling 2006,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,
66,13.00%,Penfolds,Cork,Australia,1999,Yattarna Chardonnay 1999,$114.95 in any six,$120.99 per bottle,,,,750mL,7.7,South Australia,Chardonnay,Dry,,Outstanding,,,
67,13.00%,Penfolds,Screw Cap,Australia,2005,Reserve Bin Riesling 2005,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,Ranked 16 of 33 Riesling from South Australia,Eden Valley,750mL,7.7,South Australia,Riesling,Dry,,,,,
68,13.50%,Mount Mary,Cork,Australia,2005,Chardonnay 2005,$94.99 per bottle,Ranked 20 of 34 Chardonnay from Yarra Valley,,,Yarra Valley,750mL,8,Victoria,Chardonnay,Dry,,Excellent,,,
69,11.5% (2013),Taylors,Screw Cap,Australia,2013*,Jaraman Riesling,$15.88 in any six,$95.28 per case of 6,$15.88 per bottle,Awards: Gold - Riverside International Wine Competition USA 2013,,750mL,6.8 (2013),South Australia,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
70,13.6%,The Remarkable State,Screw Cap,Australia,2016,1836 Single Vineyard Adelaide Hills Chardonnay 2016,,,,,Adelaide Hills,750mL,8,South Australia,Chardonnay,Dry,,,,,
71,13.00%,Petaluma,Screw Cap,Australia,2002,Hanlin Hill Riesling 2002,$49.99 per bottle,,,,Clare Valley,750mL,7.6,South Australia,Riesling,Dry,,Excellent,,,
72,13.50%,Giaconda,Cork,Australia,2000,Chardonnay 2000,$179.99 per bottle,,,,Beechworth,750mL,8,Victoria,Chardonnay,Dry,,Exceptional,,,
73,13.50%,Giaconda,Cork,Australia,2001,Chardonnay 2001,$169.99 per bottle,,,,,750mL,8,Victoria,Chardonnay,Dry,,Exceptional,,,
74,13.00%,Grosset,Screw Cap,Australia,2002,Polish Hill Riesling 2002,$94.99 per bottle,Ranked 19 of 31 Riesling from Clare Valley,,,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,Exceptional,,,
75,11.0% (2011),Vestige,Screw Cap,Australia,2011*,Semillon Sauvignon Blanc,$24.00 per case in 6,$4.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,1L,8.7 (2011),,Semillon Sauvignon Blanc,Dry,,,,,
76,12.5% (2014),Swan Bay,Screw Cap,Australia,2014*,Sauvignon Blanc Semillon,$9.88 in any six,$118.56 per case of 12,$9.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,7.4 (2014),Victoria,Sauvignon Blanc Semillon,Dry,,,,,
77,12.5% (2014),Tisdall,Screw Cap,Australia,2014*,Crest Chardonnay,$11.88 in any six,$71.28 per case of 6,$11.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.4 (2014),Victoria,Chardonnay,Dry,,,,,
78,13.5% (2013),Lindeman's,Screw Cap,Australia,2013*,Bin 65 Chardonnay 187mL,$2.59 in any six,$62.16 per case of 24,$2.69 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,187mL,2 (2013),Victoria,Chardonnay,Dry,,,,,
79,10.5% (2010),Warburn,Screw Cap,Australia,2010*,Botrytis Semillon 375mL,$4.88 in any six,$58.56 per case of 12,$4.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Riverina,375mL,3.1 (2010),New South Wales,Semillon,Sweet,,,,,
80,12.50%,Houghton,Cask Closure,Australia,,White Classic 2L,$13.20 in any six,$79.20 per case of 6,$13.90 each,,,2L,20,Western Australia,White Blends,Dry,,,,,
81,,,,,,Unknown,,,,,,,,,,,,,,,
82,12,Trevor Jones,Screw Cap,Australia,Screw Cap,Trevor Jones Adelaide Hills Sauvignon Blanc 2015,$23.00 per bottle,$264.00 per case of 12,Dry White,,Adelaide Hills,750mL,7,FRE,Sauvignon Blanc,Dry,,,,,
83,13,Haselgrove,Screw Cap,Australia,2014,H Chardonnay 2015,$23.99 per bottle,$287.88 per case of 12,,,,750mL,7.7,,Chardonnay,,,,,,
84,12.5,Shingleback,Screw Cap,Australia,2016,Kiss Me Kate Chardonnay 2016,Ranked 56 of 109 Chardonnay from South Australia,,,,Adelaide Hills,750mL,7.4,,Chardonnay,Dry,,,,,
85,11.5,Penna Lane,Screw Cap,Australia,2016*,Watervale Riesling,$18.00 per bottle,$108.00 per case of 6,Ranked 27 of 66 Riesling from Clare Valley,,,750mL,6.8,,Riesling,,,,,,
86,13,Epic Negociants,Screw Cap,Australia,2017*,Blue Sky Vineyard Chardonnay 2017,$18.00 per bottle,$108.00 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,South Australia,750ml,7.7,,chardonnay,,,,,,
87,7,Portarlington Ridge,Screw Cap,Australia,Non Vintage,Moscato,$18.00 per bottle,$150.00 per case of 12,,,,750mL,4.2,,Moscato,Semi Sweet,,,,,
88,12.5,James Estate,Screw Cap,Australia,2016*,Verdelho,$14.95 per bottle,$85.43 per case of 6,Ranked 15 of 19 Verdelho from Australia,,Hunter Valley,750mL,7.4,New South Wales,Verdelho,,,,,,
89,12.7,Terra Felix,Screw Cap,Australia,,Terra Felix,$24.99 per bottle,$299.88 per case of 12,,,"Bendigo, VIC",750ml,7.5,,Pinot Gris,,,,,,
90,17.3%,Pieter van Gent,Screw Cap,Australia,,Pipeclay White,$132.00 per pack of 6,$264.00 per case of 12,,,Mudgee,700mL,9.6,New South Wales,Port,Sweet,,,,,
91,12,Hart of the Barossa,Screw Cap,Australia,Screw Cap,Saint Emilion Semillon,$20.00 per bottle,$120.00 per case of 6,Dry White,,Barossa Valley,750mL,7,WNE,Semillon,Dry,,,,,true
92,9.00%,Maglieri,,Australia,Non Vintage,Australian Dolce Bianco,,,,,McLaren Vale,750mL,5.3,South Australia,Lambrusco,Sweet,,,,,
93,12.0% (2008),Peter Lehmann,Screw Cap,Australia,2008*,Semillon Chardonnay,$9.50 in any six,$56.35 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,7.1 (2008),South Australia,Semillon Chardonnay,Dry,,,,,
94,12.5% (2009),Water Wheel,Screw Cap,Australia,2009,Chardonnay,$14.25 in any six,$169.09 per case of 12,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Bendigo,750mL,7.4 (2008),Victoria,Chardonnay,Dry,,,,,
95,13.0% (2010),Redbank,Screw Cap,Australia,2010,The Long Paddock Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,750mL,7.8 (2010),Victoria,Chardonnay,Dry,,,,,
96,14.0% (2009),Tahbilk,Screw Cap,Australia,2009*,Viognier,$12.29 in any six,$72.79 per case of 6,$12.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Goulburn Valley,750mL,8.3 (2009),Victoria,Viognier,Dry,,,,,
97,14.0% (2013),Hollick,Screw Cap,Australia,2013*,Bond Road Chardonnay,$20.89 in any six,$248.05 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3 (2013),South Australia,Chardonnay,Dry,,,,,
98,13.0% (2010),Queen Adelaide,Screw Cap,Australia,2010*,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,750mL,7.7 (2010),South Australia,Chardonnay,Dry,,,,,
