,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Langtons Classified,Price Option 5,Wine Body,Organic
99,9.50%,Morris,Cask Closure,Australia,Non Vintage,Blanc Superior Cask 4L,,,,,,4L,30,,White Blend,Dry,,,,,
100,13.5% (2009),Fontys Pool,Screw Cap,Australia,2009*,Chardonnay,$14.19 in any six,$168.09 per case of 12,$14.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pemberton,750mL,8.0 (2009),Western Australia,Chardonnay,Dry,,,,,
101,12.00%,Brand's of Coonawarra,Screw Cap,Australia,2003,Riesling 2003,$17.55 in any six,$214.25 per case of 12,$18.99 per bottle,,Coonawarra,750mL,7.1,South Australia,Riesling,Dry,,,,,
102,13.5% (2008),Shadowfax,Screw Cap,Australia,2008,Viognier,$21.85 in any six,$259.35 per case of 12,$16.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,8.0 (2008),Victoria,Viognier,Dry,,,,,
103,5.0% (2011),AC/DC,Screw Cap,Australia,2011*,You Shook Me All Night Long Moscato,$9.49 in any six,$56.35 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,3 (2011),,Moscato,Semi Sweet,,,,,
104,15.0% (2010),Shelmerdine,Screw Cap,Australia,2010*,Viognier,$20.85 in any six,$123.55 per case of 6,$21.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.9 (2010),Victoria,Viognier,Dry,Ranked 22 of 29 Viognier from Australia,,,,
105,,,,,,Unknown,,,,,,,,,,,,,,,
106,15.00%,Giaconda,Cork,Australia,2002,Chardonnay 2002,$229.99 per bottle,,,,Beechworth,750mL,8.9,Victoria,Chardonnay,Dry,,Exceptional,,,
107,11.50%,Mount Pleasant,Cork,Australia,2000,Lovedale Semillon 2000,$64.99 per bottle,"Awards: 2 Trophies - Sydney International Wine Competition 2006, Tri Nations Competition 2006, 6 Gold - Dan Murphy's Wine Show 2004, Cowra Wine Show 2004, Wagga Wagga Wine Show 2006, Royal Melbourne Wine Show 2006, Sydney International Wine Competition 2006, Sydn",,,Hunter Valley,750mL,6.8,New South Wales,Semillon,Dry,,Outstanding,,,
108,13.5% (2009),Murray Street Vineyards,Screw Cap,Australia,2009,Viognier Marsanne,$21.90 in any six,$131.40 per case of 6,$21.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.0 (2009),South Australia,Viognier Marsanne,Dry,,,,,
109,13.50%,Tahbilk,Screw Cap,Australia,2006,Marsanne 2006,$14.25 in any six,$84.55 per case of 6,$14.99 per bottle,,Goulburn Valley,750mL,8,Victoria,Marsanne,Dry,,,,,
110,10.50%,Mount Pleasant,Cork,Australia,2002,Elizabeth Semillon 2002,$14.25 in any six,$169.09 per case of 12,$14.99 per bottle,Ranked 8 of 16 Sémillon from New South Wales,Hunter Valley,750mL,6.2,New South Wales,Semillon,Dry,,,,,
111,13.00%,Pewsey Vale,Screw Cap,Australia,,Eden Valley Riesling 2006,$18.90 in any six,$226.80 per case of 12,$19.90 per bottle,,Eden Valley,750mL,7.7,South Australia,Riesling,Dry,,,,,
112,12.00%,Tim Adams,Screw Cap,Australia,,Riesling 2006,$24.69 in any six,$296.28 per case of 12,$25.99 per bottle,,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,,,,
113,12.0% (2010),Fontys Pool,Screw Cap,Australia,2010*,Sauvignon Blanc Semillon,$12.29 in any six,$145.55 per case of 12,$12.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pemberton,750mL,7.1 (2010),Western Australia,Sauvignon Blanc Semillon,Dry,,,,,
114,10.50%,De Bortoli,Cork,Australia,,Noble One Botrytis Semillon 2006 375mL,$45.99 per bottle,Ranked 26 of 59 Sémillon from New South Wales,,,Riverina,375mL,3.1,New South Wales,Semillon,Sweet,,,,,
115,12.50%,Pike and Joyce,Screw Cap,Australia,2015*,Gruner Veltliner,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.4,South Australia,Gruner Veltliner,Dry,,,,,
116,13.50%,Clos Clare,Screw Cap,Australia,2014*,Watervale Riesling,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8,South Australia,Riesling,Dry,Ranked 3 of 60 Riesling from Clare Valley,,,,
117,13.5% (2014),Carillion,Screw Cap,Australia,2014*,The Crystals Chardonnay,$33.30 in any six,$399.60 per case of 12,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Orange,750mL,8.0 (2014),New South Wales,Chardonnay,Dry,,,,,
118,12.5%,Tertini,Screw Cap,Australia,2016,Reserve Arneis,$34.19 in any six,$410.40 per case of 12,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4,,Arneis,Dry,,,,,
119,13.00%,Petaluma,Screw Cap,Australia,2009,Hanlin Hill Riesling 2009,$34.99 per bottle,Ranked 4 of 41 Riesling from Clare Valley,,,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,Excellent,,,
