,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Organic,Price Option 5,Vegan Friendly
47,13%,Henry's Drive,Crown Seal,Australia,,,The Scarlet Letter Sparkling Shiraz NV,$20.00 per bottle,$120.00 per case of 6,,,,750mL,7.7,South Australia,Shiraz,,Dry,Padthaway,,,
48,,,,,,,Unknown,,,,,,,,,,,,,,,
49,13.5%,David Hook,Screw Cap,Australia,2016*,,Barbera,$27.99 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8,New South Wales,Barbera,,Dry,Hunter Valley,,,
50,13.9%,The Roost,,Australia,,,Heathcote Shiraz 2013,$11.00 per bottle,$54.00 per case of 6,,,,750mL,8.3,Victoria,Shiraz,,Dry,Heathcote,,,
51,14%,Fermoy Estate,Cork,Australia,2016*,,Merlot,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.3,Western Australia,Merlot,Medium Bodied,Dry,Margaret River,,,
52,14.7% (2015),Carlei,Cork,Australia,2014*,,Green Vineyards Shiraz,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.7 (2015),Victoria,Shiraz,Full Bodied,Dry,Heathcote,,,
53,13.8%,Hirsch Hill Estate,Screw Cap,Australia,,,2015 Hirsch Hill Cabernet Sauvignon,$20.00 per bottle,$120.00 per case of 6,"Awards: 90 Rating in Halliday 2019 Wine Companion
Winestate Magazine Wine of the Year Finalist 2017",,,750mL,8.2,Victoria,Cabernet Sauvignon,Medium Bodied,,Yarra Valley,,,
54,13.5%,Wicks Estate,Screw Cap,Australia,2018,,Pinot Noir,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8,South Australia,Pinot Noir,Light Bodied,Dry,Adelaide Hills,,,
55,13%,Henry's Drive,Crown Seal,Australia,,,The Scarlet Letter Sparkling Shiraz NV,$20.00 per bottle,$120.00 per case of 6,,,,750mL,7.7,South Australia,Shiraz,,Dry,Padthaway,,,
56,14.5% (2013),Balnaves,Screw Cap,Australia,2013*,,Shiraz,$26.60 in any six,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 14 of 20 Shiraz from Coonawarra,,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,Coonawarra,,,
57,13.6% (2013),Oakdene,Screw Cap,Australia,2013*,,Petas Pinot Noir,$38.00 in any six,$456.00 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 25 Pinot Noir from Geelong,750mL,8 (2013),Victoria,Pinot Noir,Light Bodied,Dry,Geelong,,,
58,14.0% (2017),Hewitson,Screw Cap,Australia,2017*,,Ned & Henry's Shiraz,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2015),South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,,,
59,14%,Hardys,Screw Cap,Australia,2013,,Oomoo Shiraz 2013,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,"Awards: Hong Kong International Wine & Spirit Competition, 2015: Bronze",,750mL,8.3,South Australia,Shiraz,,,McLaren Vale,,,
60,12.8%,Helen's Hill,Screw Cap,Australia,2017*,,Pinot Noir,$27.60 in any six,$331.20 per case of 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.6,Victoria,Pinot Noir,Light Bodied,Dry,Yarra Valley,,,
61,12.8%,Helen's Hill,Screw Cap,Australia,2017*,,Pinot Noir,$27.60 in any six,$331.20 per case of 12,$28.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.6,Victoria,Pinot Noir,Light Bodied,Dry,Yarra Valley,,,
