,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Organic,Price Option 5,Vegan Friendly
85,13.50%,Seppelt,,Australia,,Outstanding,St Peters Great Western Shiraz 2007,$79.99 per bottle,,,,,750mL,8,Victoria,Shiraz,,Dry,Grampians,,,
86,13.00%,Penfolds,Cork,Australia,,,St Henri Shiraz 1975,"$1,200.00 per bottle",,,,,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,,
87,14.50%,The Old Faithful,Cork,Australia,,,Top Of The Hill Shiraz 2007,$52.30 in any six,$313.80 per case of 6,$54.99 per bottle,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
88,14.00%,Dalwhinnie,Screw Cap,Australia,2000,Outstanding,Eagle Shiraz 2000,$199.99 per bottle,Ranked 39 of 47 Shiraz from Australia,,,,750mL,8.5,Victoria,Shiraz,Full Bodied,Dry,Pyrenees,,,
89,12.50%,Mount Mary,Cork,Australia,,,Quintet Cabernet 2005 Magnum 1.5L,$599.00 per bottle,,,,,1.5L,14.8,Victoria,Cabernet Blend,Full Bodied,Dry,Yarra Valley,,,
90,12.50%,Mount Mary,Cork,Australia,,,Quintet Cabernet 2006 Magnum 1.5L,$550.00 per bottle,,,,,1.5L,14.8,Victoria,Cabernet Blend,Full Bodied,Dry,Yarra Valley,,,
91,12.50%,Mount Mary,Cork,Australia,,Exceptional,Quintet Cabernet 2001,$199.99 per bottle,Ranked 5 of 29 Cabernet Sauvignon from Australia,,,,750mL,7.4,Victoria,Cabernet Blend,Full Bodied,Dry,Yarra Valley,,,
92,13.00%,Castagna,,Australia,,,Genesis Syrah 2010,$81.99 per bottle,Ranked 11 of 24 Shiraz from Victoria,,,,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,Beechworth,,,
93,14.50%,Penfolds,Cork,Australia,2003,Exceptional,Grange 2003,$750.00 per bottle,Ranked 34 of 117 Shiraz from South Australia,,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
94,14.50%,Penfolds,Cork,Australia,1998,Exceptional,Grange 1998 Magnum 1.5L,"$2,000.00 per bottle",,,,,1.5L,17.2,South Australia,Shiraz,Full Bodied,Dry,,,,
95,12.90%,Penfolds,Cork,Australia,1985,Exceptional,Grange 1985,$950.00 per bottle,,,,,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,,
96,13.50%,Penfolds,Cork,Australia,2001,Exceptional,Bin 707 Cabernet Sauvignon 2001,$575.00 per bottle,Ranked 9 of 36 Cabernet Sauvignon from South Australia,,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Barossa Valley,,,
97,12.50%,Mount Mary,,Australia,1997,Exceptional,Quintet 1997,$219.99 per bottle,,,,,750mL,7.4,Victoria,Red Blend,,Dry,Yarra Valley,,,
98,12.20%,Mount Mary,Cork,Australia,2000,Exceptional,Quintet 2000,$209.99 per bottle,,,,,750mL,7.2,Victoria,Red Blend,,Dry,Yarra Valley,,,
99,14.20%,Henschke,Cork,Australia,1997,Exceptional,Hill of Grace Shiraz 1997,$899.00 per bottle,Ranked 16 of 20 Shiraz from Australia,,,,750mL,8.4,South Australia,Shiraz,Full Bodied,Dry,Eden Valley,,,
100,14.0% (2011),Longhop,Screw Cap,Australia,2011*,,Shiraz,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2011),South Australia,Shiraz,Full Bodied,Dry,Adelaide Hills,,,
101,14,Millbrook,Screw Cap,Australia,Screw Cap,,Limited Release Fog's Folly,$45.00 per bottle,$270.00 per case of 6,Dry Red,,,750mL,8.3,FRE,Cabernet Blend,,Dry,Perth Hills,,,
102,14.2,Rosabrook,Screw Cap,Australia,,,Margaret River Shiraz 2015,$24.95 per bottle,$149.70 per case of 6,,,,750ml,8.6,,Shiraz,,,,,,
103,13,Hardys,Screw Cap,Australia,Screw Cap,,Eileen Hardy Pinot Noir 2014,$94.99 per bottle,$569.94 per case of 6,Dry Red,,,750mL,7.7,FRE,Pinot Noir,Light Bodied,,McLaren Vale,,,
104,14.5%,Red Empress,Cork,Australia,,,McLaren Vale Shiraz,$40.00 per bottle,$240.00 per case of 6,,,,750mL,8.6,South Australia,Shiraz,,Dry,McLaren Vale,,,
105,14.2,Beresford,Screw Cap,Australia,2015,,Bell Tower Merlot 2015,$19.99 per bottle,$240.00 per case of 12,Awards: McLaren Vale Merlot of the Year - 2017 Melbourne International Wine Competition,,,750mL,8.4,South Australia,Merlot,Medium Bodied,,McLaren Vale,,,
106,16.0%,Trevor Jones,Screw Cap,Australia,2013*,,Trevor Jones 2015 GSM,$84.00 per pack of 3,$150.00 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,9,South Australia,Grenache Blend,Full Bodied,Red Varietals,Barossa Valley,,,
107,14.5,Wirrega Vineyards,Screw Cap,Australia,,,Runaway Cabernet Sauvignon 2015,$16.00 per bottle,$96.00 per case of 6,,,,750mL,8.6,,Cabernet Sauvignon,Full Bodied,,Limestone Coast,,,
108,14.5,Haselgrove,Screw Cap,Australia,2016,,First Cut Shiraz 2016,$62.36 per pack of 2,$187.08 per case of 6,,,,750mL,8.6,,Shiraz,Full Bodied,,,,,
109,14.5,Haselgrove,,Australia,2015,,Legend The Lear Shiraz 2015,$214.06 per pack of 2,$642.18 per case of 6,,,,750,8.6,,Shiraz,Full Bodied,,,,,
110,14,Haselgrove,Screw Cap,Australia,2013,,Haselgrove Origin Protector Cabernet Sauvignon 2017,$92.24 per pack of 2,$276.72 per case of 6,,,,750mL,8.3,,Red Wine,Full Bodied,,,,,
111,14.5,Haselgrove,Screw Cap,Australia,2016,,Origin Vine Sean Grenache 2016,$74.32 per pack of 2,$222.96 per case of 6,,,,750mL,8.6,,Grenache,Medium Bodied,,,,,
112,14%,Balnaves,Screw Cap,Australia,,,'Entav' Cabernet Petit Blend,$31.99 per bottle,$383.88 per case of 6,,,,750mL,8.3,South Australia,"412 Cabernet Sauvignon, 338 Cabernet Sauvignon, Petit Verdot",Full Bodied,Dry,Coonawarra,,,
113,14.5,Monterra,Screw Cap,Australia,2017,,McLaren Vale Shiraz 2017,$25.99 per bottle,$155.94 per case of 6,Awards: Gold Medal - China Wine & Spirits Awards 2018,,,750mL,8.3,South Australia,Shiraz,Full Bodied,Shiraz,McLaren Vale,,,
114,13%,Shadowfax,Screw Cap,Australia,2017,,Little Hampton Pinot Noir,$61.99 per bottle,$371.94 per case of 6,Awards: Gold Medal - 2018 Sydney Royal Wine Show,,,750mL,7.7,Victoria,Pinot Noir,Medium Bodied,,Macedon Ranges,,,true
115,14.5%,Yeringberg,Screw Cap,Australia,,,'Yeringberg' Cabernet Blend,$97.99 per bottle,"$1,175.88 per case of 12",,,,750mL,8.6,Victoria,"Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot, Malbec",,Dry,Yarra Valley,,,
116,13.6,Snobs Creek Estate,Screw Cap,Australia,Screw Cap,,Estate VSP Shiraz 2017,$24.99 per bottle,$299.88 per case of 12,Dry Red,,,750mL,8,Victoria,Shiraz,Full Bodied,Dry,Lake Eildon,,,
117,15,WESTLAKE,,Australia,,,717 Convicts-The Felon Shiraz,$22.61 per bottle,$271.33 per case of 12,Awards: 92 Points James Halliday,,,750mL,8.9,South Australia,SHIRAZ,,,Barossa Valley,,,true
118,14.000000000000002%,Vignerons d'Estezarg,,Australia,,,Gres St Vincent CdR Villages,$34.95 per bottle,$419.40 per case of 12,,,,750mL,8.2,,"Shiraz, Grenache, Mourvedre, Carignan",,,,,,
119,13.5%,TOORAK,,Australia,,,Cabernet Shiraz Merlot,$8.60 per bottle,$103.17 per case of 12,,,,750mL,8.30,New South Wales,Cabernet / Shiraz / Merlot,,,Riverina,,,
