,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Langtons Classified,Vegan Friendly
69,,Rose River,Screw Cap,Australia,,Red Pierre Shiraz - Alcohol Removed,$4.00 in any six,$24.00 per case of 6,$4.00 per bottle,,,750mL,,,Non Alcoholic Drinks,Full Bodied,Dry,,,
70,14.00%,Best's Great Western,Screw Cap,Australia,2004,Bin 0 Shiraz 2004,$94.99 per bottle,Ranked 5 of 17 Shiraz from Western Victoria,,,Grampians,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,Excellent,
71,14.5% (2008),Heathcote Estate,Screw Cap,Australia,2008,Grenache Noir,$18.90 in any six,$113.40 per case of 6,$18.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.6 (2008),Victoria,Grenache,Medium Bodied,Dry,,,
72,14.50%,Campbells,Cork,Australia,,Bobbie Burns Shiraz 2001,$31.35 in any six,$372.15 per case of 12,$32.99 per bottle,,Rutherglen,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,,
73,12.50%,Yarra Yering,Cork,Australia,1999,Dry Red No.1 1999,$99.99 per bottle,,,,Yarra Valley,750mL,7.5,Victoria,Red Blend,,Dry,,Excellent,
74,13.50%,d'Arenberg,Cork,Australia,2003,Dead Arm Shiraz 2003 Magnum 1.5L,$213.99 per bottle,,,,McLaren Vale,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,,,
75,13.50%,Katnook Estate,Screw Cap,Australia,,Cabernet Sauvignon 2008 Magnum 1.5L,$94.99 per bottle,,,,Coonawarra,1.5L,16,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
76,14.00%,Houghton,Cork,Australia,,Jack Mann Cabernet Sauvignon 2002,$94.99 in any six,$99.99 per bottle,,,Great Southern,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,Excellent,
77,13.50%,Henschke,Screw Cap,Australia,,Cyril Henschke Cabernet Sauvignon 2009,Ranked 4 of 25 Cabernet Sauvignon from Barossa,,,,Barossa Valley,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
78,13.00%,Penfolds,Cork,Australia,,St Henri Shiraz 1982,$450.00 per bottle,,,,,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,
79,12.50%,Wynns,Cork,Australia,,Black Label Cabernet Sauvignon 1966,$450.00 per bottle,,,,Coonawarra,750mL,7.4,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
80,14.00%,Ingoldby,Screw Cap,Australia,2007,Shiraz 2007,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,,McLaren Vale,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,
81,14.00%,Maglieri,Screw Cap,Australia,2008,Cabernet Sauvignon 2008,$19.95 in any six,$239.40 per case of 12,$20.99 per bottle,,McLaren Vale,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
82,14.30%,Jacob's Creek,Screw Cap,Australia,2007,Reserve Shiraz 2007,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,Ranked 15 of 78 Shiraz from Barossa Valley,Barossa Valley,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,,,
