,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Langtons Classified,Vegan Friendly
22,14.00%,Plantagenet,Screw Cap,Australia,,Shiraz 2004,$33.25 in any six,$197.35 per case of 6,$34.99 per bottle,Ranked 6 of 28 Shiraz from South West Australia,Great Southern,750mL,8.6,Western Australia,Shiraz,Full Bodied,Dry,,,
23,15.00%,Wolf Blass,Screw Cap,Australia,,Grey Label Shiraz 2005,$36.90 in any six,$221.40 per case of 6,$36.99 per bottle,Ranked 11 of 73 Shiraz from McLaren Vale,McLaren Vale,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,
24,14.00%,Penfolds,Cork,Australia,2004,Bin 128 Shiraz 2004,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,Ranked 1 of 16 Shiraz from Limestone Coast,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,Excellent,
25,14.50%,Peter Lehmann,Screw Cap,Australia,2005,Shiraz 2005,$18.05 in any six,$107.10 per case of 6,$18.99 per bottle,Ranked 71 of 112 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
26,14.50%,Elderton,Screw Cap,Australia,,Shiraz 2005,$23.75 in any six,$281.89 per case of 12,$24.99 per bottle,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
27,14.50%,Saltram,Cork,Australia,2004,Mamre Brook Shiraz 2004,$21.85 in any six,$259.35 per case of 12,$22.99 per bottle,Ranked 47 of 64 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
28,15.00%,Maglieri,Cork,Australia,2004,Shiraz 2004,$16.90 in any six,$202.80 per case of 12,$16.90 per bottle,,McLaren Vale,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,
29,13.50%,Seppelt,Screw Cap,Australia,2004,Victoria Shiraz 2004,$14.25 in any six,$169.09 per case of 12,$14.99 per bottle,,Grampians,750mL,8,Victoria,Shiraz,Full Bodied,Dry,,,
30,13.0% (2004),Hanging Rock,Cork,Australia,2004*,Reserve Heathcote Shiraz,$94.99 in any six,$281.99 per case of 3,$99.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,7.7 (2004),Victoria,Shiraz,Full Bodied,Dry,,,
31,15.00%,Pepperjack,Screw Cap,Australia,2006,Shiraz 2006,$24.90 in any six,$141.00 per case of 6,$25.90 per bottle,,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,
32,14.00%,Rosemount,Screw Cap,Australia,,Show Reserve Cabernet Sauvignon 2005,$16.90 in any six,$96.00 per case of 6,$17.90 per bottle,Ranked 20 of 34 Cabernet Sauvignon from Coonawarra,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
33,14.00%,Skillogalee,Screw Cap,Australia,,Basket Pressed Shiraz 2004,$24.69 in any six,$146.59 per case of 6,$25.99 per bottle,,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,
34,13.50%,Jamiesons Run,Screw Cap,Australia,,Shiraz 2006,$14.90 in any six,$174.00 per case of 12,$15.90 per bottle,,Coonawarra,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,
35,14.50%,Maglieri,Cork,Australia,,Shiraz 2006,$19.90 in any six,$222.00 per case of 12,$20.90 per bottle,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
36,14.00%,Seppelt,Screw Cap,Australia,,Cabernet Sauvignon 2005,$14.90 in any six,$87.00 per case of 6,$15.90 per bottle,Ranked 11 of 43 Cabernet Sauvignon from Victoria,Grampians,750mL,8.3,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,
37,14.50%,Ingoldby,Screw Cap,Australia,2006,Shiraz 2006,$16.90 in any six,$96.00 per case of 6,$17.90 per bottle,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
38,14.50%,Annie's Lane,Screw Cap,Australia,2004,Coppertrail Shiraz 2004,$44.99 per bottle,,,,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
39,14.50%,Ingoldby,Cork,Australia,2004,Reserve Shiraz 2004,$28.49 in any six,$169.15 per case of 6,$29.99 per bottle,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
40,14.5% (2007),Barossa Valley Estate,Screw Cap,Australia,2007*,Ebenezer Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Barossa Valley,750mL,8.6 (2007),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
41,14.5% (2012),Elderton,Screw Cap,Australia,2012*,Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Barossa Valley,750mL,8.6 (2012),South Australia,Shiraz,Full Bodied,Dry,,,
42,13.00%,Houghton,Cork,Australia,1998,Jack Mann Cabernet Sauvignon 1998,$104.99 per bottle,,,,Great Southern,750mL,7.7,Western Australia,Cabernet Blend,Full Bodied,Dry,,Outstanding,
43,2 x 13.5%,Wolf Blass,Screw Cap,Australia,2006,Yellow Label Cabernet Sauvignon and Shiraz 2006 Gift Pack,$31.80 per pack,,,,,750mL,2 x 8.0,South Australia,,Full Bodied,Dry,,,
44,14.50%,Houghton,Screw Cap,Australia,2000,Jack Mann Cabernet Sauvignon Malbec 2000,$94.99 per bottle,,,,Great Southern,750mL,8.6,Western Australia,Cabernet Malbec,,Dry,,Excellent,
45,14.50%,Leasingham,Cork,Australia,2002,Classic Clare Shiraz 2002,$59.99 per bottle,,,,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
46,14.4% (2012),Richmond Grove,Screw Cap,Australia,2012*,Cabernet Sauvignon,$12.90 in any six,$77.40 per case of 6,$12.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.5 (2012),South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 28 of 54 Cabernet Sauvignon from Coonawarra,,
