,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Price Option 3,Price Option 4,Langtons Classified,Price Option 5,Organic,Vegan Friendly
58,13.00%,Wynns,Cork,Australia,Michael Shiraz 1996,$129.99 per bottle,,,Coonawarra,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,1996,,,Outstanding,,,
59,13.50%,Wynns,Cork,Australia,John Riddoch Cabernet Sauvignon 1998,$174.99 per bottle,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,1998,,,Exceptional,,,
60,13.50%,Wynns,Cork,Australia,Michael Shiraz 2003,$129.99 per bottle,,,Coonawarra,750mL,8,South Australia,Shiraz,Full Bodied,Dry,2003,,,Outstanding,,,
61,13.70%,Penfolds,Cork,Australia,Bin 389 Cabernet Shiraz 1990,$209.99 per bottle,,,,750mL,8.1,South Australia,Cabernet Shiraz,Full Bodied,Dry,1990,,,Outstanding,,,
62,14.50%,Wild Duck Creek,,Australia,Springflat Shiraz 2002,$84.99 per bottle,,,Heathcote,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,2002,,,Excellent,,,
63,14.80%,St Hugo,Screw Cap,Australia,Shiraz Cabernet 2010,$55.99 per bottle,$319.20 per case of 6,$53.20 in any six,Barossa Valley,750mL,8.8,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,,,,,
64,14,Millbrook,Screw Cap,Australia,Tempranillo 2013,$22.00 per bottle,$264.00 per case of 12,Dry Red,Geographe,750mL,8.3,FRE,Tempranillo,Full Bodied,Dry,Screw Cap,Ranked 35 of 47 Tempranillo from Australia,,,,,
65,13.5%,Mt Lofty Ranges Vine,Screw Cap,Australia,Mt Lofty Ranges 2015 Adelaide Hills Shiraz,$102.00 per pack of 3,$360.00 per case of 12,,Adelaide Hills,750mL,8,South Australia,Shiraz,Medium Bodied,Dry,,,,,,,
66,14.5,McLaren Vale III Ass,Screw Cap,Australia,Backbone GSM 2012,$36.99 per bottle,$221.94 per case of 6,Awards: Gold Medal - Wine Showcase Magazine 2014,McLaren Vale,750mL,8.6,FRE,Grenache Shiraz Mour,,Dry,2012,Dry Red,,,,,
67,14,Millbrook,Screw Cap,Australia,Tempranillo 2013,$22.00 per bottle,$264.00 per case of 12,Dry Red,Geographe,750mL,8.3,FRE,Tempranillo,Full Bodied,Dry,Screw Cap,Ranked 35 of 47 Tempranillo from Australia,,,,,
68,13.5%,Mt Lofty Ranges Vine,Screw Cap,Australia,Mt Lofty Ranges 2015 Adelaide Hills Shiraz,$102.00 per pack of 3,$360.00 per case of 12,,Adelaide Hills,750mL,8,South Australia,Shiraz,Medium Bodied,Dry,,,,,,,
69,14.5,McLaren Vale III Ass,Screw Cap,Australia,Backbone GSM 2012,$36.99 per bottle,$221.94 per case of 6,Awards: Gold Medal - Wine Showcase Magazine 2014,McLaren Vale,750mL,8.6,FRE,Grenache Shiraz Mour,,Dry,2012,Dry Red,,,,,
70,14,Epic Negociants,Screw Cap,Australia,Ochre Cove Shiraz 2016,$40.00 per bottle,$240.00 per case of 6,,McLaren Vale,750ml,8.3,,Shiraz,Full Bodied,,,,,,,,
71,13,Old Jarvie,Screw Cap,Australia,Mixed Red Pack,$173.94 per bottle,,,,750mL,7.7,,Mixed Reds,,,,,,,,,
72,14,Epic Negociants,Screw Cap,Australia,Rankins Estate Vineyard Shiraz 2016,$25.00 per bottle,$150.00 per case of 6,,Langhorne Creek,750ml,8.3,,Shiraz,Full Bodied,,,,,,,,
73,13.5%,Ferngrove,Screw Cap,Australia,Black Label Malbec 2016,$20.00 per bottle,$120.00 per case of 6,Awards: “Best Varietal Red Wine of the Show” at the 2018 Royal Hobart Wine Show,,750mL,8,,Malbec,,,2016,,,,,,
74,13.2,Wood Park,Screw Cap,Australia,Myrrhee Merlot 2014,$28.00 per bottle,$168.00 per case of 6,,King Valley,750ml,7.9,,Merlot,Medium Bodied,,,,,,,,
75,13.5,Blue Pyrenees,Cork,Australia,Richardson Reserve Cabernet Sauvignon 2012,$120.00 per bottle,$480.00 per case of 6,Ranked 21 of 36 Cabernet Sauvignon from Victoria,Pyrenees,750mL,8,,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,
76,13.5%,Ferngrove,Screw Cap,Australia,Black Label Malbec 2016,$20.00 per bottle,$120.00 per case of 6,Awards: “Best Varietal Red Wine of the Show” at the 2018 Royal Hobart Wine Show,,750mL,8,,Malbec,,,2016,,,,,,
77,9.00%,Sunstone,Screw Cap,Australia,Luscious Fruity Red,$7.60 in any six,$45.60 per case of 6,$7.99 per bottle,,750mL,5.3,,,,Sweet,Non Vintage,,,,,,
78,13.5,Wood Park,Screw Cap,Australia,Monument Lane Cabernet Sauvignon Shiraz 2013,$28.00 per bottle,$168.00 per case of 6,,King Valley,750ml,8.0,,Cabernet Sauvignon a,,,,,,,,,
79,13.4,Fowles Wines,Screw Cap,Australia,Ladies Who Shoot Their Lunch Pinot Noir,$34.95 per bottle,$209.70 per case of 6,Dry Red,Strathbogie Ranges,750mL,7.9,WNE,Pinot Noir,Light Bodied,Dry,Screw Cap,Ranked 159 of 218 Pinot Noir from Victoria,,,,,
80,14.0,A.Retief,Screw Cap,Australia,The Cabernets 2010,$265.00 per case of 12,Dry Red,,Hilltops,750mL,8.3,WNE,Cabernet Sauvignon P,,Dry,Screw Cap,,,,,,
81,11.5,A.Retief,Screw Cap,Australia,Gundagai Shiraz 2012,$265.00 per case of 12,Dry Red,,Gundagai,750mL,6.8,WNE,Shiraz,Full Bodied,Dry,Screw Cap,,,,,,
82,13.4,Fowles Wines,Screw Cap,Australia,Ladies Who Shoot Their Lunch Pinot Noir,$34.95 per bottle,$209.70 per case of 6,Dry Red,Strathbogie Ranges,750mL,7.9,WNE,Pinot Noir,Light Bodied,Dry,Screw Cap,Ranked 159 of 218 Pinot Noir from Victoria,,,,,
83,14.0,Jim Barry Wines,Screw Cap,Australia,The Barry Bros Shiraz Cabernet Sauvignon 2013 Magnum 1.5L,$45.00 per bottle,,,Clare Valley,1.5L,16.6,,Shiraz Cabernet Sauv,Full Bodied,Dry,,,,,,,
84,14.5,Kalleske,Screw Cap,Australia,2015 Biodynamic Barrel Project Shiraz 3-pack,$150.00 per pack,,,Barossa Valley,750mL,8.6,,Shiraz,Full Bodied,Dry,,,,,,true,true
85,13.0,A.Retief,Screw Cap,Australia,Hilltops Petit Verdot 2013,$420.00 per case of 12,Dry Red,,Hilltops,750mL,7.7,WNE,Petit Verdot,,Dry,Screw Cap,,,,,,
86,14.0,Jim Barry Wines,Screw Cap,Australia,The Barry Bros Shiraz Cabernet Sauvignon 2013 Magnum 1.5L,$45.00 per bottle,,,Clare Valley,1.5L,16.6,,Shiraz Cabernet Sauv,Full Bodied,Dry,,,,,,,
87,14.0% (2008),Harewood Estate,Screw Cap,Australia,Cabernet Sauvignon,$17.90 in any six,$214.80 per case of 12,$17.90 per bottle,Great Southern,750mL,8.3 (2008),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,2008*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 34 of 64 Cabernet Sauvignon from South West Australia,,,,
88,145,Taylors Wines,Screw Cap,Australia,TWP Cabernet Sauvignon 2017,$25.00 per bottle,$150.00 per case of 6,,Clare Valley,750mL,7.8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,
89,14.5,Farrah Estate Reserv,Screw Cap,Australia,Farrah Estate Reserve McLaren Vale Shiraz 2014,$24.99 per bottle,$299.88 per case of 12,,"McLaren Vale, SA",750ml,8.6,,Shiraz,Full Bodied,,,,,,,,
90,14.0% (2008),Harewood Estate,Screw Cap,Australia,Cabernet Sauvignon,$17.90 in any six,$214.80 per case of 12,$17.90 per bottle,Great Southern,750mL,8.3 (2008),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,2008*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 34 of 64 Cabernet Sauvignon from South West Australia,,,,
91,15.5,Partisan,Screw Cap,Australia,Single Vineyard Oliver's Road Grenache,$79.74 per case of 6,Dry Red,,South Australia,750mL,9.2,South Australia,Grenache,Medium Bodied,Dry,Screw Cap,,,,,,
92,14.5,Farrah Estate Reserv,Screw Cap,Australia,Farrah Estate Reserve McLaren Vale Shiraz 2014,$24.99 per bottle,$299.88 per case of 12,,"McLaren Vale, SA",750ml,8.6,,Shiraz,Full Bodied,,,,,,,,
93,13.5,Paxton,Screw Cap,Australia,Paxton The Guesser Red,$17.50 per bottle,$210.00 per case of 6,Dry Red,McLaren Vale,750mL,8,WNE,"Shiraz, Grenache, Ca",,Shiraz Blends,Screw Cap,,,,,true,
94,13.2%,Sirromet,Screw Cap,Australia,Vineyard Selection Cabernet Sauvignon,$15.19 in any six,$90.19 per case of 6,$15.99 per bottle,Granite Belt,750mL,7.8,Queensland,Cabernet Sauvignon,Full Bodied,Dry,2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
95,14.0 and 1,Cradle,Screw Cap,Australia,Cradle Gift Pack,$69.00 per pack,Dry Red,,New South Wales,B,8.3 and 8.,South Australia,Cabernet Sauvignon a,,,Screw Cap,,,,,,
96,13.5,Helen & Joey Estate,Screw Cap,Australia,Layla Pinot Noir 2015,$30.00 per bottle,$180.00 per case of 6,,Yarra Valley,750mL,8.0,,Pinot Noir,Light Bodied,Dry,2015,,,,,,
97,14.80%,St Hugo,Screw Cap,Australia,Shiraz Cabernet 2010,$55.99 per bottle,$319.20 per case of 6,$53.20 in any six,Barossa Valley,750mL,8.8,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,,,,,
98,14.0% (2010),Redbank,Cork,Australia,Sally's Paddock,$57.00 in any six,$342.00 per case of 6,$57.99 per bottle,Pyrenees,750mL,8.3 (2010),Victoria,Red Blend,,Dry,2010*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 4 of 23 Cabernet Sauvignon from Victoria,Excellent,,,
99,13.5,Helen & Joey Estate,Screw Cap,Australia,Layla Pinot Noir 2015,$30.00 per bottle,$180.00 per case of 6,,Yarra Valley,750mL,8.0,,Pinot Noir,Light Bodied,Dry,2015,,,,,,
100,13.00%,Seppelt,Cork,Australia,St Peters Great Western Shiraz 2000,$147.30 in any six,$883.80 per case of 6,$154.99 per bottle,Grampians,750mL,7.7,Victoria,Shiraz,Full Bodied,Dry,2000,,,Outstanding,,,
101,15.0% (2004),Saltram,Cork,Australia,The Eighth Maker Shiraz,$180.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 15 of 64 Shiraz from Barossa Valley,Barossa Valley,750mL,8.9 (2004),South Australia,Shiraz,Full Bodied,Dry,2004*,,,,,,
102,14.0% (Non Vintage),Hardys,Screw Cap,Australia,Oomoo Cabernet Sauvignon,$11.88 in any six,$71.28 per case of 6,$11.88 per bottle,,750mL,8.3 (Non Vintage),South Australia,Cabernet Sauvignon,Full Bodied,Dry,Non Vintage*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
103,12.50%,Mount Mary,Cork,Australia,Quintet 1988,$249.99 per bottle,,,Yarra Valley,750mL,7.4,Victoria,Cabernet Blends,,Dry,1988,,,Exceptional,,,
104,14.50%,Barossa Valley Estate,Cork,Australia,E & E Black Pepper Shiraz 1997,$147.99 per bottle,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,1997,,,Outstanding,,,
105,14.50%,d'Arenberg,Cork,Australia,The Dead Arm Shiraz 1998,$135.00 per bottle,,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,1998,,,Outstanding,,,
106,14.00%,Grant Burge,Cork,Australia,Meshach Shiraz 1994,$193.99 per bottle,Ranked 3 of 20 Shiraz from Australia,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,1994,,,Outstanding,,,
107,14.50%,Elderton,Cork,Australia,Command Shiraz 2002,$118.80 in any six,$712.80 per case of 6,$124.99 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,2002,,,Excellent,,,
108,14.10%,Henschke,Cork,Australia,Cyril Henschke  Cabernet Sauvignon 1998,$249.99 per bottle,,,Eden Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,1998,,,Outstanding,,,
109,14.30%,Henschke,Cork,Australia,Cyril Henschke Cabernet Sauvignon 1999,$169.99 per bottle,,,Eden Valley,750mL,8.5,South Australia,Cabernet Sauvignon,Full Bodied,Dry,1999,,,Outstanding,,,
110,13.70%,Henschke,Cork,Australia,Hill of Grace Shiraz 1988,,,,Eden Valley,750mL,8.1,South Australia,Shiraz,Full Bodied,Dry,1988,,,Exceptional,,,
111,14.00%,Henschke,,Australia,Hill of Grace Shiraz 1998 6L,Ranked 1 of 21 Shiraz from South Australia,,,Eden Valley,6L,66.3,South Australia,Shiraz,Full Bodied,Dry,1998,,,Exceptional,,,
