,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Size,Standard Drinks,Varietal,Wine Style,Langtons Classified,Region,State,Wine Body,Price Option 3,Price Option 4,Price Option 5,Organic,Vegan Friendly
46,14.0%,Grant Burge,Screw Cap,Australia,2016*,Winemakers Selection Merlot,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,750mL,8.3,Merlot,Dry,,Barossa Valley,South Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
47,13.0% (2015),Stefano Lubiana,Screw Cap,Australia,2015*,Pinot Noir,$49.39 in any six,$296.34 per case of 6,$51.99 per bottle,750mL,7.7 (2015),Pinot Noir,Dry,,Southern Tasmania,Tasmania,Light Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
48,13%,Nepenthe,Screw Cap,Australia,2017,Pinot Noir,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,750mL,7.7,Pinot Noir,Dry,,Adelaide Hills,South Australia,Light Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
49,13.5%,Red Claw,Screw Cap,Australia,2017*,Pinot Noir,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,750mL,8.0,Pinot Noir,Dry,,Mornington Peninsula,Victoria,Light Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 23 Pinot Noir from Mornington Peninsula,,,
50,15.5%,Glaetzer,Cork,Australia,2016*,AMON-Ra Shiraz,$92.99 per bottle,$525.00 per case of 6,$88.40 in any six,750mL,9.2,Shiraz,Dry,Outstanding,Barossa Valley,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 19 of 135 Shiraz from Barossa Valley,,,
51,14.5%,Parker Coonawarra Estate,Screw Cap,Australia,2013*,95 Block Cabernet Sauvignon,$71.25 in any six,$427.50 per case of 6,$74.99 per bottle,750mL,8.6,Cabernet Sauvignon,Dry,,Coonawarra,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 63 Cabernet Sauvignon from South Australia,,,
52,14.5%,Langmeil,Screw Cap,Australia,2017*,Three Gardens Shiraz Mourvèdre Grenache,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,750mL,8.6,Shiraz Grenache Mourvèdre,Dry,,Barossa Valley,South Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,true
53,13%,Yalumba,Cask Closure,Australia,Non Vintage*,Premium Merlot Cask 2L,$12.99 per cask,$74.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2L,21.0,Merlot,Dry,,,South Australia,,,,,,true
54,5%,Warburn,Screw Cap,Australia,2017*,Rumours Pink Moscato,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,750mL,3.0,Moscato,Semi Sweet,,,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
55,14%,Robert Oatley,Screw Cap,Australia,2016*,Signature Series Shiraz,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,750mL,8.3,Shiraz,Dry,,McLaren Vale,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 55 of 107 Shiraz from McLaren Vale,,,
56,13.0% (2016),Gossips,Screw Cap,Australia,2016*,Shiraz Cabernet,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,750mL,7.7 (2016),Shiraz Cabernet,Dry,,,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
57,14.5%,Peter Lehmann,Screw Cap,Australia,2013*,Stonewell Shiraz,$75.99 in any six,$455.94 per case of 6,$79.99 per bottle,750mL,8.6,Shiraz,Dry,Outstanding,Barossa Valley,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 4 of 153 Shiraz from Barossa Valley,,,
58,14.5,Cat Amongst The Pigeons,Screw Cap,Australia,2017*,Barossa Grenache Shiraz Mataró,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,750mL,8.6,Grenache Shiraz Mataro,,,Barossa,Western Australia,,Awards: Winner Blue Gold at the Sydney International Wine Competition,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
59,12.0%,Airlie Bank,Screw Cap,Australia,2018*,Pinot Noir,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,750mL,7.1,Pinot Noir,Dry,,Yarra Valley,Victoria,Light Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
60,14%,Taltarni,,Australia,2014*,Cabernet Sauvignon,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,750mL,8.6,Cabernet Sauvignon,Dry,,Pyrenees,Victoria,Full Bodied,"Awards: 4 Gold Medals - Melbourne International Wine Show 2015, Royal Adelaide Wine Show 2015, Perth Royal Wine Show 2015, Le Concours Des Vins Wine Show 2015, Silver Medal - Victorian Royal Wine Show 2015","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 4 of 25 Cabernet Sauvignon from Victoria,,
61,12.5% (2016),Gossips,Screw Cap,Australia,2016*,Rosé,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,750mL,7.4 (2016),,Dry,,,New South Wales,Light Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
62,13.50%,Wynns,Screw Cap,Australia,,Coonawarra Shiraz 2011,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,750mL,8,Shiraz,Dry,,Coonawarra,South Australia,,,,,,
63,14.5%,Evans & Tate,Screw Cap,Australia,2016*,Classic Margaret River Shiraz,$13.25 in any six,$79.50 per case of 6,$13.95 per bottle,750mL,8.6,Shiraz Cabernet Merlot,Dry,,Margaret River,Western Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
64,14.5% (2015),Majella,Screw Cap,Australia,2015*,The Musician Cabernet Shiraz,$18.99 per bottle,$217.20 per case of 12,$18.10 in any six,750mL,8.6 (2015),Cabernet Shiraz,Dry,,Coonawarra,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 30 of 43 Cabernet Sauvignon from South Australia,,,
65,13.0% (2016),Warburn,Screw Cap,Australia,2016*,Rumours Merlot,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,750mL,7.7 (2016),Merlot,Dry,,,,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
66,14.0%,Katnook Estate,Cork,Australia,2006,Odyssey Cabernet Sauvignon 2006,$119.99 per bottle,,,750mL,8.3,Cabernet Sauvignon,Dry,Outstanding,Coonawarra,South Australia,Full Bodied,,,,,
67,14.0%,Grant Burge,Cork,Australia,2014,The Holy Trinity Grenache Shiraz Mourvèdre,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,750mL,8.3,Grenache Shiraz Mourvèdre,Dry,,Barossa Valley,South Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 26 Grenache from Barossa Valley,,,
68,14.5%,Annie's Lane,Screw Cap,Australia,2012,Coppertrail Shiraz 2012,$80.80 in any six,$484.80 per case of 6,$84.99 per bottle,750mL,8.6,Shiraz,,,Clare Valley,South Australia,,,,,,
69,14.0%,Bleasdale,Screw Cap,Australia,2015*,Frank Potts Cabernet Blend,$26.59 in any six,$159.54 per case of 6,$27.99 per bottle,750mL,8.3,Cabernet Malbec,Dry,,Langhorne Creek,South Australia,,"Awards: Top Gold 2016 Royal Adelaide Wine Show, Gold 2017 Langhorne Creek Wine Show","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 38 of 43 Cabernet Sauvignon from South Australia,,
70,13.5%,Lindeman's,Screw Cap,Australia,2017*,Bin 40 Merlot,$6.60 in any six,$39.60 per case of 6,$6.95 per bottle,750mL,8.0,Merlot,Dry,,,,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
71,14.5%,Pertaringa,Screw Cap,Australia,2016*,Undercover Shiraz,$18.99 in any six,$113.94 per case of 6,$19.99 per bottle,750mL,8.6,Shiraz,Dry,,McLaren Vale,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 10 of 107 Shiraz from McLaren Vale,,,
72,14%,Brand's Laira,Screw Cap,Australia,2014*,The Clipper Cabernet Sauvignon,$15.99 per bottle,$91.20 per case of 6,$15.20 in any six,750mL,8.3,Cabernet Sauvignon,Dry,,Coonawarra,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
73,14.9%,Secret Selection,Screw Cap,Australia,2014,Single Vineyard Barossa Valley Shiraz 2014,Online Offer$27.90 per bottle,$48.99 in any six,$293.94 per case of 6,750mL,8.8,Shiraz,Dry,,Barossa Valley,South Australia,,$48.99 per bottle,,,,
74,14%,Gemtree,Screw Cap,Australia,2016,Dragon's Blood Shiraz,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,750mL,8.3,Shiraz,Dry,,McLaren Vale,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
75,13%,Margan,Screw Cap,Australia,2012,Shiraz 2012,$33.30 in any six,$399.60 per case of 12,$34.99 per bottle,750mL,7.7,Shiraz,,,Hunter Valley,New South Wales,,,,,,
76,13.6%,Wynns,Screw Cap,Australia,2016*,Black Label Shiraz,$32.30 in any six,$193.80 per case of 6,$33.99 per bottle,750mL,8.0,Shiraz,Dry,,Coonawarra,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
77,14.5%,Kirrihill,Screw Cap,Australia,2016*,Regional Range Cabernet Sauvignon,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,750mL,8.6,Cabernet Sauvignon,Dry,,Clare Valley,South Australia,Full Bodied,"Awards: Gold Medal - Melbourne International Wine Competition 2016, Silver Medal - Royal Adelaide Wine Show 2016 & NZ International Wine Show 2016 & Royal Queensland Wine Show 2016","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
78,14.5%,Kaesler,Cork,Australia,2016*,The Bogan Shiraz,$52.30 in any six,$627.60 per case of 12,$54.99 per bottle,750mL,8.6,Shiraz,Dry,,Barossa Valley,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
79,13.8%,Redman,Cork,Australia,2012*,Shiraz,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,750mL,8.2,Shiraz,Dry,,Coonawarra,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 14 of 24 Shiraz from Coonawarra,,,
80,13.9%,Pepper Tree,Screw Cap,Australia,2015*,Merlot,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,750mL,8.2,Merlot,Dry,,Wrattonbully,South Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
81,13.5%,Woodlands,Screw Cap,Australia,2015*,Margaret Cabernet Sauvignon Merlot,$52.30 in any six,$627.60 per case of 12,$54.99 per bottle,750mL,8.0,Cabernet Merlot,Dry,Outstanding,Margaret River,Western Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 24 Cabernet Sauvignon from Margaret River,,,
