,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Size,Standard Drinks,Varietal,Wine Style,Langtons Classified,Region,State,Wine Body,Price Option 3,Price Option 4,Price Option 5,Organic,Vegan Friendly
108,14.5%,Lake Breeze,Screw Cap,Australia,2015*,Bernoota Shiraz Cabernet,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,750mL,8.6,Shiraz Cabernet,Dry,,Langhorne Creek,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 19 Shiraz from Fleurieu,,,
109,13.0% (2016),Warburn,Screw Cap,Australia,2016*,Rumours Shiraz,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,750mL,7.7 (2016),Shiraz,Dry,,,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
110,14.5%,Kellermeister,Cork,Australia,2015*,Wild Witch Shiraz,$66.50 in any six,$399.00 per case of 6,$69.99 per bottle,750mL,8.6,Shiraz,Dry,,Barossa Valley,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
111,13.5%,Woodlands,Screw Cap,Australia,2016*,Cabernet Merlot,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,750mL,8.0,Cabernet Merlot,Dry,,Margaret River,Western Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
112,14.60%,Jim Barry,Cork,Australia,2010,The Armagh Shiraz 2010,$361.00 in any six,"$2,166.00 per case of 6",$380.00 per bottle,750mL,8.6,Shiraz,Dry,Exceptional,Clare Valley,South Australia,Full Bodied,Ranked 2 of 33 Shiraz from Clare Valley,,,,
113,14.5%,Glaetzer,Screw Cap,Australia,2016*,Wallace Shiraz Grenache,$19.00 in any six,$112.80 per case of 6,$19.99 per bottle,750mL,8.6,Shiraz Grenache,Dry,,Barossa Valley,South Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 15 Shiraz from Barossa Valley,,,
114,14.5%,Woods Crampton,Screw Cap,Australia,2017*,Barossa Valley Shiraz,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,750mL,8.6,Shiraz,Dry,,Barossa Valley,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
115,14.5%,St Hallett,Screw Cap,Australia,2014*,Sacred Ground Shiraz,$47.49 in any six,$281.95 per case of 6,$49.99 per bottle,750mL,8.6,Shiraz,Dry,,Barossa,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
116,14.5%,Penfolds,Screw Cap,Australia,2015*,Kalimna Bin 28 Shiraz 2015,$37.00 in any six,$222.00 per case of 6,$38.99 per bottle,750mL,8.6,Shiraz,Dry,Excellent,Barossa,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 135 Shiraz from Barossa Valley,,,
117,14.5%,Wirra Wirra,Screw Cap,Australia,2015*,RSW Shiraz,$56.05 in any six,$336.30 per case of 6,$58.99 per bottle,750mL,8.6,Shiraz,Dry,Excellent,McLaren Vale,South Australia,Full Bodied,"Awards: Gold - 2016 Royal Melbourne Wine Awards (2014 Vintage), Gold - Visy Great Australian Shiraz Challenge 2012","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 22 of 95 Shiraz from McLaren Vale,,
118,14.5%,De Bortoli,Screw Cap,Australia,2015*,Deen Vat 9 Cabernet Sauvignon,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,750mL,8.6,Cabernet Sauvignon,Dry,,,New South Wales,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
119,14.9%,Tyrrell's,Screw Cap,Australia,2016*,Rufus Stone Heathcote Shiraz,$19.99 per bottle,$113.94 per case of 6,$18.99 in any six,750mL,8.8,Shiraz,Dry,,Heathcote,Victoria,Full Bodied,Awards: Gold Medal - Melbourne Wine Show 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 11 of 16 Shiraz from Heathcote,,
