,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Langtons Classified,Price Option 5,Vegan Friendly,Organic
60,15.0% (2011),Teusner,Cork,Australia,2011*,Righteous Grenache,$85.49 in any six,$512.94 per case of 6,$89.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.9 (2011),South Australia,Grenache,Medium Bodied,Dry,Ranked 1 of 17 Grenache from Barossa Valley,,,,
61,14.5%,Mitchell,Screw Cap,Australia,2010*,Seven Hill Cabernet Sauvignon,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 1 of 21 Cabernet Sauvignon from Mount Lofty Ranges,,,,
62,13.4,Mr Smith,Cork,Australia,2013,Mr Smith Reserve Shiraz 2013,$44.99 per bottle,$269.94 per case of 6,Dry Red,,South Australia,750mL,7.9,South Australia,Shiraz,Full Bodied,Shiraz,,,,,
63,14.5%,Heathcote Winery,Screw Cap,Australia,2016*,Mail Coach Shiraz,$29.45 in any six,$176.70 per case of 6,$30.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,,,,
64,14.5%,Hare's Chase,Cork,Australia,2016,Ironscraper Shiraz 2016,$33.50 in any six,$210.00 per case of 6,$34.99 per bottle,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
65,14.5%,Kaesler,Cork,Australia,2016*,Cabernet Sauvignon,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
66,13.5% (2013),Gembrook Hill,Cork,Australia,2013*,Pinot Noir,$52.30 in any six,$627.60 per case of 12,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8 (2013),Victoria,Pinot Noir,Light Bodied,Dry,Ranked 3 of 85 Pinot Noir from Yarra Valley,,,,
67,14.5%,Kangarilla Road,Screw Cap,Australia,2016,The Side Road McLaren Vale Shiraz 2016,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,,McLaren Vale,750mL,8.6,South Australia,Shiraz,,,,,,,
68,13.5% (2015),Wow What A,Screw Cap,Australia,2015*,Shiraz,$6.00 in any six,$36.00 per case of 6,$6.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8 (2015),,Shiraz,Full Bodied,Dry,,,,,
69,12.5% (2016),Lark Hill,Screw Cap,Australia,2016*,Biodynamic Sangiovese,$28.49 in any six,$341.88 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,7.4 (2016),Australian Capital Territory,Sangiovese,Medium Bodied,Dry,,,,,
