,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Langtons Classified,Price Option 5,Vegan Friendly,Organic
0,14.5%,Brothers in Arms,Screw Cap,Australia,2014*,No. 6 Shiraz Cabernet,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
1,14%,Hollick,Screw Cap,Australia,2016,Cabernet Sauvignon,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
2,13%,Punt Road,,Australia,2017*,Cabernet Sauvignon,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,,,
3,14.2% (2014),Mad Dog,Cork,Australia,2014*,Shiraz,$26.59 in any six,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,,
4,13.50%,Renmano,Cask Closure,Australia,Non Vintage,Shiraz Cabernet Cask 2L,$8.99 each,$51.30 per case of 6,,,,2L,21.3,,Shiraz Cabernet,,Dry,,,,,
5,14.0%,Mount Majura,Screw Cap,Australia,2016,Shiraz,$23.70 in any six,$284.40 per case of 12,$24.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,8.3,Australian Capital Territory,Shiraz,Full Bodied,Dry,Ranked 338 of 555 Shiraz from Australia,,,,
6,14.00%,Seppelt,Screw Cap,Australia,,St Peters Great Western Shiraz 2008,$69.99 per bottle,$399.00 per case of 6,$66.50 in any six,Ranked 3 of 16 Shiraz from Grampians,Grampians,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,Outstanding,,,
7,14%,Best's Great Western,Screw Cap,Australia,2012,Bin 0 Shiraz 2012,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,Ranked 5 of 15 Shiraz from Grampians,Grampians,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,,,,
8,14.5% (2014),Nosey Parker,Screw Cap,Australia,2014*,Shiraz,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,,
9,14.5%,Brothers In Arms,Cork,Australia,2012*,Shiraz,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
10,14.5%,Saltram,Screw Cap,Australia,2014*,No. 1 Shiraz,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,Awards: Gold Medal - Melbourne 2017,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 4 of 117 Shiraz from Barossa Valley,,
11,,,,,,Unknown,,,,,,,,,,,,,,,,
12,14%,Shingleback,Screw Cap,Australia,2017,Red Knot Classified Shiraz,$18.10 in any six,$107.40 per case of 6,$18.99 per bottle,"Awards: GOLD MEDAL: 
2018 China Wine & Spirits Awards, Hong Kong
Shiraz of the Year 2017 and Runner-Up Wine of the Year 2017 - Winestate Magazine, Gold Medal - 2017 Royal Queensland Wine Show, class 36, Gold Medal - 2017 China Wine & Spirits Awards, Hong Kong",McLaren Vale,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
13,15.5% (2010),Kaesler,Cork,Australia,2010*,Old Vine Shiraz,$73.20 in any six,$439.20 per case of 6,$76.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,9.2 (2010),South Australia,Shiraz,Full Bodied,Dry,Ranked 70 of 141 Shiraz from Barossa Valley,,,,
14,14.5%,St Johns Road,Screw Cap,Australia,2017,The Resilient Grenache,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa  Valley,750mL,8.6,South Australia,Grenache,,,,,,,
15,14.5% (2016),Mountadam,Screw Cap,Australia,2016*,Barossa Shiraz,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,,
16,13.0% (2014),Graillot,Screw Cap,Australia,2014*,The Graillot Project Syrah No.2 Shiraz,$30.39 in any six,$182.34 per case of 6,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,7.7 (2014),Victoria,Syrah,Full Bodied,Dry,,,,,
17,13.5%,Brookland Valley Estate,Screw Cap,Australia,2012*,Cabernet Sauvignon Merlot,$30.30 in any six,$181.80 per case of 6,$31.90 per bottle,Awards: Gold Medal - Sydney Royal Wine Show 2016 and Royal Queensland Wine Show 2016 and Royal Melbourne Wine Show 2016,Margaret River,750mL,8.0,Western Australia,Cabernet Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
18,14.50%,Grant Burge,Cork,Australia,2008,Meshach Shiraz 2008,$150.10 in any six,$900.60 per case of 6,$157.99 per bottle,Ranked 74 of 114 Shiraz from Barossa Valley,Barossa,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Outstanding,,,
19,13%,Bannockburn,Cork,Australia,2013*,Serre Pinot Noir,$94.99 in any six,$569.94 per case of 6,$99.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,Ranked 11 of 25 Pinot Noir from Geelong,Excellent,,,
20,14,Lenton Brae,Screw Cap,Australia,,Cabernet Merlot 2016,$25.00 per bottle,$150.00 per case of 6,Ranked 11 of 24 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,,,,,,
21,14.00%,Katnook Estate,Screw Cap,Australia,2005,Odyssey Cabernet Sauvignon 2005,$99.99 per bottle,Ranked 23 of 34 Cabernet Sauvignon from Coonawarra,,,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Outstanding,,,
22,14.50%,Torbreck,Cork,Australia,2005,RunRig Shiraz 2005,$299.99 per bottle,Ranked 19 of 24 Shiraz from Barossa Valley,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Exceptional,,,
23,13.50%,Dalwhinnie,Screw Cap,Australia,2010,Moonambel Shiraz 2010,$74.99 per bottle,$71.30 in any six,Ranked 3 of 27 Shiraz from Western Victoria,,Pyrenees,750mL,8,Victoria,Shiraz,Full Bodied,Dry,,Excellent,,,
24,14.0%,Yalumba,Cork,Australia,2015*,The Octavius Shiraz,$94.99 in any six,$570.00 per case of 6,$99.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Ranked 116 of 135 Shiraz from Barossa Valley,Outstanding,,true,
25,13.5%,First Drop,Screw Cap,Australia,2016*,Mother's Ruin Cabernet Sauvignon,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 17 of 28 Cabernet Sauvignon from McLaren Vale,,McLaren Vale,750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
26,8.6% (2013),Byron & Harold,Screw Cap,Australia,2013*,Wandering Lane Shiraz,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Great Southern,750mL,14.0 (2013),Western Australia,Shiraz,Full Bodied,Dry,,,,,
27,12.5%,Warburn,Screw Cap,Australia,2017*,Rumours Shiraz Cabernet,$4.75 in any six,$28.50 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4,,Shiraz,Full Bodied,Dry,,,,,
28,14.50%,Penley Estate,Screw Cap,Australia,,Hyland Shiraz 2012,$24.70 in any six,$148.20 per case of 6,$25.99 per bottle,,Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
29,14.5%,Mitolo,Screw Cap,Australia,2015*,Jester Cabernet Sauvignon,$20.89 in any six,$125.34 per case of 6,$21.99 per bottle,Awards: Silver Medal - Amcor McLaren Vale Wine Show 2013,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 8 of 27 Cabernet Sauvignon from McLaren Vale,,
30,14.5,Craftsman,Screw Cap,Australia,2016*,Cabernet Sauvignon,$6.65 in any six,$39.90 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
31,14.5%,Stella Bella,Screw Cap,Australia,2016*,Shiraz,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,Awards: Gold - Decanter World Wine Awards 2011,Margaret River,750mL,8.6,Western Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
32,14.0% (2016),Red Hill Estate,Screw Cap,Australia,2016*,Heathcote Shiraz,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.3 (2016),Victoria,Shiraz,Full Bodied,Dry,,,,,
33,14.4%,Irvine,Screw Cap,Australia,2016*,Springhill Merlot,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,8.5,South Australia,Merlot,Medium Bodied,Dry,,,,,
34,14%,Serafino,Screw Cap,Australia,2016*,Cabernet Sauvignon,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 4 of 22 Cabernet Sauvignon from McLaren Vale,,,,
35,14.0%,Clonakilla,*,Australia,,Shiraz Viognier 2010,$145.00 per bottle,Ranked 5 of 123 Shiraz from Australia,,,Canberra District,750mL,8.3,Australian Capital Territory,Shiraz Viognier,,Dry,,Exceptional,,,
36,13.5% (2014),Giant Steps,Screw Cap,Australia,2014*,Sexton Vineyard Pinot Noir,$56.10 in any six,$336.60 per case of 6,$58.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8 (2014),Victoria,Pinot Noir,Light Bodied,Dry,,,,,
37,13.5%,Five Stones,Screw Cap,Australia,2015*,Cabernet Merlot,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,,Cabernet Merlot,Medium Bodied,,,,,,
38,13.50%,Renmano,Cask Closure,Australia,Non Vintage,Cabernet Merlot Cask 2L,$8.99 each,$51.30 per case of 6,,,,2L,21,South Australia,Cabernet Merlot,,Dry,,,,,
39,14.5% (2016),Head,Screw Cap,Australia,2016,Red Shiraz 2016,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
40,13.0%,Woodcutters,Screw Cap,Australia,2018*,Rosé,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,7.7,South Australia,Mataro,Light Bodied,Dry,,,,,
41,12.50%,Wynns,Screw Cap,Australia,,V&A Lane Shiraz 2013,$49.99 per bottle,$285.00 per case of 6,$47.50 in any six,Ranked 5 of 20 Shiraz from Coonawarra,Coonawarra,750mL,7.4,South Australia,Shiraz,Full Bodied,Dry,,,,,
42,13.2% (2016),Mount Mary,Cork,Australia,2016*,Quintet,$142.50 in any six,$855.00 per case of 6,$149.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2016),Victoria,Red Blend,,Dry,,Exceptional,,,
43,13.8%,Philip Shaw,Screw Cap,Australia,2015*,No.17 Merlot Cabernet Sauvignon,$22.80 in any six,$129.69 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Orange,750mL,8.2,New South Wales,Cabernet Merlot,Medium Bodied,Dry,,,,,
