,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly
30,14%,Taylors,Screw Cap,Australia,2014,Estate Shiraz 2014,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"Awards: Perth Royal Wine Show 2015Trophy 
Great Australian Shiraz Challenge 2015Trophy 
Great Australian Shiraz Challenge 2015Trophy 
China Wine & Spirits Awards Best Value 2016Double Gold 
New York World Wine & Spirits Competition 2015Double Gold 
Perth Royal Wine Show 2015Gold 
San Francisco International Wine Competition 2015Gold 
Japan Wine Challenge 2015Gold 
awc Vienna International Wine Challenge 2015Gold 
World Value Wine Challenge BTI 2015Gold 
Selections Mondial Des Vins CANADA 2015Gold 
World Wine Championships Awards BTI 2015Gold 
Great Australian Shiraz Challenge 2015Gold 
Global Syrah Masters 2015Gold 
Clare Valley Regional Wine Show 2015Gold 
TERRAVINO Mediterranean International Wine & Spirit Challenge 2015 Gold",Clare Valley,750mL,8.3,South Australia,Shiraz,,,,,,
31,14.5%,Penfolds,Cork,Australia,2012*,Kalimna Bin 28 Shiraz 2012,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
32,,,,,,Unknown,,,,,,,,,,,,,,,
33,13.6%,Wynns,Screw Cap,Australia,2016,Cabernet Shiraz Merlot,$10.95 in any six,$65.70 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8,South Australia,Cabernet Shiraz Merlot,,Dry,Ranked 16 of 30 Cabernet Sauvignon from South Australia,,,
34,,,,,,Unknown,,,,,,,,,,,,,,,
35,14%,Seppelt,Screw Cap,Australia,2017*,One Mile Drive Shiraz,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.3,Victoria,Shiraz,,,Ranked 25 of 41 Shiraz from Victoria,,,
36,14.5%,Secret Selection,Screw Cap,Australia,2017,McLaren Vale Shiraz 2017,Online Offer$10.90 per bottle,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,,Dry,,,,
37,13.3%,Secret Selection,Screw Cap,Australia,2017*,Adelaide Hills Pinot Noir Rosé 2017,Online Offer$9.90 per bottle,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,Adelaide Hills,750mL,7.8,South Australia,Rosé,,,,,,
38,14.5%,Penfolds,Screw Cap,Australia,,RWT Shiraz 2016,$140.60 in any six,$843.60 per case of 6,$147.99 per bottle,,Barossa Valley,750mL,8.6,,Shiraz,,,,,,
39,14%,Jacob's Creek,Screw Cap,Australia,2013,Double Barrel Cabernet Sauvignon 2013,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,,,,,,
40,13.4%,Wynns,Screw Cap,Australia,2017*,Shiraz,$17.09 in any six,$102.54 per case of 6,$16.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,7.9,South Australia,Shiraz,Full Bodied,Dry,,,,
41,13.8%,Sepp. No 5,,Australia,2017,Single Vineyard Adelaide Hills Pinot Noir 2017,Delivery Offer$14.90 per bottle,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,Adelaide Hills,750mL,8.2,South Australia,Pinot Noir,,,2017,,,
42,,,,,,Unknown,,,,,,,,,,,,,,,
43,14.9%,Mitolo,Screw Cap,Australia,2012,Jester Cabernet Sauvignon 2012,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,,McLaren Vale,750mL,8.8,South Australia,Cabernet Sauvignon,,,,,,
44,14.5%,Old Jarvie,,Australia,2017,The Enforcer Red Blend 2017,$29.99 per bottle,$179.95 per case of 6,,,McLaren Vale,750mL,8.6,South Australia,Shiraz Mataro Malbec,,,,,,
45,14.8%,Ironcloud,Screw Cap,Australia,2016,Rock of Solitude Cabernet Malbec 2016,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ferguson Valley,750mL,8.9,Western Australia,Cabernet Merlot,,,,,,
46,14.5%,Marley Farm,Screw Cap,Australia,2017,Adelaide Hills Shiraz 2017,$19.99 per bottle,$119.94 per case of 6,Awards: Gold Medal - 2018 CWSA (Hong Kong),,Adelaide Hills,750mL,8.3,South Australia,Shiraz,Medium Bodied,Dry,,,,
47,,,,,,Unknown,,,,,,,,,,,,,,,
48,14.5%,Old Jarvie,,Australia,2017,The Enforcer Red Blend 2017,$29.99 per bottle,$179.95 per case of 6,,,McLaren Vale,750mL,8.6,South Australia,Shiraz Mataro Malbec,,,,,,
49,14.5%,Rockcliffe,Screw Cap,Australia,2017,Third Reef Cabernet Sauvignon 2017,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,,,750mL,8.6,Western Australia,Cabernet Sauvignon,,,,,,
50,14.5%,Penfolds,Screw Cap,Australia,2010,St Henri Shiraz 2010,$213.80 in any six,"$1,282.80 per case of 6",$224.99 per bottle,"Awards: Decanter World Wine Awards, 2014: Commended",Barossa  Valley,750mL,8.6,South Australia,Shiraz,,,,,,
51,13.5%,Elysian Springs,Screw Cap,Australia,2016,Silent Waters Pinot Noir 2016,Delivery Offer$14.90 per bottle,$308.40 per case of 12,$26.99 per bottle,$25.70 in any six,Adelaide Hills,750mL,8.0,South Australia,Pinot Noir,Light Bodied,Dry,,,,
52,13%,Devil's Corner,Screw Cap,Australia,2017*,Pinot Noir,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,Awards: Gold Medal - Royal Adelaide Wine Show 2013,East Coast of Tasmania,750mL,7.7,Tasmania,Pinot Noir,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
53,14.5%,Annie's Lane,Screw Cap,Australia,2016*,Shiraz,$11.95 in any six,$59.70 per case of 6,$11.95 per bottle,Awards: Gold Medal - Royal Adelaide Wine Show 2014,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
54,14.5%,Penfolds,Screw Cap,Australia,2017*,Koonunga Hill Shiraz Cabernet,$10.95 in any six,$65.70 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,,
55,14.50%,Chapel Hill,Screw Cap,Australia,2016,The Vinedresser Cabernet Sauvignon 2016,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,Ranked 20 of 22 Cabernet Sauvignon from McLaren Vale,McLaren Vale,,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
56,13.0%,Lobethal Road,Screw Cap,Australia,,Tempranillo 2017 750mL,$299.40 per case of 12,$24.95 per bottle,"Awards: Bronze Medal, Adelaide Hills Wine Show 2018",,Adelaide Hills,750mL,7.7,South Australia,Tempranillo,Medium Bodied,Dry,,,,
57,14.5%,Peter Lehmann,Screw Cap,Australia,2016,The Barossan Shiraz,$18.80 per bottle,$107.40 per case of 6,$17.90 in any six,"Awards: 2018 China Wine and Spirit Awards – Gold
2019 Sydney International Top 100 – Blue Gold – Kemeny's Perpetual Trophy for Best Value Dry Red Table Wine of Competition",Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
58,14.5%,Penfolds,Cork,Australia,2013*,Grange 2013,$749.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 373 Shiraz from South Australia,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Exceptional,
59,13.50%,Hesketh,Screw Cap,Australia,2017,Small Parcels Rosé 2017,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,,,750mL,8,,"Mataro, Grenache, Tempranillo and Sangiovese",Light Bodied,Dry,,,,
60,14.5%,St Hallett,Screw Cap,Australia,2017*,Western Front Shiraz,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
61,14.5%,Toolangi,,Australia,2016*,Yarra Valley Shiraz 2016,$38.00 in any six,$456.00 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.6,Victoria,Shiraz,,,,,,
62,14.2%,Secret Selection,Screw Cap,Australia,2016,Beechworth Sangiovese Nebbiolo Blend 2016,Online Offer$13.90 per bottle,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,Beechworth,750mL,8.4,Victoria,,,,,,,
63,12.4%,Jacob's Creek,Screw Cap,Australia,2018*,Le Petit Rosé,$13.95 in any six,$83.70 per case of 6,$13.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.3,South Australia,Red Blend,Light Bodied,Dry,,,,
64,13.5% (2015),McWilliam's,Screw Cap,Australia,2015*,Bagtown Jack Red Blend,Member Offer$7.90 per bottle,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,,750mL,8 (2015),New South Wales,Red Blend,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
65,14.5%,Pepperjack,Screw Cap,Australia,2017*,Cabernet Sauvignon,$18.95 in any six,$113.70 per case of 6,$18.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
66,14%,Taylors,Screw Cap,Australia,2017*,Estate Shiraz,$13.25 in any six,$79.50 per case of 6,$13.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Ranked 21 of 35 Shiraz from Clare Valley,,,
67,14%,Penfolds,Screw Cap,Australia,2017*,Koonunga Hill Shiraz,$10.95 in any six,$65.70 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
68,13.2,Cradle,Screw Cap,Australia,2016,Cabernet Sauvignon 2016,Delivery Offer$99.00 per case of 6,$29.00 per bottle,$174.00 per case of 6,"Awards: Bronze Medal, Melbourne International Wine Competition, 2018",Hunter Valley,750mL,7.8,New South Wales,Cabernet Sauvignon,Full Bodied,Cabernet Sauvignon,Dry Red,,,
69,14.5%,Penfolds,Screw Cap,Australia,,Bin 28 Shiraz 2016,$36.90 in any six,$221.40 per case of 6,$38.90 per bottle,,"Barossa Valley, McLaren Vale, Padthaway, Upper Adelaide, Wrattonbully",750mL,8.6,South Australia,Shiraz,,,,,,
70,14.6%,Secret Selection,,Australia,,Western Australia Cabernet Shiraz 2017,Online Offer$9.90 per bottle,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,,750mL,8.7,Western Australia,Cabernet Shiraz,,,,,,
71,14%,Secret Selection,Screw Cap,Australia,2013,Margaret River Cabernet Sauvignon 2013,Online Offer$34.90 per bottle,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,,Dry,,,,
72,14.0%,Yarra Trail,Screw Cap,Australia,2013*,Yarra Valley Pinot Noir 2013,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.3,Victoria,Pinot Noir,,,,,,
73,,,,,,Unknown,,,,,,,,,,,,,,,
74,14%,Secret Selection,Screw Cap,Australia,2015,Western Australian Shiraz 2015,Online Offer$19.90 per bottle,$42.80 in any six,$256.80 per case of 6,$45.00 per bottle,Great Southern,750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,,,,
75,14.5%,Clarendon Hills,,Australia,2013,Hickinbotham Syrah 2013,$83.60 in any six,$501.60 per case of 6,$87.99 per bottle,,,750mL,8.6,South Australia,Syrah,,,,,,
76,14.5%,Penfolds,Screw Cap,Australia,2012,RWT Barossa Valley Shiraz 2012,$190.00 in any six,"$1,140.00 per case of 6",$199.99 per bottle,,Barossa  Valley,750mL,8.6,South Australia,Shiraz,,,,,Outstanding,
77,14%,Cookoothama,,Australia,2015,Darlington Point Shiraz 2015,Delivery Offer$10.50 per bottle,$14.30 in any six,$171.60 per case of 12,$14.99 per bottle,,750mL,8.3,New South Wales,Shiraz,Full Bodied,,"Awards: TROPHY - 2018 Perth Royal Wine Show 
~ Royal Agricultural Society of WA Trophy for Best Shiraz ~ 
TOP GOLD - 2018 Perth Royal Wine Show 
GOLD - 2018 National Wine Show of Australia 
GOLD - 2018 Royal Adelaide Wine Show 
GOLD - 2018 Royal Hobart Wine Show 
GOLD - 2018 Royal Queensland Food & Wine Show 
SILVER - 2018 Sydney Royal Wine Show 
SILVER - 2018 Riverina Wine Show (Open Classes)",,,
78,14.5%,Wirra Wirra,Screw Cap,Australia,2016*,Church Block Cabernet Sauvignon Shiraz Merlot,$15.15 in any six,$90.90 per case of 6,$15.95 per bottle,Awards: Gold Medal - Sélections Mondiales des Vins Canada Wine Competition 2016. Silver Medal - Sydney Royal Wine Show 2016.,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon Shiraz Merlot,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 30 Cabernet Sauvignon from South Australia,,
79,14.5%,Grant Burge,Cork,Australia,2010,Meshach Shiraz 2010,$171.00 in any six,"$1,026.00 per case of 6",$179.99 per bottle,"Awards: Decanter World Wine Awards, 2017: Bronze 
International Wine Challenge, 2017: Silver 
Hong Kong International Wine & Spirit Competition, 2016: Silver 
International Wine & Spirit Competition, 2016: Silver 
Hong Kong International Wine & Spirit Competition, 2015: Bronze",Barossa  Valley,750mL,8.6,South Australia,Shiraz,,,,,,
80,14.5%,Shingleback,,Australia,2015,Unedited Shiraz 2015,$75.10 in any six,$450.60 per case of 6,$78.99 per bottle,,McLaren Vale,750mL,8.6,South Australia,Shiraz,,,,,,
81,14.5%,Boisterous,Screw Cap,Australia,2017,Barossa Valley Shiraz 2017,Delivery Offer$150.00 for 2 cases,$27.50 per bottle,$162.00 per case of 6,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
82,14.8%,Sepp. No 5,,Australia,,Barossa Shiraz Grenache 2017,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,,Barossa Valley,750mL,8.8,South Australia,Shiraz Grenache,,,,,,
83,13.5%,Coldstream Hills,Screw Cap,Australia,2017*,Tasmania Pinot Noir,$20.80 in any six,$124.80 per case of 6,$21.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,Tasmania,Pinot Noir,Light Bodied,Dry,,,,
84,13.5%,Elephant In The Room,Screw Cap,Australia,2018*,Pinot Noir,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,South Australia,Pinot Noir,Light Bodied,Dry,,,,
85,14%,Secret Selection,Screw Cap,Australia,,Great Southern Shiraz Cabernet 2016,Online Offer$8.90 per bottle,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,Great Southern,750mL,8.6,Western Australia,Shiraz Cabernet,Full Bodied,Dry,,,,
86,14.5%,Cat Amongst The Pigeons,Screw Cap,Australia,2017*,Shiraz,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"Awards: Gold Medal - Japan Wine Challenge 2017, Silver Medal  -  Melbourne International Wine Show 2016, Silver Decanter Asia Wine Awards 2018 (2016 vintage)",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
87,14.0%,Red Knot,Screw Cap,Australia,2016,Shiraz,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"Awards: Gold Medal- 2017 Great Australian Shiraz Challenge, 2015 Vintage: Double Gold medal - China Wine & Spirit Awards Best Value 2016; Gold medal - Royal Hobart International Wine Show, class 23, 2016; Syrah du Monde, France 2017, 2017 Melbourne International ",McLaren Vale,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 62 of 107 Shiraz from McLaren Vale,,
88,10.5%,Mr Mick,Screw Cap,Australia,2018*,Rosé 750mL,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,Awards: 2018 Vintage was awarded Chair of Judges Trophy at the 24th Langton’s Clare Valley Regional Wine Show 2018,Clare Valley,750mL,6.2,South Australia,Rosé,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
89,14%,Secret Selection,Screw Cap,Australia,,Great Southern Shiraz Cabernet 2016,Online Offer$8.90 per bottle,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,Great Southern,750mL,8.6,Western Australia,Shiraz Cabernet,Full Bodied,Dry,,,,
90,15%,Torbreck,Screw Cap,Australia,2017*,Woodcutter's Shiraz,$23.99 per bottle,$136.80 per case of 6,$22.80 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,Ranked 20 of 32 Shiraz from Barossa Valley,,,
