,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic
27,12.80%,Penfolds,Cork,Australia,,Bin 389 Cabernet Sauvignon Shiraz 1973,$549.00 per bottle,,,,,,750mL,7.6,South Australia,Cabernet Sauvignon Shiraz,Full Bodied,Dry,,
28,14.5%,Bird in Hand,Screw Cap,Australia,2010*,Nest Egg Shiraz,$150.00 per bottle,"Awards: 2 Trophies - World's Greatest Shiraz 2014 & 2012 Winestate Magazine. Blue Gold - Sydney International Wine Show 2012. Two Gold Medals -  Royal Sydney Wine Show 2013, New Zealand International Wine Show 2012.","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 12 of 26 Shiraz from Adelaide Hills,,Adelaide Hills,750mL,8.6,South Australia,,Full Bodied,Dry,,
29,14.50%,Coriole,Cork,Australia,1996,Lloyd Reserve Shiraz 1996,$139.99 per bottle,,,,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Excellent,
30,14.50%,d'Arenberg,Cork,Australia,2000,The Dead Arm Shiraz 2000,$94.99 per bottle,Ranked 21 of 29 Shiraz from South Australia,,,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Outstanding,
31,14.00%,Howard Park,Cork,Australia,1997,Cabernet Blend 1997,$119.99 per bottle,,,,,,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,Excellent,
32,14.50%,Penfolds,Screw Cap,Australia,2005,Bin 407 Cabernet Sauvignon 2005,$109.99 per bottle,Ranked 5 of 15 Cabernet Sauvignon from Barossa,,,,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,
33,14.00%,Peter Lehmann,Cork,Australia,1996,Stonewell Shiraz 1996,$129.99 per bottle,,,,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Outstanding,
34,14.00%,Rosemount,,Australia,2000,Balmoral Syrah 2000,$66.45 in any six,$398.70 per case of 6,$69.99 per bottle,,,McLaren Vale,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,
35,15.50%,Wild Duck Creek,Cork,Australia,2001,Springflat Shiraz 2001,$79.99 per bottle,,,,,Heathcote,750mL,9.2,Victoria,Shiraz,Full Bodied,Dry,Excellent,
36,13.80%,Kay Brothers Amery Vineyards,Cork,Australia,1997,Block 6 Shiraz 1997,$79.99 per bottle,,,,,McLaren Vale,750mL,8.2,South Australia,Shiraz,Full Bodied,Dry,Outstanding,
37,13.00%,Penfolds,Cork,Australia,,Bin 128 1991,$94.99 per bottle,Ranked 12 of 19 Shiraz from Australia,,,,Coonawarra,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,
38,13.5% (2010),Tahbilk,Screw Cap,Australia,2010*,Old Vines Cabernet Shiraz,$39.90 in any six,$239.40 per case of 6,$41.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 23 Cabernet Sauvignon from Victoria,Nagambie,750mL,8.0% (2010),Victoria,Cabernet Sauvignon Shiraz,Full Bodied,Dry,,
39,14.50%,Henschke,Cork,Australia,,Hill of Grace Shiraz 1973,,,,,,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Exceptional,
40,13.00%,Penfolds,Cork,Australia,,Bin 707 1982,$598.00 per bottle,,,,,,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,
41,14.5% (2013),Hardys,Screw Cap,Australia,2013*,Tintara Horseshoe Row Shiraz,$9.88 per bottle,$59.28 per case of 6,$9.88 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 26 of 108 Shiraz from McLaren Vale,McLaren Vale,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,,
42,14.00%,Reschke,Screw Cap,Australia,,Cabernet Sauvignon 2005,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,,,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,
43,14.5% (2012),McGuigan,Screw Cap,Australia,2012*,Shortlist Grenache Shiraz Mourvèdre,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,Barossa Valley,750mL,8.6 (2012),South Australia,Grenache Shiraz Mourvèdre,,Dry,,
44,14.5% (2008),Sticks,Screw Cap,Australia,2008*,No. 29 Shiraz,$35.15 in any six,$210.90 per case of 6,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Strathbogie Ranges,750mL,8.6 (2008),Victoria,Shiraz,Full Bodied,Dry,,
45,13% (2010),Yarra Burn,Screw Cap,Australia,2010*,Pinot Noir,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,Yarra Valley,750mL,7.7 (2010),Victoria,Pinot Noir,Light Bodied,Dry,,
