,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic
73,14.00%,Penfolds,Screw Cap,Australia,2005,Bin 128 Shiraz 2005,$59.99 per bottle,Ranked 6 of 20 Shiraz from Coonawarra,,,,Coonawarra,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Excellent,
74,13.00%,Penfolds,Cork,Australia,1998,Bin 389 Cabernet Shiraz 1995,$164.99 per bottle,,,,,,750mL,7.7,South Australia,Cabernet Shiraz,Full Bodied,Dry,Outstanding,
75,13.50%,Penfolds,Cork,Australia,1992,Bin 707 Cabernet Sauvignon 1992,$550.00 per bottle,,,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,
76,12.00%,Penfolds,Cork,Australia,1993,Magill Estate Shiraz 1993,$166.30 in any six,$174.99 per bottle,,,,Adelaide,750mL,7.1,South Australia,Shiraz,Full Bodied,Dry,Excellent,
77,14.50%,Rockford,Cork,Australia,1996,Basket Press Shiraz 1996,$299.99 per bottle,,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Exceptional,
78,15.00%,Rockford,Cork,Australia,2002,Basket Press Shiraz 2002,$224.99 per bottle,,,,,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,Exceptional,
79,13.50%,Wynns,Cork,Australia,1991,Black Label Cabernet Sauvignon 1991,$114.99 per bottle,"Awards: 3 Trophies - Canberra Wine Show 1993, Sydney Wine Show 1993",,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,
80,14.00%,Wynns,Cork,Australia,2001,Black Label Cabernet Sauvignon 2001,$59.99 per bottle,Ranked 11 of 16 Cabernet Sauvignon from Coonawarra,,,,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,
81,14.00%,Penfolds,Cork,Australia,2001,Magill Estate Shiraz 2001,$159.99 per bottle,Ranked 36 of 54 Shiraz from South Australia,,,,,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Excellent,
82,,Yarra Yering,Cork,Australia,2001,Dry Red No.1 2001,$174.99 per bottle,,,,,Yarra Valley,750mL,,Victoria,Red Blend,,Dry,Excellent,
83,13.5% (2009),Giaconda,Screw Cap,Australia,2009*,McClay Road Shiraz,$25.88 in any six,$155.28 per case of 6,$25.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Beechworth,750mL,8.0 (2009),Victoria,Shiraz,Full Bodied,Dry,,
84,14.50%,Penfolds,Cork,Australia,2003,St Henri Shiraz 2003,$199.99 per bottle,Ranked 28 of 50 Shiraz from Barossa Valley,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Outstanding,
85,14.0% (2010),Kangarilla Road,Screw Cap,Australia,2010*,Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,McLaren Vale,750mL,8.3 (2010),South Australia,Shiraz,Full Bodied,Dry,,
86,13.0% (2008),Winstead,Screw Cap,Australia,2008*,Estate Pinot Noir,$27.90 in any six,$334.80 per case of 12,$27.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 62 of 73 Pinot Noir from Tasmania,,750mL,7.7 (2008),Tasmania,Pinot Noir,Light Bodied,Dry,,
87,14.7% (2009),The Willows,Screw Cap,Australia,2009*,Cabernet Sauvignon,$24.69 in any six,$296.28 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.7 (2009),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,
88,14.5% (2010),Bridgewater Mill,Screw Cap,Australia,2010*,Shiraz,$15.15 in any six,$89.69 per case of 6,$15.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,8.6 (2010),South Australia,Shiraz,Full Bodied,Dry,,
89,14.0% (2011),i Range,Screw Cap,Australia,2011*,Sangiovese,$16.90 in any six,$202.80 per case of 12,$16.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Bendigo,750mL,8.3 (2011),Victoria,Sangiovese,Medium Bodied,Dry,,
90,13.5% (2012),Rouge Homme,Screw Cap,Australia,2012*,Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,Coonawarra,750mL,8 (2012),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,
91,14.50%,Penfolds,Screw Cap,Australia,2007,Bin 138 Grenache Shiraz Mourvèdre 2007,$33.25 in any six,$199.50 per case of 6,$34.99 per bottle,Ranked 8 of 15 Shiraz from Barossa,,Barossa Valley,750mL,8.6,South Australia,Grenache Shiraz Mourvèdre,,Dry,,
92,14.00%,Annie's Lane,Screw Cap,Australia,2007,Cabernet Merlot 2007,$18.99 per bottle,,,,,Clare Valley,750mL,8.6,South Australia,Cabernet Merlot,Medium Bodied,Dry,,
93,13.00%,Penfolds,Cork,Australia,,Bin 707 1985,$500.00 per bottle,,,,,,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,
94,13.0% (2010),Quattro Mano,Screw Cap,Australia,2010*,La Morada Touriga Nacional,$17.90 in any six,$107.40 per case of 6,$17.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,7.7 (2010),South Australia,Touriga Nacional,,Dry,,
95,13.0% (2009),Thistle Hill,Screw Cap,Australia,2009*,Organic Shiraz Cabernet,$9.45 in any six,$55.85 per case of 6,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7 (2009),New South Wales,Shiraz Cabernet,Full Bodied,Dry,,true
96,14.5% (2008),Penfolds,Cork,Australia,2008*,Bin 389 Cabernet Shiraz Magnum 1.5L,$147.25 in any six,$874.20 per case of 6,$155.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,1.5L,17.0 (2008),South Australia,Cabernet Shiraz,Full Bodied,Dry,Outstanding,
97,13.0% (2011),Half Mile Creek,Screw Cap,Australia,2011*,Cabernet Merlot,$6.65 in any six,$39.45 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7 (2011),Victoria,Cabernet Merlot,Medium Bodied,Dry,,
98,14.50%,Kalleske Wines,Screw Cap,Australia,2015*,Zeitgeist Shiraz,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,
99,14.50%,Kalleske Wines,Screw Cap,Australia,2014*,Old Vine Grenache,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Grenache,,Dry,,
100,14.5% (2013),Penley Estate,Cork,Australia,2013*,Chertsey,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Coonawarra,750mL,8.6 (2013),South Australia,Cabernet Blend,,Dry,,
101,14.5% (2008),Plunkett,Screw Cap,Australia,2008*,Blackwood Ridge Shiraz,$12.35 in any six,$146.55 per case of 12,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Strathbogie Ranges,750mL,8.6 (2008),Victoria,Shiraz,Full Bodied,Dry,,
102,14.00%,d'Arenberg,Cork,Australia,1998,The Coppermine Road Cabernet Sauvignon 1998,$69.99 per bottle,,,,,McLaren Vale,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,
103,14.0% (2008),Wood Block,Screw Cap,Australia,2008*,Amity Cabernet Sauvignon,$17.99 per bottle,Awards: Best Cabernet Sauvignon of Show - Australian Boutique Wine Awards 2011. Gold - Australian Boutique Wine Awards 2011.,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Coonawarra,750mL,8.3 (2008),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,
104,14.0% (2009),Tisdall,Screw Cap,Australia,2009*,Merlot,$6.99 in any six,$41.94 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3 (2009),Victoria,Merlot,Medium Bodied,Dry,,
