,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 3,Langtons Classified,Price Option 4,Organic,Vegan Friendly
44,14.0% (2012),Jim Barry,Screw Cap,Australia,2012*,Three Little Pigs Cabernet Shiraz Malbec,$19.95 in any six,$119.70 per case of 6,$20.99 per bottle,Clare Valley,750mL,8.3 (2012),South Australia,Cabernet Shiraz Malbec,,Dry,Awards: 2 Trophies - Clare Valley Wine Show 2011. Gold - Clare Valley Wine Show 2011.,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
45,14.0% (2010),Scorpo,Cork,Australia,2010*,Old Vines Shiraz,$456.00 per case of 12,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.3 (2010),Victoria,Shiraz,Full Bodied,Dry,,,,,
46,13.0% (2013),Chemin By Punt Road,Screw Cap,Australia,2013*,Chemin Pinot Noir,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,Yarra Valley,750mL,7.7 (2013),Victoria,Pinot Noir,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 39 of 85 Pinot Noir from Yarra Valley,,
47,14.50%,Katnook,Cork,Australia,,Prodigy Shiraz 1997 6L,"$1,300.00 per bottle",,,Coonawarra,6L,69,South Australia,Shiraz,Full Bodied,Dry,,,,,
48,13.20%,Bass Phillip,Cork,Australia,,Premium Pinot Noir 2015,$209.00 in any six,"$1,254.00 per case of 6",$220.00 per bottle,Gippsland,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,Ranked 2 of 18 Pinot Noir from Gippsland,,,,
49,13.5% (2014),Jericho,Screw Cap,Australia,2014*,McLaren Vale Shiraz,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 91 of 116 Shiraz from McLaren Vale,McLaren Vale,750mL,8.0 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,,
50,,,,,,Unknown,,,,,,,,,,,,,,,
51,14.00%,Lindeman's,Screw Cap,Australia,,Coonawarra Trio Limestone Ridge Shiraz Cabernet 2013,$44.99 per bottle,Ranked 3 of 58 Shiraz from South Australia,,Coonawarra,750mL,8.3,South Australia,Shiraz Cabernet Sauvignon,,Dry,,Excellent,,,
52,12.90%,Mount Mary,Cork,Australia,,Quintet 2005 375mL,$99.99 per bottle,,,Yarra Valley,375mL,4,Victoria,Red Blend,,Dry,,Exceptional,,,
53,13.8% (2013),Mount Horrocks,Screw Cap,Australia,2013*,Shiraz,$40.90 in any six,$490.80 per case of 12,$42.99 per bottle,Clare Valley,750mL,8.2 (2013),South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
