,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Wine Body,Wine Style,Langtons Classified,Region,State,Vegan Friendly,Price Option 4,Price Option 5
107,14.0% (2010),Barking Owl,Screw Cap,Australia,2010*,Shiraz,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2010),Shiraz,Full Bodied,Dry,,,Western Australia,,Ranked 38 of 64 Shiraz from Western Australia,
108,13%,Oakridge,,Australia,2017*,Cabernet Sauvignon,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Cabernet Sauvignon,Full Bodied,Dry,,Yarra Valley,Victoria,,,
109,14.5%,Tatachilla,Cork,Australia,2014*,Foundation Shiraz,$47.49 in any six,$284.94 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,,,
110,14%,Secret Selection,Screw Cap,Australia,2017,Yarra Valley Cabernet Blend 2017,Online Offer$29.90 per bottle,$52.30 in any six,$313.80 per case of 6,$54.99 per bottle,750mL,8.3,"Cabernet Sauvignon, Merlot, Petit Verdot",,,,Yarra Valley,Victoria,,,
111,13.5%,Penfolds,Screw Cap,Australia,,Bin 23 Pinot Noir 2017,$40.90 in any six,$245.40 per case of 6,$42.99 per bottle,,750mL,8,Pinot Noir,,,,Adelaide Hills,South Australia,,,
112,13.50%,Penfolds,Cork,Australia,1998,Bin 707 Cabernet Sauvignon 1998 Magnum 1.5L,"$1,395.00 per bottle",,,,1.5L,16,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,,South Australia,,,
113,14.00%,Coriole,,Australia,,Lloyd Reserve Shiraz 2008,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,,750mL,8.3,Shiraz,Full Bodied,Dry,Excellent,McLaren Vale,South Australia,,,
114,,,,,,Unknown,,,,,,,,,,,,,,,
115,14.50%,Elderton,,Australia,,Command Shiraz 2007,$119.99 per bottle,Ranked 2 of 78 Shiraz from Barossa Valley,,,750mL,8.6,Shiraz,,Dry,Excellent,Barossa Valley,South Australia,,,
116,14.50%,Parker Estate,Screw Cap,Australia,2004,1st Growth Cabernet Sauvignon 2004,$99.99 per bottle,Ranked 24 of 44 Cabernet Sauvignon from South Australia,,,750mL,8.6,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,South Australia,,,
117,16.50%,Greenock Creek,Cork,Australia,2004,Roennfeldt Road Shiraz 2004,$499.99 per bottle,,,,750mL,9.7,Shiraz,Full Bodied,Dry,Outstanding,Barossa Valley,South Australia,,,
118,14.00%,Grant Burge,Cork,Australia,1992,Meshach Shiraz 1992,$199.99 per bottle,,,,750mL,8.3,Shiraz,Full Bodied,Dry,Outstanding,Barossa Valley,South Australia,,,
119,14.20%,Penfolds,Cork,Australia,1986,Grange 1984 Magnum 1.5L,"$2,000.00 per bottle",,,,1.5L,16.8,Shiraz,Full Bodied,Dry,Exceptional,,South Australia,,,
