,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Wine Body,Wine Style,Langtons Classified,Region,State,Vegan Friendly,Price Option 4,Price Option 5
65,14.000000000000002%,Finca Bacara,,Australia,,Crazy Grapes Monastrell,$23.95 per bottle,$143.70 per case of 6,,,750mL,8.2,Monastrell/Mouvredre,,,,,,,,
66,14.0%,Baily & Baily,Screw Cap,Australia,2013*,Folio Cabernet Sauvignon,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,South Australia,,,
67,12.4% (2015),Mac Forbes,Cork,Australia,2015*,Healesville Syrah,$39.90 in any six,$239.40 per case of 6,$41.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2015),Shiraz,Full Bodied,,,Yarra Valley,Victoria,,,
68,13.5% (2015),Spinifex,Screw Cap,Australia,2015*,Papillon,$25.65 in any six,$307.80 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0 (2015),Red Blend,,Dry,,Barossa Valley,South Australia,,,
69,13.00%,Toolangi,Screw Cap,Australia,2010*,Reserve Shiraz,$59.90 in any six,$359.40 per case of 6,$62.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Shiraz,Full Bodied,Dry,,Yarra Valley,Victoria,,Ranked 2 of 24 Shiraz from Yarra Valley,
70,14.0% (2014),Clos Clare,Screw Cap,Australia,2014*,Cemetery Block Shiraz,$24.70 in any six,$296.40 per case of 6,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2014),Shiraz,Full Bodied,Dry,,Clare Valley,South Australia,,,
71,13.0% (2013),Pizzini,Screw Cap,Australia,2013*,Forza Di Ferro Sangiovese,$76.00 in any six,$912.00 per case of 12,$79.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2013),Sangiovese,Medium Bodied,Dry,,King Valley,Victoria,,,
72,12.4% (2015),Mac Forbes,Cork,Australia,2015*,Healesville Syrah,$39.90 in any six,$239.40 per case of 6,$41.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2015),Shiraz,Full Bodied,,,Yarra Valley,Victoria,,,
73,13.5% (2005),Seppelt,Screw Cap,Australia,2005*,Benno Shiraz,$42.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 34 of 50 Shiraz from Central Victoria,,750mL,8.0 (2005),Shiraz,Full Bodied,Dry,,Bendigo,Victoria,,,
74,13.00%,Toolangi,Screw Cap,Australia,2010*,Reserve Shiraz,$59.90 in any six,$359.40 per case of 6,$62.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Shiraz,Full Bodied,Dry,,Yarra Valley,Victoria,,Ranked 2 of 24 Shiraz from Yarra Valley,
75,,,,,,Unknown,,,,,,,,,,,,,,,
76,13.0% (2013),Pizzini,Screw Cap,Australia,2013*,Forza Di Ferro Sangiovese,$76.00 in any six,$912.00 per case of 12,$79.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2013),Sangiovese,Medium Bodied,Dry,,King Valley,Victoria,,,
77,14.5% (2014),Pfeiffer,Screw Cap,Australia,2014*,Shiraz,$24.69 in any six,$296.28 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2014),Shiraz,Full Bodied,Dry,,Rutherglen,Victoria,,,
78,13.5%,Levantine Hill,Screw Cap,Australia,,Syrah,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,Ranked 18 of 20 Shiraz from Yarra Valley,750mL,8.0,Syrah,Full Bodied,Dry,,Yarra Valley,Victoria,,,
79,14.5%,Head,Screw Cap,Australia,2016*,The Brunette Shiraz,$56.10 in any six,$336.60 per case of 6,$58.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,,Ranked 14 of 135 Shiraz from Barossa Valley,
80,14.5%,Pauletts,Screw Cap,Australia,2015*,Shiraz,$19.95 in any six,$239.40 per case of 12,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Shiraz,Full Bodied,Dry,,Clare Valley,South Australia,,Ranked 16 of 24 Shiraz from Clare Valley,
81,14.0% (2012),Howard Park,Screw Cap,Australia,2012*,Abercrombie Cabernet Sauvignon,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2012),Cabernet Sauvignon,Full Bodied,Dry,Excellent,Great Southern,Western Australia,,Ranked 13 of 81 Cabernet Sauvignon from Western Australia,
82,14.0%,Clarnette & Ludvigsen,Screw Cap,Australia,2014*,Reserve Shiraz,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Shiraz,Full Bodied,Dry,,Grampians,,,Ranked 12 of 15 Shiraz from Grampians,
83,,,,,,Unknown,,,,,,,,,,,,,,,
84,13.5%,Wynns,,Australia,2012,Alex 88 Cabernet 2012,$80.80 in any six,$484.80 per case of 6,$84.99 per bottle,,750mL,8,Cabernet Sauvignon,,,,Coonawarra,South Australia,,,
85,14.4%,d'Arenberg,Screw Cap,Australia,2013*,Coppermine Cabernet Sauvignon 2013,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.4,Caberent Sauvignon,Full Bodied,Dry,,McLaren Vale,,,,
86,14% (2015),Summerfield,,Australia,2015*,Merlot,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2015),Merlot,Medium Bodied,Dry,,Pyrenees,Victoria,,,
87,14.7%,Barons of Barossa,Screw Cap,Australia,2016*,Cellar Shiraz,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.7,Shiraz,Full Bodied,Dry,,Barossa,South Australia,,,
