,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Wine Body,Price Option 5,Vegan Friendly,Langtons Classified,Organic
65,14.0% (2014),Blue Rock Wines,Screw Cap,Australia,2014*,Shiraz,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,8.3 (2014),South Australia,Shiraz,Dry,,Full Bodied,,,,
66,12.8%,Ingram Road,Screw Cap,Australia,2017*,Yarra Valley Pinot Noir,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.4,Victoria,Pinot Noir,Dry,Ranked 42 of 74 Pinot Noir from Yarra Valley,Light Bodied,,,,
67,,,,,,Unknown,,,,,,,,,,,,,,,,
68,13.5% (2014),Blackjack,Screw Cap,Australia,2014*,Chortles Edge Cabernet Shiraz,$20.00 in any six,$240.00 per case of 12,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Bendigo,750mL,8 (2014),Victoria,Cabernet Shiraz,Dry,,Full Bodied,,,,
69,14%,Taylors,Screw Cap,Australia,2016*,Discoveries Merlot,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3,South Australia,Merlot,Dry,,Medium Bodied,,,,
70,14.50%,Penfolds,Screw Cap,Australia,,Bin 2 Shiraz Mourv&egrave;dre 2010,$37.05 in any six,$222.30 per case of 6,$38.99 per bottle,Ranked 3 of 27 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz Mourv&egrave;dre,Dry,,,,,,
71,14.9%,Orlando,Cork,Australia,2012*,Lawson's Padthaway Shiraz,$52.25 in any six,$313.50 per case of 6,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Padthaway,750mL,8.8,South Australia,Shiraz,Dry,,Full Bodied,,,,
72,14.50%,Ulithorne,Cork,Australia,2014,Prospera Shiraz 2014,$54.99 per bottle,$313.80 per case of 6,$52.30 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Dry,,Full Bodied,,,,
73,14.50%,Elderton,Cork,Australia,2003,Command Shiraz 2003,$109.99 per bottle,Ranked 9 of 50 Shiraz from Barossa Valley,,,Barossa Valley,750mL,8.5,South Australia,Shiraz,Dry,,Full Bodied,,,Excellent,
74,13.5% (2014),Tyrrell's,Screw Cap,Australia,2014*,Old Winery Shiraz,$10.45 in any six,$62.70 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.0 (2014),Victoria,Shiraz,Dry,,Full Bodied,,,,
75,14.5,Audrey Wilkinson,Screw Cap,Australia,2015,Audrey Wilkinson The Lighthorseman 2016,$18.99 per bottle,$108.30 per case of 6,,,NSW,750mL,8.6,,Cabernet Sauvignon M,Dry,,,,,,
76,14.5% (2017),Temple Bruer,Screw Cap,Australia,2017*,Preservative Free Shiraz Malbec,$19.00 in any six,$108.30 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,8.6 (2017),South Australia,Shiraz Malbec,Dry,,,,,,true
