,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Region,State,Wine Style,Vegan Friendly,Wine Body,Price Option 4,Langtons Classified
94,12.5%,Bryan MacRobert,,Australia,,Steen Chenin Blanc,$42.95 per bottle,$515.40 per case of 12,,,750mL,7.3,Chenin Blanc,,,,,,,
95,13.5%,Celler Frisach,,Australia,,Vernatxa,$54.95 per bottle,$659.40 per case of 12,,,750mL,7.9,Grenache Blanc,,,,,,,
96,13.0% (2013),Amen Break,Screw Cap,Australia,2013*,Quarry Ridge Victoria Chardonnay,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2013),Chardonnay,,Victoria,Dry,,,,
97,,Premium Chardonnay,,Australia,,Pack Plus Bonus Bottle,Delivery Offer$120.00 per bundle (6+1),$240.99 per bundle (6+1),,,7x750mL,,Chardonnay,,,,,,,
98,11.5,Baily & Baily,Screw Cap,Australia,2018*,Two Little Ducks Classic Dry White,$6.95 in any six,$41.70 per case of 6,$6.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.8,White Blend,,Victoria,Dry,,,,
99,13.5%,Paringa Estate,Screw Cap,Australia,2017*,Pinot Gris,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0,Pinot Gris,Mornington Peninsula,Victoria,Dry,,,,
100,12.5%,St Johns Brook,Screw Cap,Australia,2017*,Single Vineyard Chardonnay,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,Awards: Gold Medal - China Wine & Spirits Awards 2015,750mL,7.4,Chardonnay,Margaret River,Western Australia,Dry,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
101,13.0% (2013),Santolin,Screw Cap,Australia,2013*,Chardonnay,$41.80 in any six,$501.60 per case of 12,$43.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2013),Chardonnay,Yarra Valley,Victoria,Dry,,,,
102,,,,,,Unknown,,,,,,,,,,,,,,
103,13.5% (2015),MWC,Screw Cap,Australia,2015*,Pinot Gris,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0 (2015),Pinot Gris,Central Victoria,Victoria,Dry,,,,
