,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Region,State,Wine Style,Vegan Friendly,Wine Body,Price Option 4,Langtons Classified
51,12.5,Lenton Brae,Screw Cap,Australia,,Semillon Sauvignon Blanc 2018,$23.00 per bottle,$138.00 per case of 6,Ranked 14 of 18 Sémillon from Margaret River,,750mL,7.4,Semillon Sauvignon B,Margaret River,Western Australia,,,,,
52,13.5,Helen & Joey Estate,Screw Cap,Australia,2016,Layla Chardonnay 2016,$30.00 per bottle,$180.00 per case of 6,,,750mL,8,Chardonnay,Yarra Valley,,,,,,
53,13,Chapman Grove,Screw Cap,Australia,,Semillon Reserve Margaret River 2016,$29.99 per bottle,$287.90 per case of 12,,,750mL,7.7,Semillon,Margaret River,,,,,,
54,10.50%,Tyrrell's,Screw Cap,Australia,2008,Vat 1 Semillon 2008,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,,750mL,6.2,Semillon,Hunter Valley,New South Wales,Dry,,,,Outstanding
55,12.7% (2017),Juniper Crossings,Screw Cap,Australia,2017*,Chardonnay,$16.95 in any six,$203.40 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2011),Chardonnay,Margaret River,Western Australia,Dry,,,Ranked 58 of 61 Chardonnay from Margaret River,
56,13.5%,Blue Pyrenees,Screw Cap,Australia,2015,Estate Chardonnay	2015,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"Awards: Gold Medal - Victorian Wines Show 2018
Gold Medal - Cowra Wine Show 2014",750mL,8,Chardonnay,Pyrenees,Victoria,Dry,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
57,13.5% (2016),McHenry Hohnen,Screw Cap,Australia,2016*,Burnside Chardonnay,$43.70 in any six,$262.20 per case of 6,$45.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2010),Chardonnay,Margaret River,Western Australia,Dry,,,Ranked 40 of 84 Chardonnay from Margaret River,
58,13.4%,Ingram Road,Screw Cap,Australia,2016*,Yarra Valley Chardonnay,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.9,Chardonnay,Yarra Valley,Victoria,Dry,,,,
59,11.50%,McGuigan,Screw Cap,Australia,,Bin 9000 Semillon 2003,$37.10 in any six,$445.20 per case of 12,$38.99 per bottle,,750mL,6.8,Semillon,Hunter Valley,New South Wales,Dry,,,,
60,13.0% (2016),Paradise IV,Screw Cap,Australia,2016*,Chardonnay,$61.80 in any six,$741.60 per case of 12,$64.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2015),Chardonnay,Geelong,Victoria,Dry,,,Ranked 22 of 127 Chardonnay from Port Phillip,
61,7.5%,Willi Schaefer,,Australia,,Graacher Domprobst Riesling Spatlese #10,$74.95 per bottle,$899.40 per case of 12,,,750mL,4.4,Riesling,,,,,,,
62,13.0% (2015),Catlin,Screw Cap,Australia,2015*,Gruner Veltliner,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2015),Gruner Veltliner,Adelaide Hills,South Australia,,,,,
63,13.0% (2015),Catlin,Screw Cap,Australia,2015*,Gruner Veltliner,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2015),Gruner Veltliner,Adelaide Hills,South Australia,,,,,
64,13.5%,Celler Frisach,,Australia,,L'Abrunet Garnatxa Blanca,$26.95 per bottle,$323.40 per case of 12,,,750mL,7.9,Grenache Blanc,,,,,,,
65,,,,,,Unknown,,,,,,,,,,,,,,
66,13.0%,Celler Frisach,,Australia,,La Foradada Blanca,$44.95 per bottle,$539.40 per case of 12,,,750mL,7.6,Grenache Blanc,,,,,,,
67,12%,Chalmers,Screw Cap,Australia,,Greco,$30.49 per bottle,$364.45 per case of 12,,,750mL,7.1,Greco,Heathcote,Victoria,Dry,true,Light Bodied,,
68,12.00%,Sons of Eden,Screw Cap,Australia,2015*,Freya,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1,Riesling,Barossa Valley,South Australia,Dry,,,Ranked 7 of 37 Riesling from Eden Valley,
