,Alcohol Volume,Brand Name,Country,Name,Price Option 0,Price Option 1,Size,Standard Drinks,State,Varietal,Closure,Current Vintage,Langtons Classified,Region,Wine Body,Wine Style,Price Option 2,Vegan Friendly,Price Option 3,Price Option 4,Organic,Price Option 5
99,13.8% (2014),Tyrrell's,Australia,Stevens Shiraz,$33.30 in any six,$199.80 per case of 6,750mL,8.2 (2014),New South Wales,Shiraz,Screw Cap,2014*,,Hunter Valley,Full Bodied,Dry,$34.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 37 of 82 Shiraz from Lower Hunter,,
100,~,Iconic Cellar Release,Australia,Barossa Shiraz Bundle,Delivery Offer$399.00 per bundle (6),$755.19 per bundle (6),750mL,~,,Shiraz,,,,,,,,,,,,
101,12.8%,Lethbridge,Australia,Pinot Noir,$37.99 in any six,$455.88 per case of 12,750mL,7.6,Victoria,Pinot Noir,Screw Cap,2015*,,Geelong,Light Bodied,Dry,$39.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 26 of 31 Pinot Noir from Geelong,,
102,14.5%,Tobacco Road,Australia,Cabernet Sauvignon,$14.30 in any six,$150.00 per case of 12,750mL,8.6,Victoria,Cabernet Sauvignon,Screw Cap,2017*,,,Full Bodied,Dry,$14.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
103,14.5%,S.C. Pannell,Australia,Grenache,$54.15 in any six,$325.20 per case of 6,750mL,8.6,South Australia,Grenache,Screw Cap,2017*,,McLaren Vale,Medium Bodied,Dry,$56.99 per bottle,,"Awards: Trophy - Royal Melbourne Wine Show 2012, 4 Gold - Royal Melbourne Wine Show 2012, McLaren Vale Wine Show 2012 (x2), McLaren Vale Wine Show 2011","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
104,14.5% (2013),Deep Woods,Australia,Reserve Shiraz,$45.60 in any six,$273.60 per case of 6,750mL,8.6 (2013),Western Australia,Shiraz,Screw Cap,2013*,,Margaret River,Full Bodied,Dry,$47.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 32 Shiraz from Margaret River,,
105,14.0%,St John's Road,Australia,Prayer Garden Grenache,$27.60 in any six,$165.60 per case of 6,750ml,8.3,South Australia,Grenache,Screw Cap,2016*,,Barossa Valley,Medium Bodied,Dry,$28.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 29 Grenache from Barossa Valley,,
106,14.5% (2013),Serafino,Australia,Magnitude Shiraz,$38.00 in any six,$228.00 per case of 6,750mL,8.6 (2012),South Australia,Shiraz,Screw Cap,2013*,,McLaren Vale,Full Bodied,Dry,$39.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
107,14.5%,Chapel Hill,Australia,McLaren Vale Mourvèdre,$28.50 in any six,$171.00 per case of 6,750mL,8.6,South Australia,Mourvèdre,Screw Cap,2016,,McLaren Vale,,Dry,$29.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
108,13.5%,6Ft6,Australia,Shiraz,$19.00 in any six,$114.00 per case of 6,750mL,8.0,Victoria,Shiraz,Screw Cap,2017*,,Geelong,Full Bodied,Dry,$19.99 per bottle,true,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
109,14%,Hancock & Hancock,Australia,Shiraz Grenache,$23.80 in any six,$142.80 per case of 6,750mL,8.3,,Shiraz Grenache,,2016,,,,,$24.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
110,14.3%,Grant Burge,Australia,Nebu Cabernet Shiraz 2016,$80.80 in any six,$484.80 per case of 6,750mL,8.3,,Red Wine,,2016,,,,,$84.99 per bottle,,,,,
111,14.0% (2014),Pure Vision,Australia,Shiraz,$16.20 in any six,$97.20 per case of 6,750mL,8.3 (2014),South Australia,Shiraz,Screw Cap,2014*,,Adelaide,Full Bodied,Dry,$16.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,true,
112,14.5%,Mitolo,Australia,GAM Shiraz,$52.25 in any six,$313.50 per case of 6,750mL,8.6,South Australia,Shiraz,Screw Cap,2015*,,McLaren Vale,Full Bodied,Dry,$54.99 per bottle,,Awards: Gold Medal - Sommelier Wine Awards 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 72 of 95 Shiraz from McLaren Vale
113,14.0% (2013),Austins & Co.,Australia,Shiraz,$28.49 in any six,$171.00 per case of 12,750mL,8.3 (2013),Victoria,Shiraz,Screw Cap,2013*,,Geelong,Full Bodied,Dry,$29.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
114,13.20%,Wendouree,Australia,Shiraz 2003,$209.99 per bottle,,750mL,7.8,South Australia,Shiraz,Cork,2003,Exceptional,Clare Valley,Full Bodied,Dry,,,,,,
115,,,,Unknown,,,,,,,,,,,,,,,,,,
116,14.5%,Kallekse,Australia,Biodynamic Barrel Project 2016,$150.00 per pack of 3,,750mL,8.6,South Australia,Shiraz,Screw Cap,,,Barossa Valley,Full Bodied,Dry,,true,,,true,
117,18.5%,Bellarine Estate,Australia,"The Cure ""Fortafied Pinot Noir""",$30.00 per bottle,$180.00 per case of 6,500mL,7.3,Victoria,Fortified Pinot Noir,Screw Cap,,,Bellarine,,Sweet,,,,,,
118,14%,Bellarine Estate,Australia,First Blush Rose,$30.00 per bottle,$180.00 per case of 6,750mL,8.3,Victoria,Rose,Screw Cap,,,Bellarine,Medium Bodied,Dry,,true,,,,
119,13.9%,Route du Van,Australia,2013 Heathcote Shiraz,$18.95 per bottle,$113.70 per case of 6,750mL,8.2,Victoria,Shiraz,Screw Cap,,,Heathcote,Full Bodied,Dry,,,,,,
